Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Tsumori Chisato,Fall 2011,Feminine,"Color-blocked knit dress, striped tights","White ankle boots, knit cap","Fitted, streamlined","Playful, colorful",Soft pastels with geometric patterns
2,Tsumori Chisato,Fall 2011,Feminine,"Color-blocked tunic, patterned leggings","Round sunglasses, beige ankle boots","Relaxed, casual","Retro, vibrant",Bold color combinations with oversized sunglasses
3,Tsumori Chisato,Fall 2011,Feminine,"Pink top, embellished skirt, patterned tights","Round sunglasses, teal shoes","Structured, artistic","Eclectic, avant-garde",Mix of textures and appliqué details
1,Tsumori Chisato,Fall 2011,Feminine,"Color-blocked knit dress, striped tights",Round pink sunglasses,"Loose, relaxed","Playful, colorful","Bold color blocking, oversized sunglasses"
2,Tsumori Chisato,Fall 2011,Feminine,"Orange cape, pink leggings","Purple knit hat, pink gloves","A-line, fitted","Eclectic, vibrant","Graphic patterns, layered textures"
3,Tsumori Chisato,Fall 2011,Feminine,"Patchwork knit dress, striped tights",White round sunglasses,"Straight, relaxed","Artistic, whimsical","Layered knits, bold accessories"
1,Tsumori Chisato,Fall 2011,Feminine,"Striped knit dress, patterned knit skirt","White round sunglasses, pink knit beanie","Relaxed, fitted","Playful, eclectic",Mix of patterns and textures
2,Tsumori Chisato,Fall 2011,Feminine,Color-blocked cape dress,White round sunglasses,"Loose, flowing","Artistic, cozy",Soft pastel colors with geometric patterns
3,Tsumori Chisato,Fall 2011,Feminine,"Floral blouse, patterned jumpsuit","White round sunglasses, red shoes","Relaxed, layered","Whimsical, vibrant",Bold color contrasts and mix of prints
1,Tsumori Chisato,Fall 2017,Feminine,"Multicolored fur top, pleated skirt","Fur cuffs, pink tights, gray shoes","Layered, voluminous","Eclectic, playful",Mix of textures and colors
2,Tsumori Chisato,Fall 2017,Feminine,"Striped sleeveless sweater, pleated skirt","Beret, pink tights, white boots","Relaxed, layered","Casual, chic",Soft color palette with bold accents
3,Tsumori Chisato,Fall 2017,Feminine,"Fringed multicolored coat, leggings","Round sunglasses, metallic boots","Oversized, textured","Avant-garde, vibrant",Bold use of color and texture
1,Tsumori Chisato,Fall 2017,Feminine,Cream wool coat,"Gray knit hat, orange sunglasses","A-line, oversized","Playful, eclectic","Bold textures, whimsical accessories"
2,Tsumori Chisato,Fall 2017,Feminine,Beige dress with blue collar,"Patterned tights, black shoes","Straight, relaxed","Artistic, layered","Contrasting textures, artistic prints"
3,Tsumori Chisato,Fall 2017,Feminine,"Graphic print dress, white long-sleeve top",White lace-up boots,"Column, fitted","Quirky, graphic","Bold prints, playful motifs"
1,Tsumori Chisato,Fall 2017,Feminine,"Black graphic sweater, printed midi skirt","Colorful handbag, lace-up boots","A-line, relaxed","Artistic, eclectic","Bold prints, playful graphics"
2,Tsumori Chisato,Fall 2017,Feminine,"White grid-patterned coat, graphic skirt",White shoes,"Straight, structured","Modern, quirky","Grid pattern, telephone print"
3,Tsumori Chisato,Fall 2017,Feminine,"Black fringe-trimmed dress, long-sleeve top",Two-tone shoes,"A-line, layered","Elegant, vintage-inspired","Fringe details, monochrome palette"
1,Tsumori Chisato,Spring 2013,Feminine,"Printed blouse, green mini skirt","Green handbag, printed heels","Playful, flared","Vibrant, artistic","Bold colors, whimsical prints"
2,Tsumori Chisato,Spring 2013,Feminine,"Draped tank top, printed leggings",Printed heels,"Casual, fitted","Eclectic, layered","Mix of patterns, relaxed draping"
3,Tsumori Chisato,Spring 2013,Feminine,"Sheer blouse, patterned skirt","Colorful clutch, platform heels","Structured, midi","Bohemian, colorful","Intricate patterns, textured accessories"
1,Tsumori Chisato,Spring 2013,Feminine,"Knit tunic with graphic print, patterned leggings",Yellow peep-toe heels,"Relaxed, layered","Eclectic, playful","Bright colors, mixed patterns"
2,Tsumori Chisato,Spring 2013,Feminine,"Graphic print tunic, patterned leggings","Round sunglasses, green peep-toe heels","Loose, layered","Bohemian, vibrant","Bold prints, oversized accessories"
3,Tsumori Chisato,Spring 2013,Feminine,Ruffled polka dot dress,"Striped clutch, orange heels","Fitted, ruffled","Whimsical, colorful","Ruffle details, coordinated accessories"
1,Tsumori Chisato,Spring 2013,Feminine,Green printed mini dress,Colorful heels,"Loose, draped","Vibrant, playful","Bold print, asymmetrical hem"
2,Tsumori Chisato,Spring 2013,Feminine,"Green printed maxi dress, orange belt",Gold heels,"Flowy, cinched waist","Elegant, bold","Contrasting belt, halter neck"
3,Tsumori Chisato,Spring 2013,Feminine,Green printed jumpsuit,Gold heels,"Relaxed, voluminous","Eclectic, colorful","Ruffled neckline, vibrant pattern"
