Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Kai Kühne,Spring 2009,Feminine,One-shoulder black dress,Black pumps,"Fitted, knee-length","Minimalist, elegant","Textured fabric, asymmetrical neckline"
2,Kai Kühne,Spring 2009,Feminine,One-shoulder black dress,Gray pumps,"Fitted, knee-length","Minimalist, elegant","Textured fabric, asymmetrical neckline"
3,Kai Kühne,Spring 2009,Feminine,One-shoulder white dress,Black pumps,"Fitted, knee-length","Minimalist, elegant","Textured fabric, asymmetrical neckline"
1,Kai Kühne,Spring 2009,Feminine,White sleeveless dress,Clear cuff bracelets,"Fitted, knee-length","Minimalist, elegant",Deep V-neckline
2,Kai Kühne,Spring 2009,Feminine,White sleeveless dress,,"Fitted, knee-length","Minimalist, elegant",Asymmetrical neckline
3,Kai Kühne,Spring 2009,Feminine,"Black tailored jacket, black shorts",Clear cuff bracelets,"Structured, tailored","Modern, bold","High collar, sharp tailoring"
1,Kai Kühne,Spring 2009,Feminine,Black coat dress,"Gray clutch, gray heels","A-line, structured","Minimalist, modern","Shiny texture, oversized collar"
2,Kai Kühne,Spring 2009,Feminine,"Gray sleeveless top, black pants",Black heels,"Fitted, sleek","Tailored, contemporary","Strong shoulders, monochrome"
3,Kai Kühne,Spring 2009,Feminine,"Cream sleeveless blazer, white shorts","Sunglasses, black heels","Fitted, sharp","Chic, futuristic","Shoulder emphasis, minimal accessories"
1,Kai Kühne,Fall 2009,Feminine,"Black leather top, black textured pencil skirt",Silver bracelet,"Fitted, hourglass","Chic, elegant",Textured fabric contrasts
2,Kai Kühne,Fall 2009,Feminine,Black structured dress,Black bracelet,"Fitted, streamlined","Sophisticated, modern",Geometric neckline
3,Kai Kühne,Fall 2009,Feminine,"Black blouse, black leather pencil skirt",Mesh gloves,"Structured, sleek","Minimalist, refined",Subtle texture play
1,Kai Kühne,Fall 2009,Feminine,"Geometric patterned dress, matching gloves",Black earrings,"Fitted, knee-length","Avant-garde, geometric","Cut-out shoulders, high neckline"
2,Kai Kühne,Fall 2009,Feminine,Gray coat dress with black satin details,None visible,"Structured, tailored","Elegant, contrasting","Large lapels, asymmetrical design"
3,Kai Kühne,Fall 2009,Feminine,Black coat with textured lapels,"Chain necklace, rings","Straight, knee-length","Minimalist, classic","Subtle texture contrast, clean lines"
1,Kai Kühne,Fall 2009,Feminine,"Black textured blazer, black pencil skirt",Silver necklace,"Structured, fitted","Elegant, modern","Textured fabric, sharp tailoring"
2,Kai Kühne,Fall 2009,Feminine,Gray structured dress,Brown bracelets,"Asymmetrical, fitted","Avant-garde, chic","Unique neckline, sculptural shoulders"
3,Kai Kühne,Fall 2009,Masculine,"Gray oversized coat, gray trousers, gray turtleneck",Black clutch,"Oversized, relaxed","Minimalist, sophisticated","Monochrome layering, relaxed fit"
