Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,We11done,Spring 2023,Feminine,"Black strapless mini dress, lace leggings",Black pointed shoes,"Boxy, structured","Avant-garde, minimal",Bold shoulder details
2,We11done,Spring 2023,Feminine,"Black lace dress, oversized coat","Black pointed shoes, fabric accessory","Voluminous, layered","Dramatic, eclectic","Textured lace, exaggerated sleeves"
3,We11done,Spring 2023,Feminine,"White strapless mini dress, lace leggings",Black pointed shoes,"Boxy, structured","Minimalist, modern","Clean lines, monochrome look"
1,We11done,Spring 2023,Feminine,"Black oversized coat, lace tights","Silver bracelet, black pointed shoes","Oversized, structured","Minimalist, monochrome","Voluminous sleeves, lace details"
2,We11done,Spring 2023,Feminine,"Black oversized blazer, lace tights","Yellow fabric accessory, black pointed shoes","Oversized, structured","Minimalist, monochrome","Voluminous sleeves, lace details, pop of color"
3,We11done,Spring 2023,Feminine,"Gray oversized coat, lace tights","Silver rings, black pointed shoes","Oversized, structured","Minimalist, monochrome","Voluminous sleeves, lace details"
1,We11done,Spring 2023,Feminine,"Gray oversized blazer, black lace leggings",Black pointed shoes,"Oversized, layered","Eclectic, modern","Mix of textures, bold footwear"
2,We11done,Spring 2023,Feminine,"Silver slip dress, black lace leggings","Silver tote bag, black pointed shoes","Slim, layered","Sleek, contemporary","Shiny fabric, monochrome accessories"
3,We11done,Spring 2023,Feminine,"Pink slip dress, red lace leggings","Pink tote bag, black pointed shoes","Slim, layered","Bold, playful","Contrasting colors, shiny textures"
1,We11done,Spring 2022,Feminine,Black cut-out dress,"Logo choker, black platform shoes","Fitted, sleek","Modern, edgy","Cut-out details, monochrome"
2,We11done,Spring 2022,Feminine,White cut-out dress,"Logo choker, black platform shoes, black bag","Fitted, sleek","Modern, edgy","Cut-out details, monochrome"
3,We11done,Spring 2022,Feminine,Beige sequin dress,"Logo choker, black platform shoes","Fitted, sleek","Modern, edgy","Sequins, monochrome"
1,We11done,Spring 2022,Feminine,White cut-out dress,"Black choker, earrings","Fitted, asymmetrical","Modern, edgy","Cut-out details, monochrome"
2,We11done,Spring 2022,Feminine,"Black jacket, pleated skirt","Black choker, earrings","Structured, flowy","Minimalist, sophisticated","Layered textures, monochrome"
3,We11done,Spring 2022,Feminine,"Beige embellished top, draped skirt","Black choker, earrings","Loose, draped","Elegant, contemporary","Textured fabric, monochrome"
1,We11done,Spring 2022,Feminine,White sequin dress,"Black choker, black socks, black platform shoes","Loose, balloon hem","Ethereal, modern","Sparkling texture, contrast accessories"
2,We11done,Spring 2022,Feminine,"Beige embellished coat, pleated skirt","White and black handbag, black socks, black platform shoes","Structured, layered","Chic, sophisticated","Textured coat, monochrome accessories"
3,We11done,Spring 2022,Feminine,"Black coat, pleated skirt","Black handbag, black socks, black platform shoes","A-line, layered","Minimalist, sleek","Monochrome look, metallic choker"
