Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Emanuel Ungaro,Spring 2012,Feminine,"Teal printed wrap blouse, printed trousers",Teal open-toe heels,"Relaxed, draped","Elegant, fluid","Bold print, cohesive color scheme"
2,Emanuel Ungaro,Spring 2012,Feminine,"Teal printed swimsuit, matching short-sleeve jacket",Beige strappy heels,Fitted,"Chic, beach-ready","Matching set, vibrant colors"
3,Emanuel Ungaro,Spring 2012,Feminine,Teal printed sleeveless dress,"Gold belt, beige strappy heels",A-line,"Sophisticated, airy","Draped neckline, cinched waist"
1,Emanuel Ungaro,Spring 2012,Feminine,"Blue printed blouse, blue printed pants",Strappy sandals,"Tailored, fitted","Vibrant, patterned","Deep V-neck, cohesive print"
2,Emanuel Ungaro,Spring 2012,Feminine,"Blue printed top, high-low skirt",Strappy sandals,"Flowy, dramatic","Vibrant, patterned","High-low hem, cohesive print"
3,Emanuel Ungaro,Spring 2012,Feminine,Blue printed dress,Strappy sandals,"Fitted, asymmetric","Vibrant, patterned","Asymmetric ruffle detail, cohesive print"
1,Emanuel Ungaro,Spring 2012,Feminine,"Teal tiered mini dress, long sleeves",Gold belt,"A-line, layered","Elegant, structured","Deep V-neckline, ruffled layers"
2,Emanuel Ungaro,Spring 2012,Feminine,Teal sleeveless dress with abstract appliqué,,A-line,"Artistic, playful","Contrasting appliqué details, strappy neckline"
3,Emanuel Ungaro,Spring 2012,Feminine,"Blue printed dress, matching jacket",,Relaxed fit,"Vibrant, coordinated","Tie-front jacket, abstract print"
1,Emanuel Ungaro,Fall 2010,Feminine,"Gold blazer, pink top, leopard print pants","Green clutch, green heels","Tailored, eclectic","Bold, colorful",Mix of prints and vibrant colors
2,Emanuel Ungaro,Fall 2010,Feminine,"Gray blazer, red satin dress","Black tights, black heels","Fitted, elegant","Chic, sophisticated",Classic blazer with a vibrant dress
3,Emanuel Ungaro,Fall 2010,Feminine,"Polka dot coat, leopard print top, gold pants","Red clutch, red heels","Layered, bold","Playful, daring",Mix of patterns with strong color accents
1,Emanuel Ungaro,Fall 2010,Feminine,"One-shoulder floral dress, black tights",Red heels,"Fitted, asymmetric","Bold, vibrant","Floral print, one-shoulder design"
2,Emanuel Ungaro,Fall 2010,Feminine,"Leopard print dress, black blazer, black tights","Green clutch, green heels","Tailored, layered","Chic, modern","Leopard print, contrasting colors"
3,Emanuel Ungaro,Fall 2010,Feminine,"Off-shoulder floral top, plaid trousers","Pink clutch, green heels","Relaxed, mixed prints","Eclectic, stylish","Mix of prints, off-shoulder top"
1,Emanuel Ungaro,Fall 2010,Feminine,"Red satin coat, pink floral blouse, gray shorts","Black tights, red heels","Relaxed, layered","Colorful, eclectic",Mix of textures and patterns
2,Emanuel Ungaro,Fall 2010,Feminine,Red strapless mini dress,"Black tights, black heels","Fitted, short","Elegant, bold",Asymmetrical neckline
3,Emanuel Ungaro,Fall 2010,Feminine,"Camel coat, pink floral dress","Black tights, black heels","Layered, draped","Chic, sophisticated","Contrasting colors, oversized coat"
1,Emanuel Ungaro,Spring 2007,Feminine,Purple mini dress with blue straps,Bracelet,"A-line, flowy","Playful, vibrant",Color contrast with blue and purple
2,Emanuel Ungaro,Spring 2007,Feminine,Pink and purple cut-out mini dress,Bracelet,Bodycon,"Bold, daring",Intricate cut-out details
3,Emanuel Ungaro,Spring 2007,Feminine,Striped top with floral skirt,None,Fitted,"Eclectic, colorful",Mix of patterns with stripes and florals
1,Emanuel Ungaro,Spring 2007,Feminine,Blue one-shoulder mini dress,Black bracelet,"Fitted, asymmetric","Bold, vibrant","Ruched fabric, single shoulder strap"
2,Emanuel Ungaro,Spring 2007,Feminine,"Blue and green patterned blazer, polka dot blouse, yellow floral skirt",White strappy heels,"Tailored, mixed patterns","Eclectic, colorful","Mix of prints, structured blazer"
3,Emanuel Ungaro,Spring 2007,Feminine,Multicolored strapless mini dress,"Black bracelet, white strappy heels","Fitted, strapless","Playful, colorful","Color blocking, ruched detailing"
1,Emanuel Ungaro,Spring 2007,Feminine,Yellow mini dress with puff sleeves,"White sandals, bracelet","A-line, fitted","Playful, vibrant","Bright color, square neckline"
2,Emanuel Ungaro,Spring 2007,Feminine,Orange floral mini dress with puff sleeves,White sandals,"Fitted, hourglass","Romantic, floral","Lace-up detail, floral pattern"
3,Emanuel Ungaro,Spring 2007,Feminine,"Green polka dot and striped top, pink floral skirt",White sandals,"Draped, asymmetrical","Eclectic, bold","Mix of patterns, strapless"
