Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Pringle of Scotland,Spring 2010,Feminine,"White sheer top, white cable knit cardigan, white asymmetrical skirt",Brown belt,"Layered, flowing","Textured, airy",Mix of textures with sheer and knit
2,Pringle of Scotland,Spring 2010,Feminine,White crochet dress,Brown bracelet,"Fitted, short","Textured, intricate",Detailed crochet pattern
3,Pringle of Scotland,Spring 2010,Feminine,"White sheer top, white jacket, white skirt",,"A-line, flowing","Minimalist, clean",Monochrome white ensemble
1,Pringle of Scotland,Spring 2010,Feminine,"White sleeveless top, white textured mini skirt",Gray strappy sandals,"A-line, fitted","Minimalist, fresh","Layered textures, monochrome"
2,Pringle of Scotland,Spring 2010,Masculine,"White textured short-sleeve top, beige trousers",Black shoes,"Relaxed, straight","Casual, clean","Textured knit, neutral tones"
3,Pringle of Scotland,Spring 2010,Feminine,White sleeveless dress with ruffle details,Gray strappy sandals,"Straight, fitted","Elegant, simple","Ruffle accents, monochrome"
1,Pringle of Scotland,Spring 2010,Feminine,"White shorts, white t-shirt, patterned jacket",Beige strappy sandals,"Casual, relaxed","Minimalist, fresh","Light color palette, simple lines"
2,Pringle of Scotland,Spring 2010,Feminine,Striped dress with yellow accents,Beige strappy sandals,"Straight, fitted","Modern, chic","Geometric patterns, subtle color pop"
3,Pringle of Scotland,Spring 2010,Feminine,"White t-shirt, patterned shorts, beige trench coat",Beige strappy sandals,"Layered, structured","Sophisticated, urban","Layering with trench, neutral tones"
1,Pringle of Scotland,Spring 2014,Feminine,"White textured jacket, white textured pants",White peep-toe heels,"Tailored, straight","Minimalist, clean",Monochrome look with subtle texture
2,Pringle of Scotland,Spring 2014,Feminine,White sleeveless dress,White peep-toe heels,A-line,"Minimalist, sleek",Simple lines with a focus on texture
3,Pringle of Scotland,Spring 2014,Feminine,"White buttoned jacket, white pencil skirt",White peep-toe heels,"Tailored, fitted","Minimalist, structured",Monochrome with mesh detailing
1,Pringle of Scotland,Spring 2014,Feminine,"White cardigan, white dress, white skirt",White peep-toe heels,"Straight, clean","Minimalist, elegant","Monochrome white, subtle texture"
2,Pringle of Scotland,Spring 2014,Feminine,"White mesh-sleeved top, white embroidered skirt",White peep-toe heels,"Straight, clean","Minimalist, delicate","Mesh details, monochrome white"
3,Pringle of Scotland,Spring 2014,Feminine,"White sleeveless coat, white blouse, white pants","Red belt, white high heels","Structured, layered","Chic, modern","Bold red accent, monochrome base"
1,Pringle of Scotland,Spring 2014,Feminine,Orange knit dress,White open-toe heels,"Fitted, knee-length","Bold, vibrant","Bright color, minimal accessories"
2,Pringle of Scotland,Spring 2014,Feminine,"White mesh top, white pencil skirt",White open-toe heels,"Structured, layered","Modern, clean","Mesh details, layered textures"
3,Pringle of Scotland,Spring 2014,Feminine,"Blue patterned jacket, white lace top, white pants",White open-toe heels,"Tailored, slim","Textured, sophisticated","Patterned jacket, lace accents"
1,Pringle of Scotland,Fall 2007,Feminine,"Black cable knit sweater, black satin bubble skirt",Black gloves,"Fitted top, voluminous skirt","Textured, monochrome",Contrast of textures with knit and satin
2,Pringle of Scotland,Fall 2007,Feminine,Black double-breasted coat,"Large gray handbag, black gloves","Straight, structured","Classic, elegant",Sophisticated outerwear with subtle detailing
3,Pringle of Scotland,Fall 2007,Feminine,"Black textured coat, black satin skirt",Black necklace,"Oversized top, straight skirt","Layered, textured",Play on proportions with oversized coat
1,Pringle of Scotland,Fall 2007,Feminine,"Black textured coat, black top, black pants",None,"Layered, oversized","Monochrome, textured",Focus on texture and layering
2,Pringle of Scotland,Fall 2007,Feminine,"Black knit dress, black tights",Black choker necklace,"Voluminous, cocoon","Minimalist, chic",Emphasis on knitwear and silhouette
3,Pringle of Scotland,Fall 2007,Feminine,"Black jacket, black skirt, black tights","Black gloves, black choker necklace","Boxy, layered","Edgy, modern",Play on volume and structure
1,Pringle of Scotland,Fall 2007,Feminine,"Black fur coat, black mini skirt","Black gloves, black handbag","A-line, oversized","Chic, elegant","Textured coat, monochrome look"
2,Pringle of Scotland,Fall 2007,Feminine,White satin dress,None,"Loose, flowing","Minimalist, modern","Shiny fabric, relaxed fit"
3,Pringle of Scotland,Fall 2007,Feminine,"Black textured coat, white dress",None,"Straight, layered","Sophisticated, textured","Contrasting textures, layered look"
