Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Bibhu Mohapatra,Spring 2024,Feminine,"White coat with cutouts, white dress","Sunglasses, long necklace","A-line, layered","Elegant, modern","Intricate cutout details, bright pink shoes"
2,Bibhu Mohapatra,Spring 2024,Feminine,Navy dress with cutouts,Long necklace,"Asymmetrical, fitted","Chic, contemporary","Contrasting belt, pink shoes"
3,Bibhu Mohapatra,Spring 2024,Feminine,"White blazer, black lace top, white shorts",Long necklace,"Tailored, structured","Sophisticated, sleek","Double-breasted blazer, high-waisted shorts"
1,Bibhu Mohapatra,Spring 2024,Feminine,Navy dress with puff sleeves,"Clutch, rings","A-line, fitted bodice","Elegant, embroidered",Intricate sleeve embroidery
2,Bibhu Mohapatra,Spring 2024,Feminine,"Pink dress, matching cape","Sunglasses, long necklace","Boxy, layered","Chic, monochrome","Bold color, structured layers"
3,Bibhu Mohapatra,Spring 2024,Feminine,Floral print dress,"Necklace, earrings","Flowy, asymmetrical hem","Vibrant, floral","Playful print, pleated texture"
1,Bibhu Mohapatra,Spring 2024,Feminine,White and black lace dress,"Sunglasses, dangling earrings","A-line, fitted bodice","Elegant, intricate","Lace overlay, pleated skirt"
2,Bibhu Mohapatra,Spring 2024,Feminine,"Pleated top, wide-leg pants",Sunglasses,"Flowy, relaxed","Chic, modern","Layered textures, soft color palette"
3,Bibhu Mohapatra,Spring 2024,Feminine,Black and white dress,Black earrings,"Straight, column","Minimalist, bold","Cut-out details, monochrome contrast"
1,Bibhu Mohapatra,Fall 2023,Feminine,"White long-sleeve dress, pleated skirt","Red gloves, white fringe scarf, white boots","Flowy, asymmetrical","Elegant, ethereal",Contrasting red gloves add a pop of color
2,Bibhu Mohapatra,Fall 2023,Feminine,"Burgundy leather dress, embroidered shawl","Black belt, large bangles, tan boots","Structured, layered","Sophisticated, bold",Mix of textures with leather and embroidery
3,Bibhu Mohapatra,Fall 2023,Feminine,Black dress with geometric panels,"Pink gloves, striped scarf, green tights, black boots","Straight, tailored","Chic, modern",Vibrant accessories contrast with the dark dress
1,Bibhu Mohapatra,Fall 2023,Feminine,"Burgundy velvet suit, red knit sweater","Yellow fringe scarf, blue gloves",Tailored,"Bold, colorful","Mix of textures, vibrant contrast"
2,Bibhu Mohapatra,Fall 2023,Feminine,Black leather dress,"Patterned headscarf, yellow bangles, sunglasses",A-line,"Edgy, modern","Asymmetrical hem, statement accessories"
3,Bibhu Mohapatra,Fall 2023,Feminine,"Burgundy tiered dress, leather panel","White scarf, red bangles, sunglasses",Flowy,"Chic, layered","Mix of materials, elegant layering"
1,Bibhu Mohapatra,Fall 2023,Feminine,"Fur jacket, pleated skirt","Striped scarf, leather gloves, boots","A-line, voluminous","Elegant, layered","Rich textures, bold color contrast"
2,Bibhu Mohapatra,Fall 2023,Feminine,"Silk blouse, lace skirt","Sunglasses, blue gloves, boots","Flowy, sheer","Chic, sophisticated","Vibrant color, intricate lace"
3,Bibhu Mohapatra,Fall 2023,Feminine,"Lace dress, structured sleeves","Bold bracelets, red gloves, yellow bag, boots","Fitted, dramatic","Avant-garde, bold","Contrasting colors, textured layers"
1,Bibhu Mohapatra,Fall 2017,Feminine,"Black fur coat with green satin shoulders, black dress",Black belt,"Structured, voluminous shoulders","Elegant, dramatic","Textured fur, bold shoulder detail"
2,Bibhu Mohapatra,Fall 2017,Feminine,Black satin dress with asymmetric neckline,None visible,"Fitted, asymmetric","Chic, modern","Off-shoulder design, sleek silhouette"
3,Bibhu Mohapatra,Fall 2017,Feminine,Black dress with patterned sleeves,None visible,"Structured, fitted","Sophisticated, artistic","Geometric sleeve pattern, sleek lines"
1,Bibhu Mohapatra,Fall 2017,Feminine,"Striped sheer blouse, green satin skirt",Ring,"Fitted, voluminous sleeves","Elegant, structured","Puffed sleeves, bold color contrast"
2,Bibhu Mohapatra,Fall 2017,Feminine,Striped off-shoulder dress,Black fur belt,Fitted,"Chic, modern","Off-shoulder, belt detail"
3,Bibhu Mohapatra,Fall 2017,Feminine,"Fur coat, plaid skirt",Necklace,"Oversized, layered","Luxurious, eclectic","Mixed patterns, statement coat"
1,Bibhu Mohapatra,Fall 2017,Feminine,"Off-shoulder dress with geometric print, black skirt",Black fur belt,"Fitted, off-shoulder","Elegant, modern",Mix of textures and prints
2,Bibhu Mohapatra,Fall 2017,Feminine,"Orange top, red pleated skirt, black fur coat",None visible,"Flowing, layered","Luxurious, bold",Rich color palette with fur detailing
3,Bibhu Mohapatra,Fall 2017,Feminine,"Printed dress, black coat with fur trim",None visible,"Structured, elegant","Chic, sophisticated",Intricate print with fur accents
