Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Band of Outsiders,Fall 2010,Feminine,"Gray fur coat, blue checkered shirt, black trousers","Belt, hoop earrings","Straight, relaxed","Casual, chic","Mix of textures, office setting"
2,Band of Outsiders,Fall 2010,Feminine,"Black blazer, yellow checkered shirt, gray skirt","Blue shoes, black tights","Tailored, layered","Preppy, vintage","Contrasting patterns, casual footwear"
3,Band of Outsiders,Fall 2010,Feminine,"Black toggle coat, striped shirt, rolled pants","Sunglasses, hood","Oversized, layered","Eclectic, urban","Mix of formal and casual, statement coat"
1,Band of Outsiders,Fall 2010,Feminine,"Brown knit cardigan, plaid trousers","Blue sunglasses, brown scarf","Relaxed, layered","Cozy, vintage-inspired","Warm tones, casual elegance"
2,Band of Outsiders,Fall 2010,Feminine,"Gray double-breasted blazer, gray trousers","Gray scarf, sunglasses","Tailored, structured","Chic, sophisticated","Monochrome palette, modern tailoring"
3,Band of Outsiders,Fall 2010,Feminine,"Beige short-sleeve dress, black leggings",Platform sandals,"Straight, minimal","Casual, contemporary","Neutral tones, simple lines"
1,Band of Outsiders,Fall 2010,Feminine,"Striped sleeveless blouse, gray cuffed trousers","Belt, fur-trimmed gloves","Relaxed, tailored","Casual, eclectic","Layered textures, playful accessories"
2,Band of Outsiders,Fall 2010,Feminine,Yellow polka dot dress,"Black tights, brown shoes","Draped, fitted","Vintage-inspired, playful","Bold print, retro vibe"
3,Band of Outsiders,Fall 2010,Feminine,"Shearling-lined leather jacket, gray turtleneck, patterned skirt","Sunglasses, black tights, brown shoes","Layered, structured","Cozy, chic","Mixed patterns, warm layers"
1,Band of Outsiders,Spring 2015,Feminine,"Light blue button-up shirt, cream pleated skirt","Black fringe hat, lace-up sandals","Relaxed, A-line","Casual, playful","Contrasting textures, summer vibe"
2,Band of Outsiders,Spring 2015,Feminine,Cream sleeveless dress with black waist detail,"Black fringe hat, lace-up sandals","Fitted, A-line","Elegant, minimal","Bold waist accent, monochrome contrast"
3,Band of Outsiders,Spring 2015,Feminine,Blue sleeveless dress with black X detail,"Black fringe hat, black loafers","Straight, A-line","Graphic, modern","Geometric patterns, bold detailing"
1,Band of Outsiders,Spring 2015,Feminine,Sleeveless checkered dress,"White fringed hat, gladiator sandals","Straight, relaxed","Casual, playful",Light blue and white color palette
2,Band of Outsiders,Spring 2015,Feminine,"Crochet sweater, striped skirt","White fringed hat, gladiator sandals","Layered, fitted","Textured, casual",Mix of crochet and stripes
3,Band of Outsiders,Spring 2015,Feminine,"Gray blazer, matching trousers, crochet top","White fringed hat, black sandals","Tailored, structured","Chic, modern",Monochrome gray with texture contrast
1,Band of Outsiders,Spring 2015,Feminine,"Gray blazer, gray hoodie, gray shorts","White fringed hat, white sandals","Relaxed, casual","Layered, sporty",Monochrome gray palette
2,Band of Outsiders,Spring 2015,Feminine,White patterned dress,"Black fringed hat, black gladiator sandals","A-line, loose","Minimalist, chic","Subtle pattern, contrast trim"
3,Band of Outsiders,Spring 2015,Feminine,"Striped blazer, striped shorts","Black fringed hat, colorful gladiator sandals","Tailored, fitted","Graphic, bold","Vertical stripes, coordinated set"
