Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,K Krizia,Spring 2024,Feminine,"White pleated asymmetrical top, Black fitted pants",Silver ear cuff,Fitted,"Minimalist, Modern",Architectural top design
1,K Krizia,Spring 2024,Feminine,"Black halter dress, graphic print",Black sunglasses,Fitted,"Modern, Sleek, Graphic",Minimalist aesthetic with bold graphic detail
1,K-Krizia,Spring 2024,Feminine,"Black asymmetrical cutout top, black textured pants",Earrings,Fitted,"Modern, Edgy",Minimalist design with a focus on structure
1,K Krizia,Spring 2024,Feminine,"Pleated grey mini dress, asymmetrical hem",None,Bodycon,"Elegant, Textured, Modern",Features pleated texture and ruffled details
1,K Krizia,Spring 2024,Feminine,"White long-sleeve top with black leopard print, Black skirt with slit and leopard print","Sunglasses, Earrings","Fitted top, Straight skirt","Modern, Graphic, Elegant",Monochrome palette with bold animal motifs
1,K Krizia,Spring 2024,Feminine,"Black satin mini dress, asymmetric straps",None,Bodycon,"Modern, Sleek, Minimalist",Sophisticated evening look with architectural details
1,K Krizia,Spring 2024,Feminine,"Black ribbed cut-out top, White wide-leg pants","Black sunglasses, Earrings","Fitted top, Wide-leg pants","Minimalist, Modern, Chic",Monochrome contrast with sleek lines
1,K Krizia,Spring 2024,Feminine,"White pinstripe shirt, White ruched bikini top, White ruched shorts",Silver metallic clutch,"Relaxed, Minimalist","Chic, Modern","Layered shirt over bikini, Monochrome white"
1,K Krizia,Spring 2024,Feminine,"White oversized trench coat, Black undergarment",Earrings,"Oversized, Longline","Minimalist, Modern","Contrasting textures, Urban backdrop"
1,K Krizia,Spring 2024,Feminine,"Black halter top, Black high-waisted skirt","Black strappy heels, Black earrings","Fitted, Sleek","Minimalist, Chic",Asymmetrical top with cut-out detail
1,K Krizia,Spring 2024,Feminine,"White ribbed cut-out top, Black textured pants","Black structured handbag, Silver ear cuff","Fitted top, Relaxed pants","Modern, Edgy, Minimalist","Strong contrast between top and pants, sleek accessories"
1,K Krizia,Spring 2024,Feminine,"Black halter-neck gown, satin",None visible,"Fitted, floor-length","Minimalist, Elegant",Backless design with strappy details
1,K Krizia,Spring 2024,Feminine,"Black pleated dress, spaghetti straps",Silver hoop earrings,"A-line, flowy","Minimalist, Elegant",Sleek and modern aesthetic
1,K Krizia,Spring 2024,Feminine,"White graphic sleeveless crop top, Black textured pants","Black oversized sunglasses, Silver hoop earrings","Fitted top, Relaxed pants","Modern, Edgy, Minimalist","Bold graphic print, Monochrome palette"
1,K Krizia,Spring 2024,Feminine,"Cropped black tweed jacket, Black tailored pants",Black sandals,"Slim, Cropped","Minimalist, Modern",Monochrome look with textured fabric
1,K Krizia,Spring 2024,Feminine,"Pleated white blouse, Black leggings",Silver earrings,"Relaxed top, Fitted bottom","Minimalist, Modern",Textured blouse adds interest
1,K Krizia,Spring 2024,Feminine,Red ribbed cut-out dress,Sunglasses,Form-fitting,"Modern, Sleek",Minimalist design with bold color
1,K Krizia,Spring 2024,Feminine,"Brown cropped jacket, Brown high-waisted trousers, Black bandeau top",Black strappy heels,"Tailored, Fitted","Minimalist, Modern",Crisp tailoring with a sleek silhouette
1,K Krizia,Spring 2024,Feminine,"Ribbed silver zip-up top, Black trousers",None,"Fitted top, Relaxed trousers","Minimalist, Modern",Sleek and contemporary look
1,K Krizia,Spring 2024,Feminine,"White bodysuit with black graphic, Black wide-leg cargo pants",None,Relaxed,"Graphic, Minimalist",Bold graphic on bodysuit
1,K Krizia,Spring 2024,Feminine,"Ruched black halter vest, Ruched black shorts","Black oversized sunglasses, Hoop earrings",Fitted,"Modern, Sleek",Minimalist aesthetic with textured fabric
1,K Krizia,Spring 2024,Feminine,"Metallic blazer, Metallic trousers","Strappy sandals, Earrings","Tailored, Structured","Chic, Modern",Minimalist styling with a focus on metallic textures.
1,K Krizia,Spring 2024,Feminine,"White silk shirt with black leopard print, Black shorts",None,Relaxed,"Animal print, Minimalist","Bold back print, Modern edge"
1,K-Krizia,Spring 2024,Feminine,"""Black ruched blazer, Black cutout pants""","""Silver statement earrings""",Fitted,"Modern, Edgy, Minimalist",Sleek and sophisticated with a focus on texture and silhouette.
