Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Tucker,Fall 2012,Feminine,"Leopard print suit, patterned shirt",Brown heels,"Tailored, fitted","Bold, eclectic",Animal print suit with contrasting shirt
2,Tucker,Fall 2012,Feminine,"Blue floral blouse, green patterned shorts",Black tights,"Relaxed, casual","Mix-and-match, vibrant",Contrasting patterns with a casual vibe
3,Tucker,Fall 2012,Feminine,Green patterned dress,Black tights,"A-line, relaxed","Chic, textured",Textured dress with a simple silhouette
1,Tucker,Fall 2012,Feminine,"Green patterned sleeveless dress, black tights",Black open-toe heels,"Fitted, short","Chic, modern","Textured fabric, simple silhouette"
2,Tucker,Fall 2012,Feminine,"Brown leopard print dress, black tights",Beige heels,"Relaxed, long","Casual, bold","Animal print, v-neckline"
3,Tucker,Fall 2012,Feminine,"Patterned top, brown patterned skirt, black tights",Beige heels,"Flowy, midi","Eclectic, layered","Mixed prints, draped neckline"
1,Tucker,Fall 2012,Feminine,"Patterned blazer, patterned skirt, white blouse","Pink tights, nude heels","Tailored, fitted","Vibrant, eclectic","Bold patterns, coordinated set"
2,Tucker,Fall 2012,Feminine,Blue patterned dress,"Blue tights, blue heels","A-line, relaxed","Casual, chic","Monochromatic styling, comfortable fit"
3,Tucker,Fall 2012,Feminine,"Black coat, blue patterned dress","Blue tights, blue heels","Layered, relaxed","Elegant, sophisticated","Textured outerwear, layered look"
1,Tucker,Fall 2013,Feminine,"Patterned jacket, skinny jeans","Fur hat, ankle boots","Relaxed, fitted","Bohemian, eclectic","Rich textures, mix of patterns"
2,Tucker,Fall 2013,Feminine,"Printed dress, tights",Ankle boots,"A-line, flowing","Playful, modern","Polka dot pattern, layered look"
3,Tucker,Fall 2013,Feminine,"Leopard print coat, patterned dress, tights","Fur hat, ankle boots","Layered, bold","Eclectic, vibrant","Mix of prints, bold colors"
1,Tucker,Fall 2013,Feminine,"Floral jumpsuit, black velvet blazer",Black fur hat,"Relaxed, layered","Eclectic, vibrant","Mix of textures, bold print"
2,Tucker,Fall 2013,Feminine,"White and green blouse, blue patterned skirt",Fur hat,"A-line, flowing","Retro, playful","Color-blocking, vintage vibe"
3,Tucker,Fall 2013,Feminine,"Black floral dress, black turtleneck",Black fur hat,"Straight, layered","Bohemian, chic","Monochrome pattern, layered look"
1,Tucker,Fall 2013,Feminine,"Green blouse, patterned pants",Fur hat,"Relaxed, flowing","Bohemian, eclectic","Bright color contrast, playful patterns"
2,Tucker,Fall 2013,Feminine,"Color-blocked blouse, black pants",None,"Tailored, sleek","Modern, chic","Geometric patterns, clean lines"
3,Tucker,Fall 2013,Feminine,"Red blouse with patterned yoke, black jeans",None,"Casual, fitted","Casual, vibrant",Bold color with geometric accents
