Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Balenciaga,Spring 2008,Feminine,Orange printed mini dress,Black and white lace-up boots,"Fitted, structured","Futuristic, bold","Intricate pattern, puffed sleeves"
2,Balenciaga,Spring 2008,Feminine,Blue floral printed mini dress,Black and white lace-up boots,"Fitted, structured","Futuristic, bold","Intricate pattern, puffed sleeves"
3,Balenciaga,Spring 2008,Feminine,Pink floral printed mini dress,Black and white lace-up boots,"Fitted, structured","Futuristic, bold","Intricate pattern, cap sleeves"
1,Balenciaga,Spring 2008,Feminine,Metallic structured mini dress,Lace-up knee-high boots,"Fitted, sculptural","Futuristic, avant-garde","Intricate pattern, strong shoulders"
2,Balenciaga,Spring 2008,Feminine,Floral structured mini dress,Lace-up knee-high boots,"Fitted, sculptural","Futuristic, vibrant","Bold floral print, strong shoulders"
3,Balenciaga,Spring 2008,Feminine,Metallic structured top and shorts,Lace-up knee-high boots,"Fitted, sculptural","Futuristic, avant-garde","Intricate pattern, strong shoulders"
1,Balenciaga,Spring 2008,Feminine,"Blue printed top, matching shorts",Knee-high gladiator sandals,"Structured, fitted","Futuristic, bold","Metallic sheen, intricate pattern"
2,Balenciaga,Spring 2008,Feminine,"Floral printed top, matching shorts",Knee-high gladiator sandals,"Structured, fitted","Futuristic, vibrant","Bold floral pattern, sculptural shoulders"
3,Balenciaga,Spring 2008,Feminine,"Pink floral printed top, matching shorts",Knee-high gladiator sandals,"Structured, fitted","Futuristic, colorful","Bright floral pattern, strong shoulders"
1,Balenciaga,Fall 2006,Feminine,"Black checkered coat, matching skirt","Black gloves, black hat","A-line, structured","Mod, retro","Monochrome check pattern, high platform boots"
2,Balenciaga,Fall 2006,Feminine,"Red plaid coat, matching skirt","Black gloves, black hat","A-line, structured","Mod, retro","Bold plaid pattern, high platform boots"
3,Balenciaga,Fall 2006,Feminine,"Brown plaid coat, matching skirt","Black gloves, black hat","A-line, structured","Mod, retro","Earthy plaid pattern, high platform boots"
1,Balenciaga,Fall 2006,Feminine,"Checked jacket, matching skirt","Black gloves, black hat","A-line, structured","Equestrian, classic",Monochrome check pattern
2,Balenciaga,Fall 2006,Feminine,Checked coat,"Black gloves, black hat","Boxy, oversized","Equestrian, modern","Buckle details, monochrome check"
3,Balenciaga,Fall 2006,Feminine,White double-breasted coat,"Black gloves, black hat","Boxy, oversized","Minimalist, elegant","Clean lines, monochrome contrast"
1,Balenciaga,Fall 2006,Feminine,"Camel coat, black leggings","Black helmet hat, black gloves, platform boots","A-line, structured","Minimalist, equestrian","Oversized buttons, sleek lines"
2,Balenciaga,Fall 2006,Feminine,"Brown jacket, plaid skirt, black leggings","Black helmet hat, black gloves, platform boots","Boxy, flared","Layered, equestrian","Contrasting collar, structured layers"
3,Balenciaga,Fall 2006,Feminine,"White coat, black double-breasted top, black shorts, black leggings","White helmet hat, black gloves, platform boots","Oversized, tailored","Chic, equestrian","Plaid lining, monochrome contrast"
