Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Rokh,Spring 2022,Feminine,Black strapless dress with high slit,"Gold chain necklace, black gloves","Fitted, asymmetrical","Elegant, bold","Structured bodice, dramatic slit"
2,Rokh,Spring 2022,Feminine,"Off-shoulder black top, high-slit skirt","Silver necklace, green gloves","Relaxed, deconstructed","Avant-garde, edgy","Off-shoulder design, button details"
3,Rokh,Spring 2022,Feminine,"Black crop top, asymmetrical skirt","Blue gloves, gold bracelet","Fitted, layered","Modern, chic","Contrasting gloves, layered skirt"
1,Rokh,Spring 2022,Feminine,"Black halter crop top, black patent maxi skirt","Black belt, long black gloves","A-line, fitted top","Edgy, modern","Glossy finish, high waist"
2,Rokh,Spring 2022,Feminine,Black dress with large patent bow,"Long black gloves, chain bracelet","Full skirt, fitted bodice","Chic, dramatic","Textured fabric, statement bow"
3,Rokh,Spring 2022,Feminine,Black patent strapless gown,"R necklace, ruched sleeves","Column, voluminous","Glamorous, bold","High shine, structured bodice"
1,Rokh,Spring 2021,Feminine,Black sleeveless dress with lace details,"Chain necklace, belt","Flowy, structured","Gothic, edgy","Intricate lacework, dark palette"
2,Rokh,Spring 2021,Feminine,"Black top with lace shoulders, tiered skirt","Chain necklace, earrings","A-line, layered","Gothic, romantic","Textured skirt, lace detailing"
3,Rokh,Spring 2021,Feminine,Strapless black gown,"Chain necklace, arm cuff","Dramatic, fitted","Gothic, elegant","High slit, chain accessories"
1,Rokh,Spring 2021,Feminine,"Green cropped top with puff sleeves, printed maxi skirt","Black lace collar, black ribbon","A-line, fitted waist","Romantic, gothic","Intricate lace details, ethereal print"
2,Rokh,Spring 2021,Feminine,"Blue cropped top with puff sleeves, printed maxi skirt","Chain belt, earrings","A-line, fitted waist","Edgy, modern","Bold chain accessory, structured top"
3,Rokh,Spring 2021,Feminine,Pink ruffled dress,Black lace harness,"Flowy, relaxed","Romantic, bohemian","Soft ruffles, contrasting harness"
1,Rokh,Spring 2021,Feminine,"Lace top, PVC skirt","Leather harness, earrings","A-line, fitted top","Romantic, edgy",Contrast of textures with lace and PVC
2,Rokh,Spring 2021,Feminine,"Strapless PVC top, tiered skirt","Leather harness, choker","Flowy, structured top","Romantic, avant-garde",Playful ruffles with a structured harness
3,Rokh,Spring 2021,Feminine,Off-shoulder leather dress,Minimal jewelry,"Voluminous sleeves, fitted waist","Gothic, dramatic",Strong leather presence with exaggerated sleeves
