Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Ashley Williams,Fall 2024,Feminine,"Black distressed oversized sweater, black distressed leggings","Black cap, black slippers","Loose, layered","Grunge, edgy","Distressed fabric, casual layering"
2,Ashley Williams,Fall 2024,Feminine,"Sheer cropped jacket, sheer midi skirt","Platform sandals, printed socks","Straight, boxy","Avant-garde, modern","Sheer fabric, bold prints"
3,Ashley Williams,Fall 2024,Feminine,White printed mini dress,Black slippers,"Fitted, structured","Minimalist, quirky","Bold shoulder design, playful print"
1,Ashley Williams,Fall 2024,Feminine,"Patchwork jacket with fur collar, graphic crop top, black skirt with '00' print","Black cap, printed tote bag, pink slippers","Layered, casual","Eclectic, youthful","Mix of textures and prints, playful graphics"
2,Ashley Williams,Fall 2024,Feminine,"Graphic sleeveless dress, fishnet leggings","Black cap, chunky necklace, pink platform heels","Slim, elongated","Edgy, bold","Anime-inspired graphics, statement footwear"
3,Ashley Williams,Fall 2024,Feminine,"Blue floral sweater with fur collar, printed skirt","Pink cap, printed tote bag, pink boots","Oversized, relaxed","Quirky, cozy","Contrasting patterns, bold accessories"
1,Ashley Williams,Fall 2024,Feminine,Black ruffled dress,"Heart-shaped bag, black cap, platform sandals","Voluminous, layered","Playful, avant-garde","Textured ruffles, monochrome look"
2,Ashley Williams,Fall 2024,Feminine,"Mesh bodysuit, printed leggings","White cap, platform sandals","Slim, fitted","Edgy, futuristic","Graphic prints, contrasting textures"
3,Ashley Williams,Fall 2024,Feminine,Printed sleeveless dress,"Black cap, animal-shaped clutch, boots","Loose, flowing","Quirky, eclectic","Playful prints, mixed patterns"
1,Ashley Williams,Spring 2016,Feminine,"Black printed dress, pink wrap detail","Striped headscarf, pink plush bag, statement earrings","Fitted bodice, flared skirt","Eclectic, playful","Bold pink accents, insect print"
2,Ashley Williams,Spring 2016,Feminine,"White graphic tank top, printed shorts","Beaded headpiece, large tote bag, statement earrings","Casual, fitted","Edgy, graphic","'Bad Mood' text, insect motifs"
3,Ashley Williams,Spring 2016,Feminine,"Striped sweater, printed skirt with blue wrap detail","Pink plush bag, statement necklace, earrings","Layered, flared","Quirky, bold","Mix of patterns, playful accessories"
1,Ashley Williams,Spring 2016,Feminine,"White bodysuit with 'Bad Mood' print, fishnet tights","Studded headscarf, layered necklaces, statement earrings",Fitted,"Edgy, graphic","Bold graphic print, punk-inspired accessories"
2,Ashley Williams,Spring 2016,Feminine,"Pink and black striped sweater, printed high-waisted shorts, fishnet tights","Statement earrings, layered necklaces",Fitted,"Playful, punk","Contrasting stripes and prints, bold accessories"
3,Ashley Williams,Spring 2016,Feminine,"Black graphic tank top, red vinyl skirt, fishnet tights","Striped headscarf, statement earrings, plush toy",Fitted,"Eclectic, bold","Mix of textures, playful accessory, vibrant colors"
1,Ashley Williams,Spring 2016,Feminine,Red patent trench coat,"Fishnet stockings, statement earrings","Structured, belted","Bold, edgy","Features graphic patches, high shine"
2,Ashley Williams,Spring 2016,Feminine,"Black and white printed top, wide-leg pants","Striped headscarf, plush toy bag, pink heels","Loose, flowy","Graphic, eclectic","Mix of prints, playful accessories"
3,Ashley Williams,Spring 2016,Feminine,"Black leather jacket with pink accents, black and white skirt","Striped headscarf, statement earrings","Fitted top, flared skirt","Punk, rebellious","Contrasting colors, graphic text detail"
