Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Unknown,Spring 2010,Feminine,Black and white color-block dress,Black ankle boots,"Fitted, hourglass","Chic, modern",High contrast color-blocking
2,Unknown,Spring 2010,Feminine,"White loose blouse, beige trousers",White lace-up shoes,"Relaxed, tailored","Minimalist, elegant","Soft color palette, casual elegance"
3,Unknown,Spring 2010,Feminine,Black and white panel dress,Black lace-up shoes,"Fitted, hourglass","Chic, modern","Graphic paneling, sleek design"
1,Unknown,Spring 2010,Feminine,Color-blocked romper,White oxford shoes,"Fitted, short","Minimalist, modern",Soft color palette with geometric design
2,Unknown,Spring 2010,Feminine,"Black biker jacket, black skirt",Black heeled shoes,"Structured, tailored","Edgy, chic",Classic biker style with a feminine twist
3,Unknown,Spring 2010,Feminine,Orange and white dress,White oxford shoes,"Flared, A-line","Playful, vibrant",Bold color with playful cutouts
1,Unknown,Spring 2010,Feminine,White mini dress with orange belt,Peep-toe heels,"A-line, fitted","Minimalist, chic",Bright belt adds a pop of color
2,Unknown,Spring 2010,Feminine,Silver satin mini dress,Black heels,"Straight, relaxed","Minimalist, elegant",Simple and sleek design
1,Unknown,Fall 2015,Feminine,"White ribbed sleeveless turtleneck, white ribbed skirt, white ribbed pants",,"Loose, layered","Minimalist, monochrome","Textured knit, clean lines"
2,Unknown,Fall 2015,Feminine,"Gray ribbed turtleneck sweater, gray ribbed skirt",,"Loose, layered","Minimalist, monochrome","Textured knit, clean lines"
3,Unknown,Fall 2015,Feminine,"Black ribbed sleeveless turtleneck dress, black ribbed skirt",Silver circular belt,"Loose, layered","Minimalist, monochrome","Textured knit, metallic accent"
1,Unknown,Fall 2015,Feminine,"Navy coat, gray knit dress",,"Straight, layered","Minimalist, elegant","High collar, mid-length dress"
2,Unknown,Fall 2015,Feminine,"Navy sleeveless dress, white long-sleeve top",,"Straight, layered","Minimalist, sleek","Sheer sleeves, vertical ribbing"
3,Unknown,Fall 2015,Masculine,"Black suit, white shirt",Silver hoop accessory,"Tailored, classic","Androgynous, modern","Oversized shirt, sleek tailoring"
1,Unknown,Spring 2015,Feminine,Sleeveless white dress with layered skirt,None,"A-line, voluminous","Minimalist, elegant","Structured bodice, flowing skirt"
2,Unknown,Spring 2015,Feminine,White dress with straps and layered skirt,White heels,"A-line, layered","Minimalist, elegant","Strap details, tiered layers"
3,Unknown,Spring 2015,Feminine,"White coat, white skirt",None,"Boxy, structured","Minimalist, modern","Clean lines, monochrome look"
1,Unknown,Spring 2015,Feminine,White ruffled mini dress,White heels,"A-line, voluminous","Romantic, textured","Layered ruffles, soft texture"
2,Unknown,Spring 2015,Feminine,"Black floral top, black tiered skirt",None,Fit and flare,"Elegant, structured","Floral print, tiered skirt"
3,Unknown,Spring 2015,Feminine,Black floral sheer dress,Black heels,"Flowy, relaxed","Ethereal, sheer","Sheer fabric, floral motifs"
1,Unknown,Spring 2015,Feminine,"Black sweater, floral print skirt",Black heels,"A-line, layered","Elegant, monochrome","Floral pattern, high contrast"
2,Unknown,Spring 2015,Feminine,"Blush fur coat, wide-leg trousers",None,"Relaxed, flowing","Soft, luxurious",Monochrome blush tones
3,Unknown,Spring 2015,Feminine,Blush shirt dress,Ankle-tie heels,"A-line, flowing","Minimalist, chic","Monochrome, soft silhouette"
