Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Carven,Fall 2011,Feminine,"Gray blazer, brown shirt, tan skirt",Round sunglasses,A-line,"Vintage-inspired, classic",Faux fur collar detail
2,Carven,Fall 2011,Feminine,Gray coat with fur sleeves,Round sunglasses,Fitted,"Modern, structured","Textured sleeves, belted waist"
3,Carven,Fall 2011,Feminine,Printed sleeveless dress,Round sunglasses,A-line,"Minimalist, elegant","Pleated skirt, subtle print"
1,Carven,Fall 2011,Feminine,"Orange leather jacket, brown skirt, collared shirt",,"Fitted, flared","Textured, layered","Rich textures, warm tones"
2,Carven,Fall 2011,Feminine,"Navy ribbed sweater, black leather skirt",Black crossbody bag,"Slim, structured","Edgy, modern","Monochrome, sleek lines"
3,Carven,Fall 2011,Feminine,"Navy coat with toggle closures, black tights",,"A-line, tailored","Classic, elegant","Contrasting toggles, timeless appeal"
1,Carven,Fall 2011,Feminine,"Patterned sweater, olive skirt",Black loafers,"A-line, fitted","Chic, casual","Graphic sweater, flared skirt"
2,Carven,Fall 2011,Feminine,"Gray double-breasted coat, black dress",Black loafers,"Tailored, structured","Classic, sophisticated","Contrasting buttons, sleek lines"
3,Carven,Fall 2011,Feminine,"Olive jacket, brown skirt, navy shirt",Black loafers,"A-line, tailored","Modern, layered","Double-breasted jacket, tonal layering"
1,Carven,Spring 2014,Feminine,Black coat with floral embroidery,"Black choker, platform sandals","Straight, oversized","Floral, edgy",Contrasting floral details on shoulders
2,Carven,Spring 2014,Feminine,Multicolored camo print coat,"White floral choker, platform sandals","Straight, oversized","Bold, colorful",Camo print with floral accents
3,Carven,Spring 2014,Feminine,"Black jacket with floral embroidery, floral print dress","Black choker, floral print bag, platform sandals","Straight, layered","Floral, eclectic",Mix of floral prints and textures
1,Carven,Spring 2014,Feminine,Multicolored camo floral dress,White floral choker,"A-line, fitted","Playful, vibrant",Mix of camouflage and floral patterns
2,Carven,Spring 2014,Feminine,"Blue floral jacket, blue floral skirt",Black choker,"Structured, layered","Floral, bold",Contrasting floral prints on jacket and skirt
3,Carven,Spring 2014,Feminine,Black floral dress,"Black choker, multicolored camo bag","A-line, sleek","Chic, modern",Minimalist black with floral accents and camo bag
1,Carven,Spring 2014,Feminine,"Black lace shirt, multicolored camouflage skirt",Black choker,"Fitted, knee-length","Edgy, playful","Mix of textures, bold print"
2,Carven,Spring 2014,Feminine,"Multicolored camouflage crop top, matching high-low skirt",Black choker,"A-line, asymmetrical","Vibrant, youthful","Coordinated set, dynamic hemline"
3,Carven,Spring 2014,Feminine,Black cut-out dress with long train,"Floral print bag, black choker","Dramatic, flowing","Chic, modern","Contrasting textures, statement train"
