Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Adeam,Fall 2022,Feminine,"Brown quilted coat, white dress",Gold earrings,"Layered, voluminous","Cozy, autumnal","Quilted texture, earthy tones"
2,Adeam,Fall 2022,Feminine,"Brown quilted cape, white dress, plaid pants","Gold earrings, rings","Layered, relaxed","Chic, layered","Mix of textures, plaid pattern"
3,Adeam,Fall 2022,Feminine,"Plaid coat, navy sweater, striped skirt","Gold earrings, rings","Layered, tailored","Sophisticated, modern","Plaid and stripes mix, structured layers"
1,Adeam,Fall 2022,Feminine,"Navy pinstripe shirt, plaid skirt",Statement earrings,"A-line, layered","Eclectic, modern","Mix of patterns, structured top"
2,Adeam,Fall 2022,Feminine,"Patterned dress, navy cape coat","Statement earrings, rings","A-line, layered","Chic, sophisticated","Bold prints, cape detail"
3,Adeam,Fall 2022,Feminine,"One-shoulder patterned top, black quilted skirt",Statement earrings,"A-line, asymmetric","Contemporary, artistic","Asymmetric top, quilted texture"
1,Adeam,Fall 2022,Feminine,"Argyle sweater, patterned turtleneck, patterned skirt, wide-leg pants",Statement earrings,"Layered, relaxed","Eclectic, patterned","Mix of prints, layered textures"
2,Adeam,Fall 2022,Feminine,"Silk blouse, pleated skirt, wide-leg pants","Statement earrings, rings","Flowy, elegant","Monochrome, sophisticated","Rich fabric, deep color"
3,Adeam,Fall 2022,Feminine,"Argyle sweater, pleated dress, over-the-knee boots",,"Layered, structured","Eclectic, modern","Mix of textures, bold footwear"
1,Adeam,Spring 2016,Feminine,"White wrap dress, textured capelet",Black strappy sandals,"A-line, structured","Modern, minimal","Monochrome palette, geometric texture"
2,Adeam,Spring 2016,Feminine,"White dress, patterned jacket",Black strappy sandals,"A-line, layered","Chic, tailored","Contrasting textures, layered look"
3,Adeam,Spring 2016,Feminine,"White blouse, black and white skirt",Black strappy sandals,"A-line, asymmetric","Classic, contemporary","Button details, asymmetric hem"
1,Adeam,Spring 2016,Feminine,"Oversized knit sweater, patterned skirt",Strappy sandals,"Loose, relaxed","Casual, layered","Monochrome patterns, textured knit"
2,Adeam,Spring 2016,Feminine,"Peplum dress with button detail, long sleeves",Strappy sandals,"Fitted, structured","Modern, chic","Peplum accent, geometric pattern"
3,Adeam,Spring 2016,Feminine,"Long white coat, layered dress",Strappy sandals,"Flowing, layered","Elegant, sophisticated","Contrasting lapels, layered textures"
1,Adeam,Spring 2016,Feminine,Patchwork maxi dress,Platform sandals,"Flowy, asymmetrical","Eclectic, modern",Mix of patterns and textures
2,Adeam,Spring 2016,Feminine,"Cold shoulder top, wide-leg pants",Platform sandals,"Relaxed, layered","Chic, contemporary",Monochrome palette with geometric patterns
3,Adeam,Spring 2016,Feminine,Off-shoulder white gown,Platform sandals,"Elegant, flowing","Minimalist, ethereal",Soft draping with subtle detailing
1,Adeam,Fall 2015,Feminine,"Gray asymmetrical tunic, black long-sleeve top, black skirt",Black lace-up boots,"Layered, structured","Edgy, modern","Textured fabric, asymmetrical design"
2,Adeam,Fall 2015,Feminine,"Black oversized sweater, black wide-leg pants",Black oversized scarf,"Relaxed, elongated","Minimalist, cozy","Monochrome, oversized scarf"
3,Adeam,Fall 2015,Feminine,"Gray cross-over vest, black long-sleeve top, black skirt",Black lace-up boots,"Layered, structured","Edgy, modern","Textured fabric, cross-over vest"
1,Adeam,Fall 2015,Feminine,"Gray wool coat, turtleneck, black pants",Black lace-up boots,"Straight, streamlined","Minimalist, modern","Monochrome look, subtle texture"
2,Adeam,Fall 2015,Feminine,"Black turtleneck, gray ruched top, black pants",Black shoes,"Fitted, layered","Chic, contemporary","Textured paneling, sleek lines"
3,Adeam,Fall 2015,Feminine,"Gray turtleneck, geometric patterned dress",Black lace-up boots,"Fitted, structured","Graphic, bold","Color blocking, mixed textures"
1,Adeam,Fall 2015,Feminine,"Gray zip-up jacket, black turtleneck, striped skirt",Black ankle boots,"Structured, layered","Modern, minimalist","Textured fabric, muted colors"
2,Adeam,Fall 2015,Feminine,"Black turtleneck, gray draped skirt",Black lace-up boots,"A-line, draped","Chic, contemporary","Asymmetrical skirt, monochrome palette"
3,Adeam,Fall 2015,Feminine,"Black leather vest, black turtleneck, black trousers",None,"Tailored, sleek","Edgy, sophisticated","Leather texture, clean lines"
