Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Véronique Branquinho,Fall 2009,Feminine,"Gray cape, geometric dress",Gray ankle boots,"Draped, fitted","Elegant, modern",Metallic geometric pattern on dress
2,Véronique Branquinho,Fall 2009,Feminine,"Draped top, pleated skirt",Knee-high boots,"Layered, flowing","Sophisticated, chic",Cut-out shoulder detail
3,Véronique Branquinho,Fall 2009,Feminine,"Draped top, pinstripe trousers",Heeled shoes,"Relaxed, tailored","Effortless, stylish",Feather detail on shoulders and shoes
1,Véronique Branquinho,Fall 2009,Feminine,Gray double-breasted coat with fur collar,"Gray tights, brown heels","Structured, knee-length","Classic, elegant",Fur detail adds texture
2,Véronique Branquinho,Fall 2009,Feminine,Gray coat with fur sleeves,"Gray tights, brown heels","Structured, knee-length","Avant-garde, dramatic",Fur sleeves create a bold statement
3,Véronique Branquinho,Fall 2009,Feminine,Gray draped dress,"Gray tights, brown heels with fur detail","Loose, knee-length","Minimalist, modern",Draped neckline adds interest
1,Véronique Branquinho,Fall 2009,Feminine,"Plaid coat, layered skirt","Leather gloves, knee-high boots","A-line, layered","Cozy, textured","Muted tones, oversized coat"
2,Véronique Branquinho,Fall 2009,Feminine,"Turtleneck, tailored vest, trousers","Shoulder bag, feathered tie","Slim, tailored","Androgynous, sleek","Feather details, monochrome"
3,Véronique Branquinho,Fall 2009,Feminine,"Draped dress, turtleneck",Knee-high boots with fur trim,"Draped, voluminous","Artistic, avant-garde","Textured fabric, statement boots"
1,Véronique Branquinho,Fall 2015,Feminine,"Black leather blouse, black leather wide-leg pants",,"Structured, flowing","Monochrome, edgy",All-black leather ensemble with a bow detail
2,Véronique Branquinho,Fall 2015,Feminine,Long black coat,Black gloves,"Straight, elongated","Minimalist, classic","High collar with button detail, sleek silhouette"
3,Véronique Branquinho,Fall 2015,Feminine,Black cape coat,Black gloves,"A-line, flowing","Dramatic, gothic","Cape-like silhouette with button closure, layered look"
1,Véronique Branquinho,Fall 2015,Feminine,"Black belted coat, high boots",Black gloves,"Long, tailored","Gothic, elegant",Dramatic eye makeup
2,Véronique Branquinho,Fall 2015,Feminine,"Black leather cape, high boots",Black gloves,"Flowing, dramatic","Gothic, mysterious",Sleek leather texture
3,Véronique Branquinho,Fall 2015,Feminine,"Black lace top, wide-leg pants",,"Slim, elongated","Chic, sophisticated",Large bow detail
1,Véronique Branquinho,Spring 2014,Feminine,"Beige sleeveless coat, white blouse, beige shorts","White heels, metallic bracelet","Structured, tailored","Minimalist, chic",Layered look with a focus on neutral tones
2,Véronique Branquinho,Spring 2014,Feminine,"Mint green jacket, mint green blouse, mint green shorts",Silver heels,"Structured, tailored","Monochrome, sleek",Soft pastel color palette
3,Véronique Branquinho,Spring 2014,Feminine,"Metallic coat, textured dress",White heels,"Structured, tailored","Elegant, modern",Metallic sheen with subtle texture contrast
