Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Adam Lippes,Spring 2023,Feminine,"Beige fringed shirt, white wide-leg trousers",White wide-brim hat,"Relaxed, flowing","Casual elegance, understated","Fringe details, monochrome look"
2,Adam Lippes,Spring 2023,Feminine,Cream belted dress,White wide-brim hat,"A-line, flowing","Minimalist, chic","Belted waist, elegant simplicity"
3,Adam Lippes,Spring 2023,Androgynous,"White oversized shirt, white eyelet skirt",,"Boxy, layered","Crisp, modern","Monochrome white, clean lines"
1,Adam Lippes,Spring 2023,Feminine,"Striped poncho, beige trousers",,"Loose, relaxed","Casual, earthy",Fringe details on poncho
2,Adam Lippes,Spring 2023,Feminine,"Floral print sweater vest, floral print dress",Large black hat,"Layered, relaxed","Vintage, bohemian","Floral patterns, oversized hat"
3,Adam Lippes,Spring 2023,Feminine,Peach pleated gown,,"Flowy, elegant","Romantic, ethereal","Deep V-neck, soft pleats"
1,Adam Lippes,Spring 2023,Feminine,"Black crochet cardigan, black bralette, brown wide-leg trousers",,"Relaxed, flowing","Chic, minimal",Emphasis on texture with crochet
2,Adam Lippes,Spring 2023,Feminine,"Embroidered crop top, matching embroidered skirt",Wide-brim hat with ribbon,"A-line, fitted","Bohemian, elegant",Intricate embroidery with a vintage feel
3,Adam Lippes,Spring 2023,Feminine,"White blouse, floral knit vest, floral trousers",,"Layered, relaxed","Casual, sophisticated",Mix of textures with floral patterns
1,Adam Lippes,Spring 2008,Feminine,"Beige blazer, white knit top, gray shorts",White headscarf,"Relaxed, casual","Layered, summer",Light layering with neutral tones
2,Adam Lippes,Spring 2008,Feminine,White sleeveless dress with polka dots,,"Straight, shift","Minimalist, airy",Simple design with subtle texture
3,Adam Lippes,Spring 2008,Feminine,"Striped strapless maxi dress, white blazer",,"Flowy, elongated","Elegant, breezy",Vertical stripes enhance height
1,Adam Lippes,Spring 2008,Masculine,"Light gray bomber jacket, white shirt, white pants",Brown watch,"Relaxed, casual","Monochrome, minimalist",Soft color palette
2,Adam Lippes,Spring 2008,Feminine,"Silver jacket, white blouse, white shorts","White headscarf, silver sandals","Relaxed, casual","Minimalist, fresh","Light layers, summer-ready"
3,Adam Lippes,Spring 2008,Masculine,"Light gray hooded jacket, white shirt, gray pinstripe pants",Brown shoes,"Relaxed, casual","Layered, modern",Subtle contrast with pinstripes
1,Adam Lippes,Spring 2008,Feminine,"White halter top, beige pencil skirt","Wide-brim hat, strappy sandals","Fitted, sleek","Casual, elegant","Neutral tones, relaxed fit"
2,Adam Lippes,Spring 2008,Feminine,Blue patterned shift dress,Flat sandals,"A-line, relaxed","Casual, comfortable","Simple pattern, easy silhouette"
3,Adam Lippes,Spring 2008,Feminine,"White tunic top, beige trousers",Heeled sandals,"Loose, flowing","Minimalist, chic","Wide sleeves, clean lines"
1,Adam Lippes,Fall 2022,Feminine,"White short-sleeve shirt, white bandeau, white long skirt",White shoes,"Relaxed, straight","Minimalist, monochrome","Clean lines, tonal layering"
