Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,John Galliano,Fall 2010,Feminine,"Striped coat with floral embroidery, wide pants with fur trim",Large black bow headpiece,"Oversized, voluminous","Eclectic, avant-garde","Mix of textures, bold headpiece"
2,John Galliano,Fall 2010,Feminine,"Gray textured coat, long skirt",Oversized gray hat,"A-line, layered","Dramatic, theatrical","Sparkling details, exaggerated proportions"
3,John Galliano,Fall 2010,Feminine,"Fur-trimmed coat, patterned skirt",Large black bow headpiece,"Layered, structured","Opulent, intricate","Rich textures, ornate patterns"
1,John Galliano,Fall 2010,Feminine,"Striped coat, fur jacket, wide-leg skirt","Feathered headpiece, choker","Voluminous, layered","Avant-garde, theatrical","Dramatic headpiece, textured layers"
2,John Galliano,Fall 2010,Feminine,"Green coat, striped pants","Feathered headpiece, choker","Layered, structured","Eclectic, bold","Mix of textures, oversized headpiece"
3,John Galliano,Fall 2010,Feminine,"Textured coat, striped skirt","Sculptural headpiece, choker","Flowing, dramatic","Futuristic, artistic","Sculptural elements, metallic accents"
1,John Galliano,Fall 2010,Feminine,"Patterned blouse, striped harem pants","Oversized fur hat, wide belt","Voluminous, layered","Eclectic, avant-garde","Mix of patterns, oversized hat"
2,John Galliano,Fall 2010,Feminine,"Pinstripe blazer, embellished skirt","Wide belt, statement necklace, large bow headpiece","Fitted top, flared skirt","Victorian, romantic","Rich textures, floral leggings"
3,John Galliano,Fall 2010,Feminine,"Striped blazer, floral pants","Embellished hat, scarf","Tailored, layered","Bohemian, vintage","Mix of prints, detailed headwear"
1,John Galliano,Spring 2014,Feminine,"Orange blazer, orange trousers","Metallic belt, black headpiece","Structured, tailored","Futuristic, bold","Deep V-neck, vibrant color"
2,John Galliano,Spring 2014,Feminine,Mint green dress with floral appliqué,Pink headpiece,"A-line, playful","Whimsical, fresh","Cut-out details, floral motifs"
3,John Galliano,Spring 2014,Feminine,Orange coat dress,None visible,"Structured, sleek","Minimalist, modern","Zipper detail, vibrant color"
1,John Galliano,Spring 2014,Feminine,"Mint cropped jacket, black patterned pants","Pink helmet, black sandals","Structured, cropped","Futuristic, geometric","Textured jacket, bold patterns"
2,John Galliano,Spring 2014,Feminine,"Mint perforated top, mint pants","Pink helmet, platform sandals with floral detail","Fitted, sleek","Modern, sporty","Perforated fabric, metallic belt"
3,John Galliano,Spring 2014,Feminine,Orange floral cut-out dress,"Black helmet, platform sandals","A-line, flared","Playful, vibrant","Bold color, floral cut-outs"
1,John Galliano,Spring 2014,Feminine,"Black embellished top, mint textured pants",Chunky platform sandals,"Slim, cropped pants","Modern, geometric","Cut-out details, bold footwear"
2,John Galliano,Spring 2014,Feminine,"White textured dress, black cut-out jacket","Striped headband, chunky platform sandals","A-line, structured","Futuristic, sporty","Contrast textures, bold accessories"
3,John Galliano,Spring 2014,Feminine,"Black deep-V blazer, black cut-out skirt","Decorative cap, chunky platform sandals",Fit-and-flare,"Edgy, avant-garde","Geometric patterns, statement belt"
1,John Galliano,Fall 2007,Feminine,"Red ruffled coat, red pleated skirt","Gold mask, red wig","Voluminous, layered","Avant-garde, theatrical","Dramatic ruffles, bold color"
2,John Galliano,Fall 2007,Feminine,"Red glossy coat, red dress","Red wig, fur stole","Structured, bold","Futuristic, bold","Glossy texture, statement shoulders"
3,John Galliano,Fall 2007,Feminine,"Red ruffled dress, orange tights","Red hat, red wig","Voluminous, textured","Eclectic, dramatic","Intricate ruffles, vibrant colors"
1,John Galliano,Fall 2007,Feminine,"Beige satin dress with floral appliqué, green tights","Feathered headpiece, small clutch","Voluminous, ruffled","Romantic, whimsical","Layered ruffles, floral details"
2,John Galliano,Fall 2007,Feminine,"Red coat with floral embellishments, black tights","Red feathered headpiece, burgundy handbag","Structured, tailored","Dramatic, theatrical","Bold color, velvet accents"
3,John Galliano,Fall 2007,Feminine,"Gold embroidered coat, lace skirt, blue striped tights","Veiled headpiece, gold handbag","Layered, ornate","Vintage, eclectic","Fur cuffs, intricate embroidery"
1,John Galliano,Fall 2007,Feminine,"Red embroidered dress, ruffled cape","Red gloves, feathered hat","A-line, voluminous","Romantic, theatrical","Rich textures, vibrant colors"
2,John Galliano,Fall 2007,Feminine,Ruffled burgundy dress,"Feathered headpiece, orange tights","Voluminous, layered","Whimsical, avant-garde","Bold color contrast, playful elements"
3,John Galliano,Fall 2007,Feminine,Floral print dress,"Veiled headpiece, purple tights","Straight, layered","Eclectic, artistic","Mix of patterns, dramatic headwear"
