Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Cynthia Rowley,Fall 2024,Feminine,"Layered ruffle dress, red and blue print; Denim jacket with blue fur collar","Sunglasses, Burgundy leather handbag, Gold metallic sandals","Layered, Flowy","Eclectic, Bold, Retro",Mix of textures and patterns with a bold color palette
1,Cynthia Rowley,Fall 2024,Feminine,Burgundy strapless chiffon dress,Metallic platform sandals,A-line,"Elegant, Modern",Features layered belts and pastel tights
1,Cynthia Rowley,Fall 2024,Feminine,"Striped oversized rugby shirt, burgundy leather mini skirt",Gold platform heels,"Oversized top, fitted skirt","Casual, Sporty, Chic",Contrasting textures with a sporty top and sleek skirt
1,Cynthia Rowley,Fall 2024,Feminine,"Brown suede fringe jacket, Sheer floral ruffled dress",Gold strappy heels,"Layered, Flowing","Bohemian, Eclectic",Mix of textures with a bohemian flair
1,Cynthia Rowley,Fall 2024,Feminine,Black and red patterned maxi dress,"Black fur stole, Red boots","Flowy, A-line","Bold, Elegant, Retro",The look features a striking pattern with a vintage-inspired silhouette.
1,Cynthia Rowley,Fall 2024,Feminine,Brown suede lace-up mini dress,Black knee-high boots with gold studs,A-line,"Retro, Chic",Shadow adds dramatic effect
1,Cynthia Rowley,Fall 2024,Feminine,"Brown suede fringe jacket, Pink and olive striped top",None visible,Relaxed,"Bohemian, Western",Fringe detail adds movement
1,Cynthia Rowley,Fall 2024,Feminine,"Green fuzzy sweater, Dark green crocodile-textured wide-leg pants","Brown leather bag, Sunglasses","Relaxed, Oversized","Casual, Chic",Textured contrast between top and pants
1,Cynthia Rowley,Fall 2024,Feminine,"Lavender knit sweater with bows, Lavender knit mini skirt",Gold metallic platform sandals,Fitted,"Playful, Modern",Shadow of a wolf adds artistic flair
1,Cynthia Rowley,Fall 2024,Feminine,"Beige strapless dress, Fur-trimmed coat with neon accents","Pink tights, Green strappy heels",A-line,"Bold, Elegant, Layered",Playful use of color and texture
1,Cynthia Rowley,Fall 2024,Feminine,"Beige knit cardigan, Beige knit shorts","Beige leather handbag, Pink velvet platform heels","Fitted, Cropped","Chic, Modern, Playful","Features oversized bows on cardigan, reflective runway"
1,Cynthia Rowley,Fall 2024,Feminine,"Camouflage mini dress, satin texture",Brown fringe bag,A-line,"Bold, Edgy, Modern",Features knee-high green boots
1,Cynthia Rowley,Fall 2024,Feminine,Camo print bodysuit,Burgundy visor,Fitted,"Sporty, Chic",Reflective surface adds visual interest.
