Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Coach,Fall 2022,Feminine,"Shearling coat, black bralette, purple corduroy pants","Black leather cap, choker, blue handbag","Oversized, relaxed","Casual, edgy","Mix of textures, bold color contrast"
2,Coach,Fall 2022,Feminine,"Shearling coat, black bralette, green corduroy pants","Black leather cap, choker, purple handbag","Oversized, relaxed","Casual, edgy",Layering with statement outerwear
3,Coach,Fall 2022,Feminine,"Graphic t-shirt, shearling skirt","Choker, earrings, black handbag","Relaxed, boxy","Casual, streetwear","Graphic print, mix of casual and luxe elements"
1,Coach,Fall 2022,Masculine,"Shearling coat, brown shorts","Leather cap, black choker, black handbag","Oversized, relaxed","Edgy, layered","Exposed chest, rugged boots"
2,Coach,Fall 2022,Masculine,"Shearling coat, graphic t-shirt, shorts","Black choker, yellow handbag","Oversized, casual","Streetwear, cozy","Graphic print, chunky boots"
3,Coach,Fall 2022,Masculine,"Graphic t-shirt, pleated shorts","Pink cap, black choker, yellow crossbody bag","Loose, casual","Playful, youthful","Teddy bear graphic, shearling slippers"
1,Coach,Fall 2022,Feminine,"Brown shearling coat, graphic tee, pink skirt","Brown leather cap, choker, black boots, small handbag","Oversized, layered","Casual, eclectic","Mix of textures, playful graphic"
2,Coach,Fall 2022,Feminine,Yellow floral dress with white collar,"Orange sunglasses, choker, small handbag, yellow heels","A-line, flowy","Retro, playful","Bold colors, vintage-inspired"
3,Coach,Fall 2022,Feminine,Yellow and white houndstooth dress with white collar,"Green sunglasses, choker, small handbag, orange heels","A-line, flowy","Retro, bold","Graphic pattern, vibrant colors"
1,Coach,Fall 2021,Feminine,"Faux fur coat, white dress",Brown leather crossbody bag,"Oversized, layered","Cozy, winter-ready","Earthy tones, layered textures"
2,Coach,Fall 2021,Feminine,"Patterned cardigan, white skirt, floral blouse","Tan shoulder bag, colorful earrings","Voluminous, layered","Eclectic, vintage-inspired","Mix of patterns, playful accessories"
3,Coach,Fall 2021,Feminine,"Camel coat, knitted dress","Patterned bags, red gloves","Relaxed, cozy","Casual, retro","Bright accessories, vintage vibe"
1,Coach,Fall 2021,Masculine,"Navy parka, red plaid shirt, black pants","Yellow crossbody bag, red sunglasses","Casual, layered","Urban, eclectic","Mix of textures, vibrant accessories"
2,Coach,Fall 2021,Feminine,"Blue graphic sweater, red plaid shirt, brown corduroy pants","Yellow handbag, pink boots","Casual, fitted","Playful, retro","Cartoon motif, bright colors"
3,Coach,Fall 2021,Masculine,"Brown shearling jacket, red plaid pants",Brown leather bag,"Oversized, rugged","Outdoor, vintage","Shearling details, bold patterns"
1,Coach,Fall 2021,Masculine,"Brown cardigan, pink sweater, red turtleneck, dark trousers","Green sunglasses, brown and yellow handbag","Relaxed, layered","Casual, eclectic","Mix of textures, playful colors"
2,Coach,Fall 2021,Feminine,"Shearling coat, blue dress, red leggings","Patterned handbag, white sandals","Layered, cozy","Vintage-inspired, playful","Animal motifs, mix of patterns"
3,Coach,Fall 2021,Feminine,"Gray coat, red dress, lace skirt","Earrings, brown handbag","Layered, flowing","Bohemian, eclectic","Mix of textures, vibrant colors"
1,Coach,Fall 2016,Feminine,"Red varsity jacket, patterned mini dress",Gold ankle boots,"Boxy, layered","Sporty, youthful",Bold varsity patches
2,Coach,Fall 2016,Feminine,"Blue varsity jacket, floral mini dress","Brown leather handbag, gray ankle boots","Boxy, layered","Sporty, eclectic",Contrasting textures
3,Coach,Fall 2016,Feminine,"Orange varsity jacket, floral mini dress",Gold ankle boots,"Boxy, layered","Sporty, vibrant",Playful color combination
1,Coach,Fall 2016,Feminine,"Red and cream varsity jacket, red and black skirt","Color-blocked handbag, gold studded loafers","A-line, cropped","Sporty, collegiate","Varsity patches, bold color contrast"
2,Coach,Fall 2016,Feminine,"Blue and gray varsity jacket, blue and gray skirt","Gray and blue handbag, silver studded loafers, white sunglasses","A-line, cropped","Sporty, collegiate","NYC patch, playful graphics"
3,Coach,Fall 2016,Feminine,"Black and white varsity jacket, black skirt","White and red handbag, red studded loafers","A-line, oversized","Sporty, collegiate","Graphic patches, bold detailing"
1,Coach,Fall 2016,Feminine,Printed shirt dress,"Black shoulder bag, gold loafers","A-line, fitted","Playful, retro","Star and moon print, bold belt detail"
2,Coach,Fall 2016,Feminine,"Camel coat with fur collar, printed dress","Navy and orange handbag, gold ankle boots","Layered, oversized","Eclectic, vintage-inspired","Contrasting textures, vibrant colors"
3,Coach,Fall 2016,Feminine,"Camel trench coat with fur collar, white dress","Orange and navy handbag, gold ankle boots, white sunglasses","Layered, relaxed","Chic, retro","Statement sunglasses, mix of neutrals and bold colors"
