Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Trina Turk,Spring 2017,Feminine,"Patterned swimsuit, beige cover-up","White sunglasses, straw hat, colorful earrings, woven bag, gold sandals","Fitted, relaxed","Tropical, vibrant","Bold patterns, beach-ready"
2,Trina Turk,Spring 2017,Feminine,"Denim blouse, white lace shorts",Colorful sandals,"Casual, relaxed","Chic, casual","Lace detailing, layered look"
3,Trina Turk,Spring 2017,Feminine,White lace-up dress,"Straw hat, patterned scarf, woven bag, gold sandals","Flowy, relaxed","Bohemian, elegant","High-low hem, lace-up neckline"
1,Trina Turk,Spring 2017,Feminine,Multicolored printed sundress,"White tassel earrings, white pumps","A-line, knee-length","Vibrant, playful",Features a colorful fan pattern
2,Trina Turk,Spring 2017,Feminine,"Multicolored one-shoulder top, white wide-leg pants","Blue statement necklace, white pumps","Relaxed, flowing","Chic, modern",Top has an asymmetrical drape
3,Trina Turk,Spring 2017,Feminine,Multicolored striped halter dress,Gold sandals,"Straight, above-knee","Bold, summery",Vertical stripes create a slimming effect
1,Trina Turk,Spring 2017,Feminine,"White ruffled one-shoulder top, multicolored patterned pants","Multicolored patterned tote bag, white pumps","Fitted, sleek","Vibrant, playful","Bold geometric print, asymmetrical top"
2,Trina Turk,Spring 2017,Feminine,Orange knit dress,"Straw hat with colorful scarf, multicolored sandals","A-line, relaxed","Bright, casual","Fringe details, textured knit"
3,Trina Turk,Spring 2017,Feminine,Multicolored off-the-shoulder dress,"Straw hat, multicolored sandals","Fitted, playful","Tropical, lively","Bold floral print, off-the-shoulder neckline"
1,Trina Turk,Fall 2013,Feminine,"Purple jumpsuit, long-sleeve blouse","Wide-brim hat, gloves, scarf","Tailored, elongated","Sophisticated, monochrome","Rich purple tones, elegant layering"
2,Trina Turk,Fall 2013,Feminine,"Black coat, graphic sweater, trousers","Red wide-brim hat, scarf","Relaxed, structured","Chic, modern","Bold color blocking, oversized coat"
3,Trina Turk,Fall 2013,Feminine,"Patterned jumpsuit, fur coat","Red wide-brim hat, necklace","Voluminous, layered","Luxurious, textured","Rich textures, statement fur coat"
1,Trina Turk,Fall 2013,Feminine,"Purple coat, red sweater, purple trousers","Red hat, purple gloves","Tailored, structured","Bold, colorful",Monochromatic with contrasting hat
2,Trina Turk,Fall 2013,Feminine,"Patterned coat, teal top, orange leather pants","Beige hat, green gloves","Layered, eclectic","Textured, vibrant",Mix of patterns and textures
3,Trina Turk,Fall 2013,Feminine,"Green leather jacket, navy blouse, green trousers","Green hat, necklace","Fitted, sleek","Chic, modern",Monochrome with statement necklace
1,Trina Turk,Fall 2013,Feminine,"Navy fur coat, patterned dress","Brown hat, blue gloves","Layered, relaxed","Eclectic, bohemian",Mix of textures and patterns
2,Trina Turk,Fall 2013,Feminine,"Black jumpsuit, patterned sleeves","Purple hat, long necklace","Tailored, elongated","Chic, sophisticated",Contrasting textures with sheer sleeves
3,Trina Turk,Fall 2013,Feminine,Striped maxi dress,"Black hat, statement ring","Straight, column","Bold, colorful",Vibrant stripes with a sleek silhouette
