Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Louis Vuitton,Spring 2009,Feminine,"Black blazer, red mini skirt","Leopard print bag, statement necklace, large earrings","Tailored, fitted","Eclectic, bold","Mix of textures, animal print accents"
2,Louis Vuitton,Spring 2009,Feminine,"Sheer burgundy blouse, orange mini skirt","Clutch with tassels, statement necklace, large earrings","Flowy, structured","Bohemian, chic","Sheer fabric, bold accessories"
3,Louis Vuitton,Spring 2009,Feminine,Orange dress with patterned insert,Large earrings,"A-line, layered","Playful, vibrant","Color blocking, layered skirt"
1,Louis Vuitton,Spring 2009,Feminine,"Orange embellished skirt, sheer top, leather jacket","Leopard print bag, statement earrings","A-line, fitted","Eclectic, bold","Rich colors, mixed textures"
2,Louis Vuitton,Spring 2009,Feminine,"Burgundy draped dress, blue shoulder accents","Chunky necklace, statement earrings","Draped, fitted","Eclectic, bold","Color contrast, statement jewelry"
3,Louis Vuitton,Spring 2009,Feminine,"Embellished shorts, black top, purple and black jacket","Patterned clutch, statement earrings","Tailored, structured","Eclectic, bold","Strong shoulders, intricate detailing"
1,Louis Vuitton,Spring 2009,Feminine,"Black mini dress with orange top, structured jacket","Large earrings, clutch, platform sandals","Structured, fitted","Bold, eclectic","Strong shoulders, color blocking"
2,Louis Vuitton,Spring 2009,Feminine,Brown mini dress with orange accents,"Yellow clutch, statement earrings, platform sandals","A-line, fitted","Playful, retro","Geometric patterns, contrasting colors"
3,Louis Vuitton,Spring 2009,Feminine,"Sheer top, structured jacket, shorts","Large handbag, statement earrings, platform sandals","Structured, fitted","Edgy, bold","Mix of textures, statement jewelry"
1,Louis Vuitton,Spring 2012,Feminine,White floral lace dress,"White handbag, headband",A-line,"Delicate, ethereal",Intricate lace detailing
2,Louis Vuitton,Spring 2012,Feminine,"White floral lace shirt, sheer skirt","White handbag, headband",A-line,"Delicate, ethereal","Button-up collar, sheer overlay"
3,Louis Vuitton,Spring 2012,Feminine,"Yellow floral lace shirt, sheer skirt","White handbag, headband",A-line,"Delicate, ethereal","Subtle yellow tint, sheer overlay"
1,Louis Vuitton,Spring 2012,Feminine,Peach lace dress with floral patterns,"White handbag, white heels","A-line, fitted","Delicate, elegant","Sheer neckline, floral motifs"
2,Louis Vuitton,Spring 2012,Feminine,"Yellow checkered jacket, matching skirt, white blouse with eyelet collar","Yellow handbag, metallic heels","Boxy, structured","Retro, playful","Bold collar, pastel check pattern"
3,Louis Vuitton,Spring 2012,Feminine,"Mint green checkered jacket, matching skirt, white blouse with eyelet collar","White handbag, metallic heels","Boxy, structured","Retro, playful","Bold collar, pastel check pattern"
1,Louis Vuitton,Spring 2012,Feminine,"Light blue textured coat, white eyelet collar, light blue dress","Gray handbag, white headband","A-line, structured","Delicate, pastel",Playful eyelet details
2,Louis Vuitton,Spring 2012,Feminine,"White short-sleeve top, mint eyelet skirt","Cream handbag, white headband","Straight, fitted","Romantic, vintage-inspired","Contrasting collar, floral patterns"
3,Louis Vuitton,Spring 2012,Feminine,"White short-sleeve top, pastel eyelet skirt","Coral handbag, white headband","Straight, fitted","Whimsical, soft","Pastel color blocking, floral motifs"
1,Louis Vuitton,Fall 2017,Feminine,"Black leather coat, yellow satin dress, leggings",Silver necklace,"Layered, sleek","Edgy, modern",Contrast of textures with leather and satin
2,Louis Vuitton,Fall 2017,Feminine,"Fur-trimmed vest, red top, black leather pants",Black handbag,"Structured, voluminous","Eclectic, bold",Mix of textures with fur and leather
3,Louis Vuitton,Fall 2017,Feminine,"Studded brown leather jacket, blue trousers, red turtleneck",Blue handbag,"Tailored, sharp","Sophisticated, edgy",Studded details add a punk element
1,Louis Vuitton,Fall 2017,Feminine,"Brown tailored coat, black pants",Black belt,"Structured, tailored","Minimalist, chic","Cinch waist, contrast stitching"
2,Louis Vuitton,Fall 2017,Feminine,"Blue satin dress, black leggings","Brown handbag, silver necklace","Flowy, layered","Elegant, modern","Asymmetrical hem, layered textures"
3,Louis Vuitton,Fall 2017,Feminine,"White satin dress, tweed jacket",Silver necklace,"Structured, layered","Classic, sophisticated","Textured jacket, ruffled hem"
1,Louis Vuitton,Fall 2017,Feminine,"Fur coat, blue pants",Black boots,"Oversized, layered","Luxurious, bold","Mixed fur textures, vibrant color contrast"
2,Louis Vuitton,Fall 2017,Feminine,"Fur vest, blue textured pants","Red and black handbag, black boots","Structured, tailored","Eclectic, modern","Animal print, color-blocking"
3,Louis Vuitton,Fall 2017,Feminine,"Blue zip-up jacket, matching pants","Tan belt, black boots, handbag","Fitted, sleek","Sporty, contemporary","Contrasting stitching, athletic influences"
