Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Lorena Antoniazzi,Fall 2024,Feminine,"Beige wool jacket, Gray shirt, Cream high-waisted pants",Brown leather boots,"Structured, Relaxed","Minimalist, Modern",Neutral tones with a focus on texture and layering.
1,Lorena Antoniazzi,Fall 2024,Feminine,"Leather shirt, ""Patchwork wool coat""",None,"Oversized, Layered","Minimalist, Neutral tones",Elegant use of textures and color blocking
1,Lorena Antoniazzi,Fall 2024,Feminine,"Plaid wool coat, Beige suit, Wide-leg trousers",None visible,"Oversized, Structured","Chic, Elegant, Layered",Neutral tones with a focus on texture and layering.
1,Lorena Antoniazzi,Fall 2024,Feminine,White wool coat with ribbed cuffs,Black boots,"Relaxed, Wrap","Minimalist, Elegant","Textured fabric with a clean, modern look"
1,Lorena Antoniazzi,Fall 2024,Feminine,"Beige cable-knit sweater, Beige patterned skirt","Beige scarf, Black boots","Relaxed, Layered","Cozy, Elegant, Textured",Neutral tones with a mix of textures
1,Lorena Antoniazzi,Fall 2024,Feminine,"Gray wool jacket, Black knit sweater, White cargo pants",None visible,"Structured, Oversized","Modern, Cozy, Layered",Neutral tones with a focus on texture and layering.
1,Lorena Antoniazzi,Fall 2024,Feminine,"Plaid shirt, beige, wool; Turtleneck, white, cotton; Trousers, charcoal, wool","Belt, black, leather",Relaxed,"Chic, Minimalist",Understated elegance with a focus on texture and layering.
1,Lorena Antoniazzi,Fall 2024,Feminine,"White wool coat, Brown pinstripe blazer, Cream knit sweater",None,"Layered, Relaxed","Chic, Minimalist",Sophisticated layering with neutral tones
1,Lorena Antoniazzi,Fall 2024,Feminine,"Red double-breasted blazer, Red wide-leg trousers",Black shoes,Oversized,"Bold, Tailored, Monochrome",Minimalist styling with a strong color statement
1,Lorena Antoniazzi,Fall 2024,Feminine,"Black wool jacket, Gray wide-leg trousers, White turtleneck",Gray structured clutch,Oversized,"Chic, Minimalist",Neutral tones with a focus on texture and structure.
1,Lorena Antoniazzi,Fall 2024,Female,"Beige wool jacket, White turtleneck, Gray pants",None,Relaxed,"Minimalist, Cozy",Neutral tones with a focus on texture
1,Lorena Antoniazzi,Fall 2024,Feminine,"Beige shearling coat, White shirt, Gray cardigan, Gray high-waisted trousers",Silver metallic shoes,"Relaxed, Oversized","Chic, Layered, Neutral",Sophisticated use of neutral tones and textures.
1,Lorena Antoniazzi,Fall 2024,Feminine,"Plaid wool coat, Dark gray knit sweater",None,"Oversized, Layered","Cozy, Textured",Neutral tones with a focus on warmth and comfort.
1,Lorena Antoniazzi,Fall 2024,Feminine,"Gray diamond-patterned wool coat, Olive blazer, Beige turtleneck, Beige trousers","Beige handbag, Silver flats","Relaxed, Layered","Chic, Modern, Minimalist",Neutral tones with a focus on texture and layering.
1,Lorena Antoniazzi,Fall 2024,Feminine,"Beige wool jacket, Light pink cable-knit sweater, Olive high-waisted trousers",,Structured,"Minimalist, Elegant",Neutral tones with a focus on texture
1,Lorena Antoniazzi,Fall 2024,Feminine,"Cream oversized coat, Beige ribbed knit sweater, Beige ribbed knit wide-leg pants",White pointed-toe shoes,"Oversized, Relaxed","Minimalist, Monochrome",Elegant and cozy knitwear ensemble
1,Lorena Antoniazzi,Fall 2024,Feminine,"Cream oversized coat, Beige pleated pants",None visible,"Oversized, Relaxed","Minimalist, Elegant",Neutral tones with a focus on texture
1,Lorena Antoniazzi,Fall 2024,Feminine,"Beige fur coat, Gray knit hoodie, Gray turtleneck, Gray knit pants",None,"Relaxed, Layered","Cozy, Luxurious, Monochrome",Soft textures with a neutral palette
1,Lorena Antoniazzi,Fall 2024,Feminine,"Herringbone tweed blazer, beige ribbed turtleneck sweater, cream corduroy pants",None,Relaxed,"Classic, Neutral, Textured",Sophisticated layering with a focus on texture and neutral tones.
1,Lorena Antoniazzi,Fall 2024,Feminine,"White shirt, Black knit vest, Black pants",None,Relaxed,"Minimalist, Modern",Layered knitwear over classic shirt
1,Lorena Antoniazzi,Fall 2024,Feminine,"White knit poncho, Gray pinstripe trousers",Silver loafers,"Relaxed, Layered","Minimalist, Modern",Monochrome palette with metallic accent
1,Lorena Antoniazzi,Fall 2024,Feminine,"Black textured blazer, Black turtleneck, Black wide-leg trousers",None,"Structured, Relaxed","Monochrome, Minimalist",Classic black suit with subtle texture
1,Lorena Antoniazzi,Fall 2024,Feminine,"Silver textured blazer, Silver textured wide-leg pants, Beige top",Silver flats,"Relaxed, Oversized","Chic, Minimalist",Elegant and understated with a focus on texture.
