Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Tom Ford,Fall 2024,Feminine,"Navy double-breasted coat, black trousers","Black belt, navy shoulder bag, black bracelet","Tailored, longline","Military-inspired, elegant","Gold buttons, structured shoulders"
2,Tom Ford,Fall 2024,Feminine,"Navy double-breasted blazer, black trousers","Navy shoulder bag, black bracelet","Tailored, fitted","Military-inspired, chic","Gold buttons, structured shoulders"
3,Tom Ford,Fall 2024,Feminine,"Navy double-breasted cropped jacket, black trousers",Black bracelet,"Tailored, cropped","Military-inspired, sleek","Gold buttons, structured shoulders"
1,Tom Ford,Fall 2024,Feminine,"Navy coat, black tights","Gold button details, black handbag","Tailored, structured","Military, chic",Emphasis on gold buttons
2,Tom Ford,Fall 2024,Masculine,"Black double-breasted coat, black trousers","Sunglasses, black leather bag","Tailored, elongated","Sophisticated, modern","Gold button accents, sleek silhouette"
3,Tom Ford,Fall 2024,Feminine,"Navy jacket, mini skirt, black tights","Gold button details, black handbag","Tailored, structured","Military, chic","Short skirt, strong shoulders"
1,Tom Ford,Fall 2024,Feminine,"Black military-style romper, black tights","Gold belt, black shoulder bag, gold bracelets","Fitted, structured","Chic, military-inspired","Gold button details, sleek finish"
2,Tom Ford,Fall 2024,Feminine,"Black striped mini dress, black tights","Gold bracelets, black clutch","Slim, elongated","Minimalist, modern","Horizontal stripes, subtle elegance"
3,Tom Ford,Fall 2024,Feminine,"Cream coat, cream trousers","Large sunglasses, cream handbag, gold bracelet","Tailored, classic","Retro, sophisticated","Wide lapels, monochrome palette"
1,Tom Ford,Spring 2023,Feminine,"Metallic blazer, black bralette, embellished shorts",,"Structured, relaxed","Glamorous, edgy","Sparkling details, bold textures"
2,Tom Ford,Spring 2023,Feminine,"Mesh top with embellishments, metallic trousers",Sunglasses,"Fitted, sleek","Futuristic, chic","Intricate embellishments, shiny fabrics"
3,Tom Ford,Spring 2023,Feminine,"Embroidered jacket, black bralette, leather shorts",,"Casual, bold","Rock-inspired, luxurious","Detailed embroidery, leather contrast"
1,Tom Ford,Spring 2023,Feminine,"Pink embellished satin shirt, metallic silver shorts",Purple clutch,"Relaxed, sporty","Glamorous, bold","Fringe details, metallic shine"
2,Tom Ford,Spring 2023,Masculine,"Black embroidered shirt, black leather pants",,"Tailored, sleek","Western, edgy","Floral embroidery, shiny leather"
3,Tom Ford,Spring 2023,Feminine,Metallic purple tracksuit,Yellow bag,"Sporty, relaxed","Futuristic, vibrant","Cropped jacket, metallic fabric"
1,Tom Ford,Spring 2023,Feminine,"Silver metallic tank top, embellished silver jacket, silver shorts",Green heels,"Sporty, relaxed","Futuristic, glam","Colorful star embellishments, metallic shine"
2,Tom Ford,Spring 2023,Feminine,"Embellished mesh tank top, black shorts",Teal metallic tote,"Casual, loose","Eclectic, bold","Star and heart embellishments, sheer fabric"
3,Tom Ford,Spring 2023,Feminine,"Peach metallic long-sleeve top, bronze shorts",Gold chain strap bag,"Casual, fitted","Chic, shiny","Metallic textures, soft color palette"
1,Tom Ford,Fall 2021,Feminine,Black oversized velvet coat,"Sunglasses, chain-detail heels","Oversized, cocoon","Luxurious, bold","Gold button details, statement outerwear"
2,Tom Ford,Fall 2021,Feminine,"Black lace top, bleached jeans",Statement earrings,"Fitted top, relaxed jeans","Edgy, romantic","Sheer fabric, high contrast"
3,Tom Ford,Fall 2021,Feminine,"Black leather jacket, black shorts","Chain belt, statement earrings, chain-detail boots","Cropped, fitted","Chic, rebellious","Textured knit, leather mix"
1,Tom Ford,Fall 2021,Feminine,White mini dress with cut-out detail,Gold statement earrings,"Flowy, fitted","Elegant, bold","Deep neckline, statement jewelry"
2,Tom Ford,Fall 2021,Feminine,"Black faux fur jacket, leather mini skirt","Black handbag with gold chain, black heels","Voluminous, sleek","Chic, edgy","Textured outerwear, high contrast"
3,Tom Ford,Fall 2021,Feminine,"Black lace bodysuit, high-waisted leggings",Pink heels,Form-fitting,"Sophisticated, modern","Sheer lace, pop of color with shoes"
1,Tom Ford,Fall 2021,Feminine,"Black fuzzy sweater, black leather pants","Gold chain belt, large hoop earrings, small black handbag","Slim, fitted","Edgy, chic",Monochrome with statement accessories
2,Tom Ford,Fall 2021,Feminine,"Black fuzzy sweater, black leather shorts, white puffer jacket","Gold chain belt, large hoop earrings, white handbag","Voluminous top, fitted bottom","Bold, modern",Contrast of textures and colors
3,Tom Ford,Fall 2021,Feminine,"Gray fuzzy sweater, metallic mini skirt","Large hoop earrings, oversized white tote bag","Relaxed top, fitted skirt","Casual, luxe",Play on proportions with oversized bag
