Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Rochas,Fall 2023,Feminine,"Purple long-sleeve dress, matching pants","Neck scarf, belt","A-line, layered","Elegant, monochrome","Rich purple hue, flowing layers"
2,Rochas,Fall 2023,Feminine,"Purple blazer, matching top, wide-leg pants",Choker necklace,"Tailored, wide-leg","Chic, monochrome","Structured blazer, cohesive color"
3,Rochas,Fall 2023,Feminine,"Black long coat, beige top, light blue skirt",Statement ring,"Longline, layered","Sophisticated, contrast","Textured coat, color contrast"
1,Rochas,Fall 2023,Feminine,"Brown patent leather jacket, matching skirt",Silver embellished boots,"Structured, sleek","Modern, edgy","High shine finish, contrasting white collar"
2,Rochas,Fall 2023,Feminine,Oversized patterned coat,Purple heels,"Voluminous, oversized","Artistic, bold","Abstract print, dramatic silhouette"
3,Rochas,Fall 2023,Feminine,"Navy sweater with wide collar, patterned full skirt",White belt,"Fitted top, voluminous skirt","Elegant, classic","Textured knit, statement skirt"
1,Rochas,Fall 2023,Feminine,"Black ruched top, gold metallic skirt",Statement ring,"Fitted top, flowing skirt","Elegant, evening","Textured contrast, metallic shine"
2,Rochas,Fall 2023,Feminine,Black strapless mini dress,Purple velvet boots,Fitted,"Chic, modern","Bold footwear, minimalistic dress"
3,Rochas,Fall 2023,Feminine,"Patterned crop top, matching skirt",Silver embellished boots,"Structured, voluminous sleeves","Avant-garde, artistic","Dramatic sleeves, intricate patterns"
1,Rochas,Fall 2012,Feminine,"Gold patterned coat, black dress","Patterned tights, black shoes","Straight, structured","Elegant, vintage","Rich textures, dark lipstick"
2,Rochas,Fall 2012,Feminine,"Patterned blazer, black sweater, patterned trousers",None,"Tailored, relaxed","Chic, bold","Geometric patterns, contrast textures"
3,Rochas,Fall 2012,Feminine,"Burgundy coat, matching skirt","Gloves, sunglasses, handbag","Boxy, fitted","Sophisticated, retro","Textured fabric, statement accessories"
1,Rochas,Fall 2012,Feminine,"Patterned coat, printed dress","Chunky necklace, patterned tights","Layered, belted","Eclectic, vintage-inspired",Mix of geometric patterns
2,Rochas,Fall 2012,Feminine,"Printed blouse, patterned skirt","Crossbody bag, patterned tights","Fitted, sleek","Geometric, modern",Bold print mixing
3,Rochas,Fall 2012,Feminine,"Oversized sweater, patterned pants","Fur scarf, handbag","Relaxed, oversized","Cozy, textured",Rich textures with contrasting patterns
1,Rochas,Fall 2012,Feminine,"Purple coat, brown sweater, patterned skirt","Brown gloves, patterned tights","A-line, layered","Eclectic, retro",Mix of textures and patterns
2,Rochas,Fall 2012,Feminine,"Teal sweater, patterned trousers","Long necklace, shoulder bag","Straight, relaxed","Casual, vintage-inspired","Bold print trousers, statement necklace"
3,Rochas,Fall 2012,Feminine,"Patterned sweater, matching skirt","Brown belt, handbag","Boxy, coordinated","Chic, geometric",Matching set with bold stripes
