Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Julien Macdonald,Spring 2010,Feminine,"White structured blazer, white mini dress",White perforated ankle boots,"Fitted, structured","Modern, sleek","Strong shoulders, monochrome look"
2,Julien Macdonald,Spring 2010,Feminine,White bodycon mini dress,White perforated ankle boots,"Fitted, streamlined","Minimalist, sporty","Textured paneling, clean lines"
3,Julien Macdonald,Spring 2010,Feminine,"White tailored blazer, white leggings",White perforated ankle boots,"Fitted, sharp","Chic, contemporary","Strong shoulders, zipper details"
1,Julien Macdonald,Spring 2010,Feminine,White sheer gown,White strappy sandals,"Flowy, ethereal","Sheer, elegant","Layered sheer fabric, ethereal look"
2,Julien Macdonald,Spring 2010,Feminine,"Black tailored blazer, black cut-out leggings",Black strappy heels,"Fitted, structured","Edgy, modern","Strong shoulders, cut-out details"
3,Julien Macdonald,Spring 2010,Feminine,Black and nude webbed mini dress,Black peep-toe ankle boots,"Bodycon, daring","Avant-garde, bold","Webbed texture, intricate design"
1,Julien Macdonald,Spring 2010,Feminine,Black halter dress with sheer panels,,"Fitted, sleek","Elegant, daring","Sheer elements, form-fitting"
2,Julien Macdonald,Spring 2010,Feminine,"Black cropped jacket, sheer top, black capri pants",Studded ankle boots,"Structured, sporty","Futuristic, edgy","Bold shoulder details, mixed textures"
3,Julien Macdonald,Spring 2010,Feminine,"White and black bodysuit, black capri pants",Studded ankle boots,"Fitted, athletic","Sporty, modern","Color blocking, sleek lines"
1,Julien Macdonald,Spring 2017,Feminine,"White embellished blazer, white embellished shorts",Strappy heels,"Fitted, structured","Glamorous, bold","Fringe details, deep neckline"
2,Julien Macdonald,Spring 2017,Masculine,"White embellished jacket, black pants",None visible,"Slim, tailored","Edgy, modern","Embellished shoulders, monochrome contrast"
3,Julien Macdonald,Spring 2017,Feminine,White embellished coat dress,Strappy heels,"Fitted, sleek","Chic, sophisticated","Deep neckline, minimal accessories"
1,Julien Macdonald,Spring 2017,Feminine,Black deep V-neck jumpsuit,Strappy black heels,"Fitted, sleek","Edgy, modern","Gold embellishments, zipper details"
2,Julien Macdonald,Spring 2017,Feminine,"Beige embellished jacket, matching skirt",Clear heels,"Structured, tailored","Elegant, sophisticated","Intricate embellishments, high collar"
3,Julien Macdonald,Spring 2017,Masculine,"Black pants, embellished white jacket",None visible,"Slim, structured","Bold, statement","Fringe details, ornate patterns"
