Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Jitrois,Fall 2024,Feminine,"Black leather jacket, Black patent leather mini skirt",Black pointed heels,"Fitted, Structured","Futuristic, Edgy","Monochrome black look with a sleek, modern aesthetic."
1,Jitrois,Fall 2024,Masculine,"Black patent leather jacket, Black patent leather pants",Black leather shoes,"Slim, Fitted","Edgy, Modern, Sleek",Minimalist styling with a focus on texture
1,Jitrois,Fall 2024,Feminine,Black leather draped mini dress,Silver hoop earrings,Fitted,"Edgy, Modern",Sleek and sophisticated with a focus on texture
1,Jitrois,Fall 2024,Unisex,"Red leather jacket, Red leather pants, Black leather pants","Red pointed heels, Black boots","Fitted, Sleek","Bold, Edgy, Modern",Contrasting red and black leather ensemble
1,Jitrois,Fall 2024,Feminine,Brown suede trench coat,Red patent leather heels,"Fitted waist, A-line","Chic, Edgy",High slit adds a bold touch
1,Jitrois,Fall 2024,Feminine,Red leather mini dress,Silver hoop earrings,Fitted,"Bold, Sleek, Modern",Minimalist styling with a focus on the dress's texture.
1,Jitrois,Fall 2024,Feminine,"Red leather jacket, Brown suede wide-leg pants",Silver earrings,"Fitted top, Wide-leg pants","Modern, Sleek, Edgy",Contrasting textures with bold color
1,Jitrois,Fall 2024,Masculine,Red leather jumpsuit,Black chunky boots,"Relaxed, Oversized","Bold, Edgy, Modern",Features zipper details and a striking red color.
1,Jitrois,Fall 2024,Feminine,"Black leather jacket, Red leather mini skirt",Hoop earrings,"Fitted, Structured","Edgy, Bold",Features exaggerated shoulders and thigh-high boots.
1,Jitrois,Fall 2024,Feminine,"Black leather mini dress with red stitching, zip front",Silver hoop earrings,"Fitted, A-line","Edgy, Modern, Sleek","High collar, Long sleeves"
1,Jitrois,Fall 2024,Feminine,"Black leather blazer, Burgundy leather pants","Silver hoop earrings, Delicate necklace","Fitted, Sleek","Edgy, Modern, Chic",Minimalist styling with a focus on leather textures.
1,Jitrois,Fall 2024,Feminine,"Brown leather coat, Purple pants","Silver necklace, Ring","Fitted, Longline","Edgy, Modern","Deep neckline, Ruffled edges"
1,Jitrois,Fall 2024,Feminine,Purple suede mini dress,"Silver hoop earrings, Black thigh-high leather boots","Fitted, Mini","Chic, Modern, Edgy",Minimalist styling with bold footwear
1,Jitrois,Fall 2024,Masculine,Oversized black leather coat,Belt,Oversized,"Edgy, Futuristic",Minimalist styling with focus on texture
1,Jitrois,Fall 2024,Feminine,Brown leather mini dress,Silver hoop earrings,Fitted,"Minimalist, Edgy",Simple yet bold with a focus on texture and form.
1,Jitrois,Fall 2024,Feminine,"Brown leather trench coat, Black leather leggings","Black leather gloves, Silver hoop earrings","Fitted, Sleek","Edgy, Modern, Chic",Monochrome leather ensemble with a structured silhouette
1,Jitrois,Fall 2024,Feminine,"Brown leather wrap top, Brown leather wide-leg pants",Silver hoop earrings,"Fitted top, Wide-leg pants","Sleek, Modern, Edgy",Monochromatic leather ensemble
1,Jitrois,Fall 2024,Feminine,"Black leather jacket with fur collar, Black patent leather pants",Black pointed heels,Fitted,"Edgy, Futuristic",Monochrome black ensemble with sleek textures
1,Jitrois,Fall 2024,Feminine,"Black leather jacket with fur collar, Black patent leather pants",None,Fitted,"Edgy, Futuristic","Monochrome black, high collar detail"
1,Jitrois,Fall 2024,Masculine,"Black leather blazer, Black leather pants",Black leather boots,Fitted,"Edgy, Modern, Sleek",Minimalist look with a focus on leather textures.
1,Jitrois,Fall 2024,Feminine,"Black leather mini dress, Sheer paneling","Long black gloves, Black pointed heels","Fitted, Mini","Edgy, Modern",Mix of leather and sheer for a bold look
1,Jitrois,Fall 2024,Unisex,"Black leather jacket, Black leather skirt, Black leather dress",Silver hoop earrings,Fitted,"Edgy, Modern, Sleek",Monochrome leather ensemble with minimalistic accessories
1,Jitrois,Fall 2024,Feminine,"Black leather strapless top, Black leather pants","Silver hoop earrings, Silver necklace","Fitted, Sleek","Edgy, Modern",Monochromatic leather ensemble
1,Jitrois,Fall 2024,Feminine,"Black leather jacket, Black leather pants",Silver hoop earrings,"Structured, Fitted","Edgy, Sleek","Crocodile texture, High collar"
1,Jitrois,Fall 2024,Masculine,"Black patent leather jacket, Black patent leather pants","Black leather cap, Black chunky boots",Relaxed fit,"Edgy, Futuristic",Monochrome black look with glossy textures
1,Jitrois,Fall 2024,Unisex,"Black fur-collared jacket, Black latex pants, Black leather pants","Black gloves, Hoop earrings, Necklace","Fitted, Sleek","Edgy, Futuristic, Bold",Monochrome black with mixed textures
1,Jitrois,Fall 2024,Masculine,"Blue zip-up jacket, Black leather pants",None,Relaxed,"Futuristic, Minimalist","Open jacket, bold color contrast"
1,Jitrois,Fall 2024,Feminine,"Black leather long coat, Teal mini dress",Black pointed heels,"Fitted, Longline","Edgy, Sophisticated",Contrasting textures with leather and fabric
1,Jitrois,Fall 2024,Feminine,"Blue leather mini dress, Black tights","Silver hoop earrings, Long pendant necklace, Black pointed heels","Fitted, A-line","Chic, Modern, Sleek",Minimalist design with bold color
1,Jitrois,Fall 2024,Feminine,Gray leather long-sleeve dress,Silver hoop earrings,Fitted,"Minimalist, Sleek","Deep V-neckline, Modern"
1,Jitrois,Fall 2024,Feminine,Gray and black leather top with geometric patterns,Silver geometric earrings,Fitted,Modern,Innovative use of textures and shapes
1,Jitrois,Fall 2024,Masculine,"Gray leather jacket, black leather pants",Black chunky boots,"Slim, fitted","Edgy, modern",Minimalist design with a focus on leather textures.
1,Jitrois,Fall 2024,Masculine,"Black leather jacket, floral cut-out design",None visible,Fitted,"Edgy, Modern, Intricate",Detailed cut-out pattern adds texture and interest
1,Jitrois,Fall 2024,Feminine,Black velvet mini coat with belt,Red heels,Slim,"Chic, Modern",Minimalist look with bold footwear
1,Jitrois,Fall 2024,Feminine,"Black leather jacket, ""Green and black faux fur trim""",Faux fur hat,Fitted,"Edgy, Luxurious",Bold faux fur accents
1,Jitrois,Fall 2024,Feminine,"White leather jacket, White leather mini skirt",None,Fitted,"Chic, Modern, Minimalist","Features a sleek, all-white leather ensemble with a structured silhouette."
