Season,Item,Percent Feminine,Percent Unisex,Percent Masculine,Num Outfits,Total Outfits,Accessories,Garments,Notes,Silhouette,Style Keywords
2006-04-15,,1.0,1.0,1.0,121,121,1.0,,,1.0,
2006-04-15,'00',0.0,0.0,0.0,0,121,,0.0,,,
2006-04-15,'18,0.0,0.0,0.0,0,121,,0.0,,,
2006-04-15,'bad,0.0,0.0,0.0,0,121,,0.0,0.0,,
2006-04-15,'forever,0.0,0.0,0.0,0,121,,0.0,,,
2006-04-15,'greed',0.0,0.0,0.0,0,121,,0.0,,,
2006-04-15,'health',0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,'hope',0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,'w',0.0,0.0,0.0,0,121,0.0,,,,
2006-04-15,'woman',0.0,0.0,0.0,0,121,0.0,,,,
2006-04-15,(held),0.0,0.0,0.0,0,121,0.0,,,,
2006-04-15,26,0.0,0.0,0.0,0,121,,0.0,,,
2006-04-15,28,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,3/4,0.0,0.0,0.0,0,121,,0.0,,,
2006-04-15,3d,0.0,0.0,0.0,0,121,,0.0,0.0,,
2006-04-15,42,0.0,0.0,0.0,0,121,,0.0,,,
2006-04-15,46,0.0,0.0,0.0,0,121,,0.0,,,
2006-04-15,50s-inspired,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,60s-inspired,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,70s-inspired,0.0,0.0,0.0,0,121,,,,,0.0
2006-04-15,71,0.0,0.0,0.0,0,121,,0.0,,,
2006-04-15,86,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,a,0.897196261682243,1.0,0.7272727272727273,107,121,,,0.8842975206611571,,
2006-04-15,a-line,0.0,0.0,0.0,0,121,,0.0,,,0.0
2006-04-15,a-line,0.16822429906542055,0.0,0.0,18,121,,,,0.1487603305785124,
2006-04-15,above-knee,0.0,0.0,0.0,0,121,,,,0.0,
2006-04-15,abstract,0.0,0.0,0.0,0,121,,0.0,0.0,,0.0
2006-04-15,academic,0.0,0.0,0.0,0,121,,,,,0.0
2006-04-15,accent,0.0,0.0,0.0,0,121,0.0,0.0,0.0,,
2006-04-15,accessory,0.0,0.0,0.0,0,121,0.0,,,,
2006-04-15,accessory,0.009345794392523364,0.0,0.0,1,121,,,0.008264462809917356,,
2006-04-15,acid,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,add,0.009345794392523364,0.0,0.0,1,121,,,0.008264462809917356,,
2006-04-15,aesthetic,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,afro,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,aid,0.0,0.0,0.0,0,121,0.0,,,,
2006-04-15,aid,0.018691588785046728,0.0,0.0,2,121,,,0.01652892561983471,,
2006-04-15,airy,0.0,0.0,0.0,0,121,,,0.0,,0.0
2006-04-15,airy,0.009345794392523364,0.0,0.0,1,121,,,,0.008264462809917356,
2006-04-15,all,0.018691588785046728,0.0,0.0,2,121,,,0.01652892561983471,,
2006-04-15,all-black,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,all-leather,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,all-over,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,along,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,alpine,0.0,0.0,0.0,0,121,,,,,0.0
2006-04-15,american,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,an,0.205607476635514,0.0,0.36363636363636365,26,121,,,0.21487603305785125,,
2006-04-15,anchor,0.0,0.0,0.0,0,121,,,0.0,,
2006-04-15,and,0.028037383177570093,0.0,0.0,3,121,,,,0.024793388429752067,
2006-04-15,and,0.04672897196261682,0.0,0.36363636363636365,9,121,,,0.0743801652892562,,
2006-04-15,and,0.1588785046728972,0.0,0.0,17,121,,0.14049586776859505,,,
2006-04-15,and,0.3177570093457944,0.0,0.0,34,121,0.2809917355371901,,,,
2006-04-15,angular,0.0,0.0,0.0,0,121,,,,0.0,
2006-04-15,animal,0.0,0.0,0.0,0,121,0.0,0.0,0.0,,0.0
