Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,COS,Fall 2024,Feminine,"Gray wool coat, belted",White fluffy slippers,"Oversized, cinched waist","Minimalist, Cozy",Elegant and understated with a focus on comfort.
1,COS,Fall 2024,Feminine,"Black asymmetrical cape top, Black asymmetrical skirt","Black ankle socks, Black flats","Asymmetrical, Flowing","Minimalist, Modern",Elegant draping and clean lines
1,COS,Fall 2024,Masculine,"Black oversized coat, Black v-neck sweater, Black trousers",Black leather shoes,"Oversized, Longline","Minimalist, Monochrome",Clean lines with a focus on tailoring
1,COS,Fall 2024,Masculine,"Black cropped cape, Black tailored trousers",Black shoes,Relaxed,"Minimalist, Monochrome",Structured yet fluid design
1,Cos,Fall 2024,Feminine,Brown and white faux fur coat,None,Boxy,"Modern, Minimalist",Coat features a high collar and oversized fit
1,COS,Fall 2024,Menswear,"Olive green oversized double-breasted coat, Dark textured shirt, Olive green trousers",Black leather bag,"Oversized, Relaxed","Minimalist, Tailored","Subtle texture contrast, Neutral palette"
1,COS,Fall 2024,Feminine,"Beige oversized blazer, Cream turtleneck top, Navy wide-leg trousers",None,"Oversized, Relaxed","Minimalist, Tailored","Neutral palette, Clean lines"
1,COS,Fall 2024,Masculine,"Navy oversized blazer, Navy turtleneck sweater, Navy wide-leg trousers",None,Relaxed,"Minimalist, Tailored",Monochromatic navy ensemble with a focus on clean lines and simplicity.
1,COS,Fall 2024,Androgynous,"Navy oversized coat, Black trousers",Black belt,"Oversized, Structured","Minimalist, Contemporary",Clean lines with a focus on volume.
1,COS,Fall 2024,Menswear,"Navy double-breasted coat, navy zip-up jacket, navy wide-leg trousers",Black shoes,"Relaxed, Oversized","Minimalist, Tailored","Monochromatic navy ensemble with a classic, structured look."
1,COS,Fall 2024,Feminine,"Black wool coat, Belted, Double-breasted",Black loafers,Long and structured,"Minimalist, Elegant","High collar, Monochrome"
1,COS,Fall 2024,Menswear,"Black leather jacket, Black zip-up turtleneck, Dark denim pants",None,Relaxed,"Minimalist, Modern","Clean lines, monochrome palette"
1,COS,Fall 2024,Unisex,"Black leather jacket, Black turtleneck sweater, Black wide-leg trousers",None,Relaxed,"Minimalist, Modern","Monochromatic, understated elegance"
1,COS,Fall 2024,Masculine,"Black textured zip-up sweater, Black wide-leg trousers",Black shoes,Relaxed,"Minimalist, Monochrome",Understated elegance with a focus on texture
1,COS,Fall 2024,Feminine,Black off-the-shoulder knit dress,Embellished shoes,Bodycon,"Minimalist, Elegant",Simple yet sophisticated look
1,COS,Fall 2024,Feminine,Black oversized coat,"Black quilted clutch, Green ankle boots","Oversized, Boxy","Minimalist, Modern",Contrasting green footwear adds a pop of color
1,COS,Fall 2024,Masculine,"Gray wool overcoat, gray tailored suit, gray shirt",Black shoes,"Oversized, relaxed","Minimalist, tailored",Monochromatic gray ensemble with layered tailoring.
1,COS,Fall 2024,Feminine,"Gray oversized top, Gray knit shorts",Fringed clutch,"Relaxed, Layered","Minimalist, Modern",Pop of color with green footwear
1,COS,Fall 2024,Feminine,Camel wool coat,Green boots,Oversized,"Minimalist, Modern",Classic double-breasted design with bold color contrast in footwear.
