Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Matty Bovan,Fall 2024,Gender Fluid,"Oversized houndstooth coat, patterned tights",Beaded headpiece,"Voluminous, layered","Avant-garde, eclectic","Mixed patterns, bold textures"
2,Matty Bovan,Fall 2024,Gender Fluid,"Textured coat with patchwork details, patterned tights",Beaded headpiece,"Boxy, layered","Artistic, deconstructed","Patchwork elements, contrasting textures"
3,Matty Bovan,Fall 2024,Gender Fluid,"Tweed jacket with blue accents, floral skirt",Metallic fringe headpiece,"Structured, layered","Eclectic, experimental","Metallic fringe, bold color contrasts"
1,Matty Bovan,Fall 2024,Androgynous,"Patchwork coat, layered textiles",None visible,"Voluminous, asymmetrical","Avant-garde, eclectic",Mix of textures and patterns
2,Matty Bovan,Fall 2024,Androgynous,"Oversized coat, layered textiles",None visible,"Voluminous, asymmetrical","Avant-garde, eclectic",Bold colors and textures
3,Matty Bovan,Fall 2024,Androgynous,"Oversized zip-up coat, layered skirt",None visible,"Voluminous, structured","Avant-garde, eclectic","Textured fabric, pastel tones"
1,Matty Bovan,Fall 2024,Feminine,"Orange and black checkered coat, matching skirt",Floral headpiece,"Layered, oversized","Eclectic, avant-garde","Textured fabric, bold pattern"
2,Matty Bovan,Fall 2024,Feminine,"Pink ruffled dress, layered skirt",Multicolored headpiece,"Voluminous, asymmetrical","Eclectic, avant-garde","Textured fabric, mixed patterns"
3,Matty Bovan,Fall 2024,Feminine,"Pink satin dress, knitted wrap","Large earrings, headpiece","Layered, oversized","Eclectic, avant-garde","Textured fabric, mixed materials"
1,Matty Bovan,Spring 2023,Gender Fluid,"Gray corset top, mixed print skirt",Patterned boots,"Asymmetrical, voluminous","Eclectic, avant-garde",Mix of textures and bold patterns
2,Matty Bovan,Spring 2023,Feminine,"Black and white checkered corset, blue and yellow patterned skirt",Patterned clutch,"Structured, layered","Bold, graphic","Off-shoulder detail, mixed prints"
3,Matty Bovan,Spring 2023,Masculine,"Red corset, layered knitwear, embellished pants",,"Layered, eclectic","Vibrant, maximalist",Use of knitwear and mixed media
1,Matty Bovan,Spring 2023,Feminine,"Green and yellow corset, multicolored asymmetrical skirt, printed leggings",Chunky gold necklace,"Asymmetrical, fitted","Eclectic, vibrant",Mix of patterns and textures
2,Matty Bovan,Spring 2023,Masculine,"Blue corset with floral embroidery, multicolored pants",,"Structured, layered","Avant-garde, colorful","Bold shoulder details, mixed prints"
3,Matty Bovan,Spring 2023,Feminine,"Pink metallic puff-sleeve top, distressed jeans with lace appliqué",,"Voluminous, deconstructed","Punk, textured","Contrasting materials, distressed elements"
1,Matty Bovan,Spring 2023,Gender Neutral,"Multicolored puffed sleeve top, distressed jeans","Large cone hat, patterned bag","Voluminous, layered","Eclectic, avant-garde","Bold patterns, mixed textures"
2,Matty Bovan,Spring 2023,Gender Neutral,"Silver fringe top, distressed colorful pants","Patterned clutch, long gloves","Loose, flowing","Textured, artistic","Fringe detailing, vibrant colors"
3,Matty Bovan,Spring 2023,Gender Neutral,"Patterned jacket with orange fringe, printed pants",,"Structured, elongated","Graphic, bold","Checkerboard patterns, fringe accents"
1,Matty Bovan,Fall 2022,Feminine,"Red voluminous cape, pink patterned lining",White sneakers,"Oversized, dramatic","Avant-garde, bold","Contrasting textures, vibrant color"
2,Matty Bovan,Fall 2022,Masculine,"Gray graphic sweatshirt, floral patchwork pants","Black studded belt, orange sneakers","Layered, eclectic","Punk, streetwear","Mix of prints, asymmetrical layering"
3,Matty Bovan,Fall 2022,Masculine,"Red and blue knit dress, painted bomber jacket",Blue sneakers,"Relaxed, layered","Grunge, artistic","Painted details, shearling collar"
1,Matty Bovan,Fall 2022,Masculine,"Varsity jacket, graphic t-shirt, plaid pants",None,"Layered, oversized","Eclectic, streetwear",Mix of patterns and textures
2,Matty Bovan,Fall 2022,Feminine,"Oversized graphic sweater, patchwork pants",None,"Voluminous, draped","Avant-garde, bold","Text-heavy design, mixed materials"
3,Matty Bovan,Fall 2022,Masculine,"Printed coat, striped pants, denim jeans",Belt,"Layered, structured","Patriotic, eclectic","American flag motifs, contrasting prints"
1,Matty Bovan,Fall 2022,Masculine,"Denim jacket, printed dress, layered denim pants",Stuffed animal bag,"Layered, eclectic","Avant-garde, deconstructed",Mix of textures and prints
2,Matty Bovan,Fall 2022,Masculine,"Graphic t-shirt, neon shorts, oversized knit coat",Patterned gloves,"Oversized, layered","Eclectic, bold","Vibrant colors, mixed patterns"
3,Matty Bovan,Fall 2022,Masculine,"Plaid blazer, striped shirt, knit cape",Yellow gloves,"Layered, voluminous","Eclectic, textured","Mix of patterns, bold accessories"
