Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Costume National,Spring 2011,Feminine,"Tan blazer, silk tank top, leather pants","Tan sandals, bracelet","Tailored, sleek","Monochrome, minimalist",Monochromatic tan ensemble
2,Costume National,Spring 2011,Feminine,Silk V-neck dress,"Orange sunglasses, clutch, tan sandals","Loose, fluid","Minimalist, chic","Shiny silk texture, deep V-neck"
3,Costume National,Spring 2011,Feminine,Halter jumpsuit,"Clutch, tan sandals","Flowing, elongated","Sophisticated, elegant","Halter neckline, wide-leg pants"
1,Costume National,Spring 2011,Feminine,Beige sleeveless dress,"Yellow sandals, yellow bracelets","Flowy, asymmetrical","Minimalist, elegant","Deep V-neck, side slit"
2,Costume National,Spring 2011,Feminine,Beige sleeveless dress with cut-out,"Yellow sandals, yellow bracelets, orange sunglasses","Structured, layered","Modern, chic","Cut-out detail, layered effect"
3,Costume National,Spring 2011,Feminine,"Turquoise coat, matching shorts",Orange sandals,"Tailored, sleek","Bold, vibrant","Bright color contrast, minimal layering"
1,Costume National,Spring 2011,Feminine,"Turquoise jacket, turquoise shorts, sheer turquoise top",Orange sandals,"Tailored, fitted","Bold, vibrant",Monochrome look with contrasting footwear
2,Costume National,Spring 2011,Feminine,Turquoise halter jumpsuit,"Orange clutch, orange sandals","Straight, elongated","Chic, sleek",Monochrome with a pop of color in accessories
3,Costume National,Spring 2011,Feminine,Turquoise sleeveless dress,"Orange clutch, orange sandals","Straight, knee-length","Minimalist, elegant",Simple silhouette with bold accessory contrast
1,Costume National,Spring 2015,Feminine,"Brown suede lace-up coat, black mini dress","Brown neck scarf, black sandals","A-line, fitted","Edgy, modern","Lace-up detailing, layered look"
2,Costume National,Spring 2015,Feminine,"Black tank top, brown suede pants","Brown neck scarf, black clutch, black sandals","Slim, straight","Chic, minimalist","Grommet detailing on pants, sleek silhouette"
3,Costume National,Spring 2015,Feminine,"Brown suede lace-up vest, black mini skirt","Round sunglasses, black sandals, black shoulder bag","A-line, fitted","Retro, sophisticated","Lace-up front, bold sunglasses"
1,Costume National,Spring 2015,Feminine,Black strapless dress with grommet details,Black sandals,"Straight, fitted","Chic, modern",Minimalist design with metallic accents
2,Costume National,Spring 2015,Feminine,"Black asymmetrical top with grommet details, black pants",Black sandals,"Slim, tailored","Edgy, contemporary",Asymmetrical cut with bold detailing
3,Costume National,Spring 2015,Feminine,"Black top with grommet details, black skirt","Black sandals, black fringed bag","Straight, fitted","Sleek, sophisticated",Fringe detail adds texture
1,Costume National,Spring 2015,Feminine,"Black asymmetrical top, black cropped pants",Black strappy sandals,"Slim, tailored","Chic, modern",Minimalist design with asymmetrical details
2,Costume National,Spring 2015,Feminine,Brown crochet mini dress,Brown knee-high boots,Fitted,"Bohemian, textured",Intricate crochet pattern with cut-out details
3,Costume National,Spring 2015,Feminine,Brown one-shoulder crochet dress,Brown knee-high boots,Fitted,"Bohemian, asymmetrical",One-shoulder design with detailed crochet work
1,Costume National,Fall 2014,Feminine,"White shearling vest, white top, white pants",Black platform shoes,"Relaxed, layered","Minimalist, monochrome","Textured vest, casual elegance"
2,Costume National,Fall 2014,Feminine,"White shearling coat, white dress",Black ankle boots,"Structured, sleek","Chic, modern","Contrasting textures, clean lines"
3,Costume National,Fall 2014,Feminine,"White shearling coat, white top, white pants",Black platform shoes,"Tailored, streamlined","Sophisticated, minimalist","Monochrome palette, sharp tailoring"
1,Costume National,Fall 2014,Feminine,White striped sweater dress,Black ankle boots,"Straight, relaxed","Minimalist, monochrome","Vertical stripes, casual elegance"
2,Costume National,Fall 2014,Feminine,"White striped coat, black turtleneck, black trousers",Black lace-up shoes,"Oversized, layered","Chic, monochrome","Vertical stripes, long coat"
3,Costume National,Fall 2014,Feminine,"White jacket with black accents, white turtleneck, white trousers",Black platform shoes,"Tailored, structured","Modern, monochrome","Contrasting details, sleek lines"
1,Costume National,Fall 2014,Feminine,"Black long coat, black top, black pants",Black platform shoes,"Long, streamlined","Minimalist, monochrome",Contrast piping detail
2,Costume National,Fall 2014,Feminine,"Black jacket, black skirt",Black ankle boots,"Short, structured","Modern, edgy",Asymmetrical lapel design
3,Costume National,Fall 2014,Feminine,"Black and white long coat, white sweater, black pants",Black platform shoes,"Long, layered","Chic, monochrome","High contrast, oversized collar"
1,Costume National,Fall 2006,Feminine,"Black trench coat, gray trousers, black turtleneck",Black scarf,"Tailored, elongated","Chic, classic","Monochrome layering, sleek lines"
2,Costume National,Fall 2006,Feminine,"Black fur-trimmed coat, black trousers",None,"Structured, layered","Elegant, sophisticated","Fur detailing, high collar"
3,Costume National,Fall 2006,Feminine,"Black fur-collared top, black trousers",Black handbag,"Fitted, sleek","Modern, edgy","Belted waist, monochrome look"
1,Costume National,Fall 2006,Feminine,"Black fur-trimmed coat, black wide-leg pants",None,"Long, flowing","Chic, elegant",Monochrome look with fur details
2,Costume National,Fall 2006,Feminine,"Black belted coat, gray pants",Black knit beanie,"Tailored, layered","Sophisticated, urban",Contrasting textures with fur collar
3,Costume National,Fall 2006,Feminine,"Black double-breasted coat, red dress",Black knit beanie,A-line,"Modern, sleek",Pop of color with red dress underneath
1,Costume National,Fall 2006,Feminine,"Black knit sweater, wide-leg trousers","Black gloves, black belt","Relaxed, draped","Chic, monochrome","High neck, cinched waist"
2,Costume National,Fall 2006,Feminine,"Gray mini dress, black coat","Black scarf, black tights","Fitted, layered","Youthful, textured","Fringe details, layered textures"
3,Costume National,Fall 2006,Feminine,"Gray cut-out top, wide-leg trousers","Gray scarf, black gloves","Relaxed, flowing","Edgy, modern","Cut-out details, long scarf"
