Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Chet Lo,Fall 2023,Feminine,Black textured long-sleeve dress,Strappy sandals,"Fitted, elongated","Textured, monochrome","3D texture, minimal accessories"
2,Chet Lo,Fall 2023,Feminine,"Black strapless top, black skirt, textured shoulder piece",Strappy sandals,"Fitted, layered","Textured, modern",Asymmetrical shoulder detail
3,Chet Lo,Fall 2023,Masculine,"Black textured cardigan, leather pants",,"Slim, structured","Textured, edgy","Open cardigan, subtle red detailing on pants"
1,Chet Lo,Fall 2023,Feminine,"Green patterned knit top, matching skirt",Black boots,"Fitted, asymmetrical","Edgy, modern","Cut-out shoulders, ribbed texture"
2,Chet Lo,Fall 2023,Feminine,Black cut-out dress,Black boots,"Fitted, mini","Chic, bold","Geometric cut-outs, sleek lines"
3,Chet Lo,Fall 2023,Masculine,"Black textured top, patterned pants",Black shoes,"Relaxed, flared","Avant-garde, textured","3D texture, flared pants"
1,Chet Lo,Fall 2023,Feminine,"Black sheer top, blue velvet skirt",,"Flowy, fitted","Edgy, avant-garde","Dramatic sleeves, bold color contrast"
2,Chet Lo,Fall 2023,Masculine,"Black textured hoodie, black wide-leg pants",,"Relaxed, structured","Monochrome, textured","3D texture, casual yet bold"
3,Chet Lo,Fall 2023,Feminine,Pink and black patterned dress,,Bodycon,"Futuristic, sleek","Geometric patterns, modern cutouts"
1,Chet Lo,Spring 2023,Feminine,Green cut-out dress,"Green wide-brim hat, green strappy sandals","Fitted, sleek","Futuristic, bold","Textured hat, monochrome look"
2,Chet Lo,Spring 2023,Masculine,"Blue textured top, blue trousers","Blue textured headpiece, small blue bag","Relaxed, straight","Avant-garde, textured","Sheer fabric, monochrome styling"
3,Chet Lo,Spring 2023,Feminine,Pink and red striped dress,Red strappy sandals,"Fitted, asymmetrical","Playful, vibrant","Cut-out details, bold color palette"
1,Chet Lo,Spring 2023,Feminine,"Blue textured crop top, blue textured pants",Large blue textured hat,"Fitted, elongated","Futuristic, bold","Textured fabric, vibrant color"
2,Chet Lo,Spring 2023,Feminine,"Red cut-out top, red skirt with mesh inserts","Red handbag, red floral hairpieces",Bodycon,"Playful, modern","Cut-out details, contrasting mesh"
3,Chet Lo,Spring 2023,Feminine,"Pink and white striped jacket, pink and white pants",Pink spiky ball bag,"Relaxed, straight","Eclectic, artistic","Gradient fabric, statement accessory"
1,Chet Lo,Spring 2023,Feminine,"Red cut-out top, red textured mini skirt","Red spiked handbag, floral hairpieces","Fitted, textured","Bold, avant-garde","Spiked texture, vibrant red"
2,Chet Lo,Spring 2023,Feminine,Blue and pink draped dress,Floral hairpieces,"Flowy, asymmetrical","Ethereal, colorful","Sheer overlay, vibrant colors"
3,Chet Lo,Spring 2023,Feminine,Pink cut-out bodysuit,Large pink spiked sphere,"Sleek, form-fitting","Futuristic, statement","Oversized accessory, bold silhouette"
