Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Kaufmanfranco,Fall 2014,Feminine,White wrap dress,Black ankle strap heels,"Fitted, asymmetric","Minimalist, elegant","Clean lines, deep V-neck"
2,Kaufmanfranco,Fall 2014,Feminine,"Black blazer, black skirt",Black ankle strap heels,"Tailored, structured","Chic, sophisticated","Deep neckline, high slit"
3,Kaufmanfranco,Fall 2014,Feminine,"White coat, white pants",Nude heels,"Oversized, streamlined","Modern, sleek","Asymmetric collar, monochrome"
1,Kaufmanfranco,Fall 2014,Feminine,Black halter neck gown,,"Flowy, elegant","Minimalist, sleek","High slit, monochrome"
2,Kaufmanfranco,Fall 2014,Feminine,"White zip-up coat, black turtleneck",Black ankle-strap heels,"Boxy, oversized","Chic, modern","Textured fabric, monochrome contrast"
3,Kaufmanfranco,Fall 2014,Feminine,Black cut-out dress,Black ankle-strap heels,"Straight, structured","Edgy, contemporary","Geometric cut-outs, monochrome"
1,Kaufmanfranco,Fall 2014,Feminine,Black long-sleeve jumpsuit,,"Slim, elongated","Minimalist, sleek","Monochrome, understated elegance"
2,Kaufmanfranco,Fall 2014,Feminine,White belted coat with fur collar,Silver belt,"A-line, structured","Chic, modern","High collar, metallic accent"
3,Kaufmanfranco,Fall 2014,Feminine,Black cutout dress,Black ankle-strap heels,"Fitted, bodycon","Edgy, sophisticated","Cutout detail, sleek lines"
1,Kaufmanfranco,Fall 2013,Feminine,Black deep V-neck dress,Black choker,Fitted,"Edgy, bold","Textured fabric, daring neckline"
2,Kaufmanfranco,Fall 2013,Feminine,"Black coat, turtleneck",Black gloves,Structured,"Chic, sophisticated","Minimalist design, sleek lines"
3,Kaufmanfranco,Fall 2013,Feminine,"Black halter top, leather pants",None,Slim,"Modern, sleek","Sheer fabric, leather contrast"
1,Kaufmanfranco,Fall 2013,Feminine,"Black leather coat, black leather top, black pants",Black gloves,"Slim, elongated","Edgy, sleek","Monochrome black, deep V-neck"
2,Kaufmanfranco,Fall 2013,Feminine,"Black satin coat, embellished sheer top, black pants",None,"Relaxed, draped","Chic, sophisticated","Sheer detailing, intricate embellishments"
3,Kaufmanfranco,Fall 2013,Feminine,"Black fur-trimmed coat, black turtleneck, black leather skirt",Black tights,"A-line, layered","Luxurious, bold","Fur accents, leather textures"
1,Kaufmanfranco,Fall 2013,Feminine,"Black leather jacket, black leather mini skirt",None,"Fitted, sleek","Edgy, modern",All-black ensemble with thigh-high boots
2,Kaufmanfranco,Fall 2013,Feminine,"Black leather coat, black turtleneck",Black belt,"Structured, elegant","Chic, sophisticated",Belted coat with thigh-high boots
3,Kaufmanfranco,Fall 2013,Feminine,"Tan leather jacket with fur sleeves, black leather pants",None,"Slim, tailored","Luxurious, contemporary",Contrast of textures with fur accents
