Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Danielle Scutt,Fall 2012,Feminine,"Black dress with white collar and waist detail, fishnet stockings",Black Mary Jane shoes,"Fitted bodice, flared skirt","Vintage, theatrical","Contrasting white details, dynamic pose"
2,Danielle Scutt,Fall 2012,Feminine,Black dress with white bib detail,None visible,"Structured, voluminous skirt","Minimalist, dramatic","High contrast, elegant posture"
3,Danielle Scutt,Fall 2012,Feminine,Black top with white geometric detail,Large floral earrings,Tailored,"Bold, graphic","Statement earrings, geometric neckline"
1,Danielle Scutt,Fall 2012,Feminine,Black dress with white geometric details,Colorful statement earrings,Fit and flare,"Playful, graphic",Bold shoulder details
2,Danielle Scutt,Fall 2012,Feminine,Black dress with white collar,Black platform shoes,"Structured, A-line","Classic, vintage-inspired",Contrasting collar adds a retro touch
3,Danielle Scutt,Fall 2012,Feminine,"Teal fuzzy sweater, black full skirt",Colorful statement earrings,"Voluminous, flowing","Eclectic, textured",Mix of textures with a soft sweater and flowing skirt
1,Danielle Scutt,Fall 2012,Feminine,"White fuzzy sweater, black satin skirt","Colorful statement earrings, black heels","Flowing, voluminous","Dramatic, elegant","Contrasting textures, movement emphasized"
2,Danielle Scutt,Fall 2012,Feminine,Black button-up dress,"Colorful statement earrings, embellished heels","A-line, flowing","Sophisticated, theatrical",Monochrome with colorful accents
3,Danielle Scutt,Fall 2012,Feminine,"Orange fuzzy top, black satin skirt","Colorful statement earrings, black heels","Fitted, sleek","Bold, modern","Vibrant color contrast, structured top"
1,Danielle Scutt,Spring 2010,Feminine,Patterned bodycon dress,Large statement earrings,Fitted,"Graphic, bold","Intricate patterns, high hair styling"
2,Danielle Scutt,Spring 2010,Feminine,Layered dress with mixed patterns,Large statement earrings,A-line,"Eclectic, artistic","Layered textures, high hair styling"
3,Danielle Scutt,Spring 2010,Feminine,"Patterned blouse, shorts",Large scarf,Loose,"Casual, playful","Mixed patterns, high hair styling"
1,Danielle Scutt,Spring 2010,Feminine,"White sheer blouse with ruffles, white skirt with red polka dot ruffles",Black platform sandals,"Voluminous, layered","Playful, avant-garde","High stacked hair, sheer textures"
2,Danielle Scutt,Spring 2010,Feminine,Red polka dot sleeveless dress,"Black platform sandals, silver bracelets","Fitted, bodycon","Bold, graphic","High stacked hair, minimal accessories"
3,Danielle Scutt,Spring 2010,Feminine,"Pink geometric print top with puffed shoulders, matching skirt",Black platform sandals,"Structured, tailored","Retro, bold","High stacked hair, geometric patterns"
1,Danielle Scutt,Spring 2010,Feminine,"Pink patterned jacket, matching mini skirt",Pink pom-pom scarf,A-line,"Playful, bold","Intricate hair styling, geometric print"
2,Danielle Scutt,Spring 2010,Feminine,Pink patterned mini dress,None,A-line,"Youthful, vibrant","Strappy neckline, geometric print"
3,Danielle Scutt,Spring 2010,Feminine,"Brown patterned jacket, matching mini skirt",Brown pom-pom scarf,A-line,"Chic, textured","Contrasting pom-poms, geometric print"
