Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Genny,Fall 2024,Feminine,"Mint green shearling jacket, Mint green satin wide-leg pants",None,Voluminous,"Soft, Elegant, Textured",Pastel color palette with a focus on texture and flow.
1,Genny,Fall 2024,Feminine,Ivory textured knit dress,"Green belt, green bag, green shoes","Fitted bodice, flared skirt","Elegant, Textured, Monochrome",Features a mix of textures with a cohesive color palette.
1,Genny,Fall 2024,Feminine,"Mint oversized coat, Sheer turtleneck, Wide-leg pants",None,"Oversized, Relaxed","Minimalist, Elegant","Soft pastel tones with a clean, sophisticated look."
1,Genny,Fall 2024,Feminine,"Gray textured cape, Gray pants",Mint green handbag,"Voluminous top, Slim pants","Elegant, Modern, Structured",Features a metallic tie detail
1,Genny,Fall 2024,Feminine,"White fur coat, White textured sweater, Light grey ruched skirt","Grey gloves, Grey knee-high boots","Oversized coat, Fitted skirt","Elegant, Monochrome, Textured",Soft color palette with luxurious textures
1,Genny,Fall 2024,Feminine,"Gray wool wrap blazer, Gray wool trousers, Gray turtleneck",Gray boots,"Structured, Oversized","Chic, Minimalist",Elegant and tailored look with a focus on clean lines.
1,Genny,Fall 2024,Feminine,"Printed long-sleeve dress, green, sheer",Black belt,Flowy,"Elegant, Bohemian",Features a geometric pattern with voluminous sleeves.
1,Genny,Fall 2024,Feminine,"Textured gray coat, Textured gray wide-leg pants",Black clutch with gold detail,"Oversized, Relaxed","Chic, Monochrome",Features a large bow detail on the coat
1,Genny,Fall 2024,Feminine,"White faux fur coat, Sheer white dress",Gold earrings,"Oversized coat, Flowing dress","Elegant, Ethereal",Mix of textures with fur and sheer fabric
1,Genny,Fall 2024,Feminine,"Sheer ivory blouse, Silver sequin skirt","Ivory gloves, White boots",Fitted,"Ethereal, Elegant","Soft, flowing blouse with a shimmering skirt"
1,Genny,Fall 2024,Feminine,"Blue textured sweater, Sheer white blouse, Patterned blue pants","Oversized sunglasses, Black textured handbag","Relaxed, Layered","Chic, Modern, Textured",Layering with sheer and textured fabrics
1,Genny,Fall 2024,Feminine,White textured dress with cape sleeves and front cutout,"Pink gloves, necklace",Fitted,"Elegant, Modern, Chic",Soft color palette with a focus on texture and clean lines.
1,Genny,Fall 2024,Feminine,"Sheer pink knit sweater, Printed voluminous skirt",Gray oversized clutch,"Loose top, Voluminous skirt","Ethereal, Textured, Soft",Soft textures and muted colors create an ethereal look.
1,Genny,Fall 2024,Feminine,"Oversized peach coat, Nude top, Wide-leg peach pants",Gold chain belt,"Oversized, Flowing","Elegant, Monochromatic",Soft color palette with dramatic proportions
1,Genny,Fall 2024,Feminine,"Off-shoulder textured sweater, Peach wide-leg trousers",Beige clutch,"Oversized, Relaxed","Cozy, Monochrome",Soft textures and neutral tones
1,Genny,Fall 2024,Feminine,"Draped peach coat, Blush silk blouse, Peach satin trousers",Gold belt,"Relaxed, Flowing","Elegant, Soft, Monochromatic",Soft color palette with a focus on draping and fluidity.
1,Genny,Fall 2024,Feminine,"Patterned oversized top, Patterned wide-leg pants",Black shoes,"Oversized, Flowing","Abstract, Artistic",Monochrome geometric pattern
1,Genny,Fall 2024,Feminine,"Textured pink coat, Quilted wrap, Textured skirt",White clutch with gold chain,"Layered, Voluminous","Elegant, Cozy",Soft textures and pastel tones
1,Genny,Fall 2024,Feminine,"Coral pink wrap blazer, Coral pink flared trousers",Pink fur clutch,"Tailored, Flared","Elegant, Monochrome",Soft color palette with a focus on texture
1,Genny,Fall 2024,Feminine,"""Pink textured coat, Pink satin dress with slit""","""Pink fur clutch, Pink belt with gold buckle, Pink knee-high boots""",Fitted,"Monochromatic, Elegant, Chic",Coordinated pink ensemble with luxurious textures.
1,Genny,Fall 2024,Feminine,"Sheer burgundy blouse, Textured burgundy skirt",Black belt with gold detail,"Fitted, Column","Elegant, Textured, Sheer","Rich burgundy tones, Layered textures"
1,Genny,Fall 2024,Feminine,"One-shoulder burgundy knit top, Black satin skirt","Burgundy gloves, Burgundy boots, Thin belt","Asymmetrical, Voluminous skirt","Elegant, Textured, Sophisticated",Rich textures with a focus on asymmetry and volume.
1,Genny,Fall 2024,Feminine,"Sheer burgundy blouse, Black satin wide-leg trousers",None,"Flowy, Elegant","Sheer, Sophisticated",The look features a bold use of sheer fabric.
1,Genny,Fall 2024,Feminine,"Burgundy sequin dress with slit, floral detail","Burgundy gloves, clutch, boots",Fitted,"Glamorous, Elegant",Rich textures and bold color
1,Genny,Fall 2024,Feminine,"Burgundy long-sleeve dress, satin texture",Burgundy knee-high boots,"Fitted, structured","Elegant, sophisticated",Rich color palette with a cohesive look
1,Genny,Fall 2024,Feminine,"Red satin blazer, Red satin wide-leg pants",Statement necklace,"Oversized, Relaxed","Elegant, Luxurious","Deep V-neckline, Monochromatic"
1,Genny,Fall 2024,Feminine,"Mint green fuzzy sweater, Burgundy sequin skirt","Mint green heels, White floral ring","Fitted skirt, Oversized top","Elegant, Textured, Contrasting",Combines soft textures with bold sequins
1,Genny,Fall 2024,Feminine,"Green sequin dress, high slit",Green boots,"Fitted, knee-length","Elegant, Glamorous",Features a high slit and shimmering texture
