Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Emilio Pucci,Spring 2024,Feminine,Black kaftan with embellished neckline,Gold sandals,"Flowy, loose","Elegant, bohemian",Intricate neckline detail
2,Emilio Pucci,Spring 2024,Feminine,Black coat with striped embellishments,"Headscarf, black handbag, ankle boots","Structured, oversized","Chic, modern",Graphic stripe details
3,Emilio Pucci,Spring 2024,Feminine,Black halter dress with embellished neckline,Gold sandals,"Flowy, loose","Elegant, bohemian",Deep V-neckline with intricate detail
1,Emilio Pucci,Spring 2024,Feminine,"Black cropped jacket, patterned blouse, black mini skirt","Patterned scarf, hoop earrings, ankle boots","Tailored, fitted","Chic, modern","Bold patterns, metallic details"
2,Emilio Pucci,Spring 2024,Feminine,"Sequined bomber jacket, black bralette, patterned mini skirt","Sunglasses, small handbag, ankle boots","Boxy, fitted","Bold, graphic","Geometric patterns, shiny textures"
3,Emilio Pucci,Spring 2024,Feminine,"Black blazer, black crop top, patterned wide-leg pants","Patterned scarf, small handbag, belt","Relaxed, oversized","Eclectic, bohemian","Flowing fabrics, mixed prints"
1,Emilio Pucci,Spring 2024,Feminine,"Geometric print top, fringe skirt","Choker, small handbag, sandals","Flowy, layered","Bohemian, eclectic","Earthy tones, intricate patterns"
2,Emilio Pucci,Spring 2024,Feminine,"Black cut-out top, printed skirt","Choker, earrings, small handbag, studded sandals","Asymmetrical, fitted","Chic, modern","Bold print, cut-out details"
3,Emilio Pucci,Spring 2024,Feminine,Printed halter dress,"Headscarf, choker, small handbag, embellished sandals","Loose, draped","Retro, vibrant","Graphic patterns, coordinated accessories"
1,Emilio Pucci,Fall 2010,Feminine,Purple and blue patterned long-sleeve gown,,"Fitted, floor-length","Psychedelic, bold","Abstract pattern, vibrant colors"
2,Emilio Pucci,Fall 2010,Feminine,"Black textured dress, blue fringed vest",Fringed bag,"Layered, fitted","Bohemian, edgy","Fringe details, mix of textures"
3,Emilio Pucci,Fall 2010,Feminine,"Black turtleneck, purple and blue patterned skirt",Wide black belt,"Fitted, sleek","Chic, modern","Contrasting textures, bold print"
1,Emilio Pucci,Fall 2010,Feminine,"Navy double-breasted coat, printed pants, printed scarf",,"Tailored, fitted","Elegant, bold prints",Mix of structured outerwear with vibrant patterns
2,Emilio Pucci,Fall 2010,Feminine,Black sequined mini dress,Strappy black heels,"Fitted, short","Glamorous, evening wear","Feather details on sleeves, deep V neckline"
3,Emilio Pucci,Fall 2010,Feminine,"Cropped navy jacket, high-waisted black pants, printed scarf",,"Tailored, high-waisted","Chic, sophisticated",Monochrome with a pop of color from the scarf
1,Emilio Pucci,Fall 2010,Feminine,One-shoulder sequined mini dress,Strappy high heels,"Fitted, asymmetric","Glamorous, edgy","Dark blue sequins, cut-out details"
2,Emilio Pucci,Fall 2010,Feminine,"Black turtleneck, embellished flared pants",Studded shoulder bag,"Slim, flared","Chic, bohemian","Feathered pant hems, intricate embellishments"
3,Emilio Pucci,Fall 2010,Feminine,Velvet mini dress,Strappy high heels,Fitted,"Luxurious, bold","Rich velvet texture, deep blue hue"
1,Emilio Pucci,Fall 2021,Feminine,"Patterned jacket, printed tights",None,"Fitted, elongated","Eclectic, vibrant","Mix of patterns, bold colors"
2,Emilio Pucci,Fall 2021,Feminine,"White oversized coat, printed tights",Scarf,"Oversized, relaxed","Minimalist, chic","Clean lines, subtle elegance"
3,Emilio Pucci,Fall 2021,Feminine,"Printed hooded top, printed skirt, printed tights",None,"Fitted, layered","Graphic, dynamic","Hooded detail, intricate prints"
1,Emilio Pucci,Fall 2021,Feminine,"White coat, patterned bodysuit",White pointed boots,"Structured, layered","Minimalist, modern",Monochrome with vibrant patterns
2,Emilio Pucci,Fall 2021,Feminine,"Patterned sweater, printed leggings",None,"Relaxed, fitted","Eclectic, cozy","Bold patterns, soft textures"
3,Emilio Pucci,Fall 2021,Feminine,"Yellow top, printed leggings",None,"Structured, fitted","Vibrant, chic","Bright color blocking, sleek lines"
1,Emilio Pucci,Fall 2021,Feminine,"Yellow patterned quilted jacket, white mini shorts, white tights",White wedge heels,"Voluminous top, fitted bottom","Bold, graphic",Playful use of pattern and texture
2,Emilio Pucci,Fall 2021,Feminine,"Yellow coat, printed bodysuit, matching hood",Patterned boots,"Streamlined, elongated","Graphic, vibrant",Monochromatic layering with bold prints
3,Emilio Pucci,Fall 2021,Feminine,"Patterned knit sweater, matching shorts, white turtleneck, white tights",White thigh-high boots,"Structured, layered","Textured, cozy",Mix of knit textures with a modern silhouette
