Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Mugler,Fall 2021,Feminine,"Black blazer, black bodysuit, black leggings","Black gloves, black earrings","Sleek, fitted","Edgy, modern","Strong shoulders, monochrome"
2,Mugler,Fall 2021,Feminine,"Blue metallic top, blue leggings",,"Sculptural, fitted","Futuristic, avant-garde","Peplum detail, shiny texture"
3,Mugler,Fall 2021,Feminine,"Black mini dress, sheer black tights","Gold arm cuff, gold earrings","Structured, fitted","Chic, elegant","Asymmetrical design, gold accents"
1,Mugler,Fall 2021,Feminine,"Black leather asymmetric top, high-waisted black pants","Long black gloves, chain accessory","Sleek, fitted","Futuristic, edgy","Cut-out details, bold silhouette"
2,Mugler,Fall 2021,Feminine,"Black leather corset, sheer mesh leggings",Strappy heels,"Structured, body-hugging","Daring, avant-garde","Sheer panels, corsetry"
3,Mugler,Fall 2021,Feminine,Black cut-out dress,Knee-high boots,"Asymmetric, form-fitting","Bold, contemporary","High slit, sculptural design"
1,Mugler,Fall 2021,Feminine,"Patterned bodysuit, asymmetrical dress",Heeled sandals,"Form-fitting, asymmetrical","Bold, graphic","Optical illusion print, off-shoulder design"
2,Mugler,Fall 2021,Feminine,Black asymmetrical dress,Strappy heels,"Bodycon, asymmetrical","Chic, modern","One-sleeve design, sheer elements"
3,Mugler,Fall 2021,Feminine,"Beige structured blazer, black mini skirt",Knee-high boots,"Structured, tailored","Avant-garde, edgy","Exaggerated shoulders, cut-out details"
1,Mugler,Fall 2017,Feminine,"Blue patent leather jacket, black trousers",Black pointed heels,"Structured, sharp shoulders","Futuristic, bold","Glossy finish, strong shoulders"
2,Mugler,Fall 2017,Feminine,Navy and black pleated dress,Chain detail heels,"Asymmetrical, fitted","Edgy, modern","Deep V-neck, mixed textures"
3,Mugler,Fall 2017,Feminine,"Black leather trench coat, black trousers",Black pointed heels,"Long, structured","Dramatic, sleek","Strong shoulders, belted waist"
1,Mugler,Fall 2017,Feminine,"Black knit sweater, asymmetrical leather skirt",None visible,"Fitted, asymmetrical","Edgy, modern","Pleated skirt detail, high slit"
2,Mugler,Fall 2017,Feminine,"Black tailored blazer, sheer star-patterned top, black trousers",Chain detail pointed heels,"Structured, sharp","Sophisticated, bold","Strong shoulders, sheer sleeves"
3,Mugler,Fall 2017,Feminine,Black leather mini dress,None visible,"Fitted, sculptural","Futuristic, sleek","Textured leather, cinched waist"
1,Mugler,Fall 2017,Feminine,Navy structured dress with pleated detail,Chain-embellished pointed heels,"Fitted, asymmetrical","Futuristic, edgy","Strong shoulders, metallic accents"
2,Mugler,Fall 2017,Feminine,"Black long coat, leather pants, black top",Black pointed heels,"Oversized, structured","Minimalist, powerful","Sharp shoulders, monochrome look"
3,Mugler,Fall 2017,Feminine,"Black tailored suit, deep V-neck blazer","Black belt, pointed shoes","Tailored, sleek","Sophisticated, modern","Emphasized waist, strong shoulders"
