Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Timo Weiland,Spring 2015,Feminine,"Navy coat, sheer black blouse, printed skirt",Statement earrings,"Flowy, layered","Chic, modern","Mix of textures, bold earrings"
2,Timo Weiland,Spring 2015,Feminine,Sheer blue dress,Sunglasses,"Fitted, airy","Elegant, contemporary","Sheer fabric, light color palette"
3,Timo Weiland,Spring 2015,Feminine,"Sheer blue blouse, asymmetrical skirt",Statement earrings,"Structured, sleek","Sophisticated, edgy","High slit, sheer top"
1,Timo Weiland,Spring 2015,Feminine,Navy knit dress,"Sunglasses, blue pumps","Fitted, sheer","Chic, modern","Textured knit, subtle transparency"
2,Timo Weiland,Spring 2015,Feminine,"Black patterned top, cream skirt",Yellow pumps,"Relaxed, flowy","Casual, artistic","Graphic print, soft draping"
3,Timo Weiland,Spring 2015,Feminine,"Yellow crop top, patterned skirt","Feather earrings, blue heels","Fitted, asymmetrical","Playful, contemporary","Geometric patterns, contrasting textures"
1,Timo Weiland,Spring 2015,Feminine,"Pink leather jacket, black and white patterned dress",Red sunglasses,A-line,"Playful, retro","Contrasting colors, bold patterns"
2,Timo Weiland,Spring 2015,Feminine,Black and white patterned cut-out dress,,Fitted,"Chic, modern","Geometric cut-outs, sleek lines"
3,Timo Weiland,Spring 2015,Feminine,Black and white patterned dress with white sleeves,Black sunglasses,Relaxed,"Casual, stylish","Mixed textures, comfortable fit"
1,Timo Weiland,Spring 2014,Feminine,"White patterned sweater, white skirt",Straw hat,"Relaxed, flared","Casual, nautical","Navy accents, playful hem"
2,Timo Weiland,Spring 2014,Feminine,Navy patterned sweater dress,White platform sandals,"Straight, relaxed","Casual, sporty","Striped sleeves, minimalistic"
3,Timo Weiland,Spring 2014,Masculine,"White patterned short-sleeve shirt, black trousers",Black shoes,"Tailored, straight","Casual, modern","Subtle pattern, classic color contrast"
1,Timo Weiland,Spring 2014,Feminine,"Striped sleeveless dress, checkered waistband",None,"A-line, fitted","Casual, graphic",Monochrome stripes with checkered detail
2,Timo Weiland,Spring 2014,Feminine,"White t-shirt, striped jumper dress",None,"Loose, relaxed","Layered, casual",Playful layering with mixed stripes
3,Timo Weiland,Spring 2014,Feminine,"Striped tank top, striped shorts",Straw hat,"Relaxed, casual","Summer, laid-back","Mix of vertical and horizontal stripes, casual summer vibe"
1,Timo Weiland,Spring 2014,Feminine,"White hoodie with black trim, black mini skirt",None,"A-line, relaxed","Sporty, monochrome","Casual yet chic, contrast detailing"
2,Timo Weiland,Spring 2014,Feminine,"White short-sleeve top with pleated hem, black mesh pants",None,"Straight, layered","Modern, textured","Playful pleats, sheer elements"
3,Timo Weiland,Spring 2014,Masculine,"Black leather hoodie, white shorts","Black shoes, black socks","Casual, sporty","Edgy, monochrome","Leather texture, sporty vibe"
