Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,David Koma,Spring 2011,Feminine,"White sleeveless dress with sheer panel, pink pleated skirt",White open-toe heels,Fit and flare,"Elegant, modern","Sheer detailing, soft color palette"
2,David Koma,Spring 2011,Feminine,"White short-sleeve dress with sheer panel, pink pleated skirt",White ankle-strap heels,Fit and flare,"Chic, contemporary","Structured bodice, playful skirt"
3,David Koma,Spring 2011,Feminine,"White sleeveless dress with cut-out details, full skirt",White ankle-strap heels,Fit and flare,"Sophisticated, sleek","Geometric cut-outs, minimalistic design"
1,David Koma,Spring 2011,Feminine,"White sheer panel dress, fitted skirt",White open-toe ankle boots,"Peplum, fitted","Futuristic, minimalist","Sheer paneling, structured peplum"
2,David Koma,Spring 2011,Feminine,"White halter dress, flared skirt",White ankle strap heels,Fit and flare,"Futuristic, minimalist","Sheer central panel, halter neckline"
3,David Koma,Spring 2011,Feminine,"White sleeveless dress, asymmetrical skirt",White ankle strap heels,"Peplum, fitted","Futuristic, minimalist","Sheer paneling, structured peplum"
1,David Koma,Spring 2011,Feminine,"White and beige striped dress, black peplum belt",White open-toe ankle boots,"Fitted, peplum","Modern, structured",Contrasting textures with peplum detail
2,David Koma,Spring 2011,Feminine,White and black deep V-neck dress,Black and gold open-toe ankle boots,"Flared, fitted bodice","Bold, graphic",High contrast with deep neckline
3,David Koma,Spring 2011,Feminine,Black and white sleeveless dress,White ankle strap heels,"Flared, fitted bodice","Graphic, monochrome",Sharp contrast with geometric design
1,David Koma,Fall 2021,Feminine,Black one-shoulder mini dress,"Chain necklace, black gloves, knee-high boots","Fitted, asymmetrical","Edgy, modern","Chain detailing, sleek silhouette"
2,David Koma,Fall 2021,Feminine,"Black one-shoulder top, black shorts","Chain necklace, green gloves, knee-high boots","Fitted, sporty","Chic, contemporary","Sparkling embellishments, bold gloves"
3,David Koma,Fall 2021,Feminine,"Geometric patterned top, black mini skirt","Chain necklace, black gloves, knee-high boots","Structured, flared sleeves","Avant-garde, bold","Cut-out skirt, textured top"
1,David Koma,Fall 2021,Feminine,"Geometric patterned dress, long gloves","Chain necklace, bracelets","Fitted, long","Elegant, geometric","Deep V-neck, intricate pattern"
2,David Koma,Fall 2021,Feminine,"Fur-trimmed leather jacket, mini skirt",Chain boots,"Structured, layered","Edgy, bold","Oversized collar, cut-out skirt"
3,David Koma,Fall 2021,Feminine,One-shoulder sequin dress,"Chain bracelet, boots","Fitted, short","Glamorous, sleek","Asymmetric neckline, shimmering fabric"
1,David Koma,Fall 2021,Feminine,"Green and black zip-up jacket, black embellished shorts","Silver necklace, green gloves, black thigh-high boots with chain detail","Fitted, sporty","Athletic, edgy","Bold color blocking, sporty elements"
2,David Koma,Fall 2021,Feminine,Blue buttoned jumpsuit,"Silver necklace, black gloves, black thigh-high boots with chain detail",Bodycon,"Sleek, modern","Monochrome, tailored fit"
3,David Koma,Fall 2021,Feminine,Green deep V-neck dress,"Silver necklace, black gloves, black thigh-high boots with chain detail","Fitted, elegant","Chic, sophisticated","Deep neckline, structured shoulders"
1,David Koma,Spring 2017,Feminine,"Off-the-shoulder top, embellished skirt",Strappy sandals,"Fitted, structured","Elegant, modern","Voluminous sleeves, geometric embellishments"
2,David Koma,Spring 2017,Feminine,Sheer embellished dress,Strappy sandals,A-line,"Chic, contemporary","Sheer fabric, intricate detailing"
3,David Koma,Spring 2017,Feminine,Spaghetti strap dress with bubble hem,Strappy sandals,Hourglass,"Sophisticated, sleek","Bubble hem, metallic accents"
1,David Koma,Spring 2017,Feminine,"Black sleeveless top with embellishments, white flared skirt",Black strappy sandals,"Fitted top, flared skirt","Chic, modern","Contrasting textures, embellishments"
2,David Koma,Spring 2017,Feminine,"White strapless top with ruffles, black fitted pants",Black embellished sandals,Fitted,"Elegant, sleek","Monochrome look, structured"
3,David Koma,Spring 2017,Feminine,White one-shoulder dress with embellishments,Black strappy sandals,A-line,"Sophisticated, bold","Asymmetrical design, statement sleeve"
1,David Koma,Spring 2017,Feminine,"White sleeveless top with metallic details, black pants with lace-up sides",Black studded sandals,"Fitted, sleek","Modern, edgy","Metallic accents, monochrome contrast"
2,David Koma,Spring 2017,Feminine,White sleeveless dress with side eyelet details,Yellow strappy sandals,"A-line, fitted","Chic, contemporary","Eyelet detailing, bright footwear contrast"
3,David Koma,Spring 2017,Feminine,"Neon yellow ribbed top with pleated sleeves, white embellished skirt",Beige lace-up sandals,"Fitted, structured","Vibrant, playful","Neon color, geometric embellishments"
1,David Koma,Spring 2014,Feminine,White cut-out dress,Black strappy heels,"A-line, fitted","Minimalist, modern","Geometric cut-outs, clean lines"
2,David Koma,Spring 2014,Feminine,Black strapless cut-out dress,Black strappy heels,"A-line, fitted","Minimalist, modern","Bold cut-outs, structured"
3,David Koma,Spring 2014,Feminine,White cut-out dress,Black strappy heels,"A-line, fitted","Minimalist, modern","Sheer panels, geometric design"
1,David Koma,Spring 2014,Feminine,White sleeveless dress with black accents,Black strappy heels,"A-line, fitted","Minimalist, monochrome",Bold black belt detail
2,David Koma,Spring 2014,Feminine,"Black and white strapless top, black and white skirt",White strappy heels,"Fitted, pencil","Graphic, modern",Bold stripe pattern
3,David Koma,Spring 2014,Feminine,Black long-sleeve dress with white accent,Black strappy heels,"Fitted, pencil","Sleek, contemporary",Contrasting white band across chest
1,David Koma,Spring 2014,Feminine,"Striped bandeau top, asymmetrical white skirt",White strappy heels,"Fitted, asymmetrical","Modern, graphic","Monochrome palette, bold stripes"
2,David Koma,Spring 2014,Feminine,"Black and white blazer, white crop top, white trousers",Black strappy heels,"Tailored, structured","Chic, monochrome","Contrasting lapels, sleek tailoring"
3,David Koma,Spring 2014,Feminine,Black and white asymmetrical dress,Black and white strappy heels,"Fitted, asymmetrical","Elegant, bold","Curved color blocking, sleek lines"
