Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Junya Watanabe,Fall 2024,Neutral,"Plaid cape, black turtleneck, wide-leg trousers",Geometric black frame,"Oversized, angular","Avant-garde, geometric","Dramatic triangular frame, plaid contrast"
2,Junya Watanabe,Fall 2024,Neutral,"Black draped dress, black turtleneck",Geometric black frame,"Flowing, angular","Minimalist, geometric","Monochrome layering, bold structure"
3,Junya Watanabe,Fall 2024,Neutral,"Black turtleneck, layered skirts","Geometric black frame, multiple belts","Layered, angular","Edgy, geometric","Multiple belt detail, structured frame"
1,Junya Watanabe,Fall 2024,Feminine,"Black turtleneck, pleated skirt","Geometric shoulder piece, wide belts","Structured, avant-garde","Futuristic, architectural","Bold geometric shapes, monochrome"
2,Junya Watanabe,Fall 2024,Feminine,"Black turtleneck, pleated skirt","Geometric shoulder piece, wide belts","Structured, avant-garde","Futuristic, architectural","Bold geometric shapes, monochrome"
3,Junya Watanabe,Fall 2024,Feminine,"Black turtleneck, wide-leg trousers, oversized coat",Geometric shoulder piece,"Structured, avant-garde","Futuristic, architectural","Bold geometric shapes, monochrome"
1,Junya Watanabe,Fall 2024,Feminine,"Black textured coat, black turtleneck, black pants",,"Oversized, angular","Avant-garde, sculptural",Geometric shoulder details
2,Junya Watanabe,Fall 2024,Feminine,"Black cape, black turtleneck, black pants",,"Oversized, angular","Avant-garde, sculptural",Geometric waist details
3,Junya Watanabe,Fall 2024,Feminine,"Black layered top, black turtleneck, black pants",,"Oversized, structured","Avant-garde, sculptural",Layered and textured top
1,Junya Watanabe,Fall 2007,Feminine,"White leather jacket, black leggings",White sculptural hat,"Fitted, sleek","Avant-garde, edgy",Monochrome look with a focus on headwear
2,Junya Watanabe,Fall 2007,Feminine,"Floral dress, asymmetrical cardigan",Black textured hat,"Relaxed, layered","Eclectic, bohemian",Mix of patterns and textures
3,Junya Watanabe,Fall 2007,Feminine,"Black leather jacket, black shorts",Black sculptural hat,"Structured, layered","Futuristic, gothic",Dark palette with strong headwear emphasis
1,Junya Watanabe,Fall 2007,Feminine,"Black leather jacket, floral dress, black leggings",,"Fitted, layered","Edgy, punk","Dark palette, leather texture"
2,Junya Watanabe,Fall 2007,Feminine,"Black leather jacket, patterned top, mini skirt, leggings",,"Fitted, layered","Edgy, punk","Asymmetrical layers, dark tones"
3,Junya Watanabe,Fall 2007,Feminine,"Black leather jacket, floral dress, leggings",,"Fitted, layered","Edgy, punk","Contrasting textures, tall boots"
1,Junya Watanabe,Fall 2007,Feminine,"Black leather jacket, black mini skirt",,"Fitted, edgy","Avant-garde, punk","Asymmetrical jacket, high collar"
