Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Agnona,Fall 2022,Feminine,Black textured dress,"Wide belt, watch","Fitted, knee-length","Elegant, textured","Fringe detail at hem, monochrome look"
2,Agnona,Fall 2022,Feminine,Camel coat,Oversized sunglasses,"Long, straight","Chic, minimalist","Neutral tones, sleek tailoring"
3,Agnona,Fall 2022,Masculine,"Black coat, gray cardigan, black trousers",,"Relaxed, layered","Casual, sophisticated","Layered knitwear, neutral palette"
1,Agnona,Fall 2022,Feminine,"White cable-knit hooded sweater, matching skirt","Gray cap, sunglasses, silver bangles","Relaxed, cozy","Casual, sporty","Textured knit, monochrome look"
2,Agnona,Fall 2022,Masculine,"Blue wool jacket, navy turtleneck, brown trousers",Gray fringed scarf,"Layered, tailored","Classic, elegant","Contrasting textures, layered knitwear"
3,Agnona,Fall 2022,Androgynous,"Gray bomber jacket, beige turtleneck, cream shirt, beige trousers","Brown belt, black loafers","Straight, relaxed","Minimalist, modern","Neutral tones, clean lines"
1,Agnona,Fall 2022,Feminine,"Cream zip-up jacket, knit sleeves, cream pants","Cap, sunglasses, bracelets","Relaxed, sporty","Casual, monochrome",Embroidered logo detail on jacket
2,Agnona,Fall 2022,Feminine,Purple printed dress,None visible,"Flowy, relaxed","Artistic, vibrant",Abstract print with belted waist
3,Agnona,Fall 2022,Feminine,"Gray coat, gray sweater, gray wide-leg pants","Chunky necklace, gray belt, knit scarf","Structured, layered","Minimalist, monochrome",Textured scarf and metallic necklace
1,Agnona,Fall 2022,Feminine,"Beige coat, gray pants, lavender sweater",Lavender knit hat,"Relaxed, layered","Cozy, casual",Fringe details on coat
2,Agnona,Fall 2022,Feminine,"Beige knit sweater, leather skirt","Fringed scarf, earrings","Straight, layered","Chic, warm","Neutral tones, platform shoes"
3,Agnona,Fall 2022,Feminine,Gray knit dress,"Plaid scarf, earrings","Straight, draped","Elegant, soft","Bold eye makeup, textured scarf"
1,Agnona,Fall 2022,Masculine,"Beige vest, matching coat, white trousers",,"Relaxed, layered","Minimalist, neutral tones",Casual elegance with a focus on layering
2,Agnona,Fall 2022,Feminine,"Black plaid cape, black trousers",Oversized sunglasses,"Draped, flowing","Chic, sophisticated",Bold use of plaid with a modern twist
3,Agnona,Fall 2022,Masculine,"Light blue cardigan, green zip-up shirt, patterned trousers",Beige knit beanie,"Casual, relaxed","Cozy, casual",Textured knitwear with a relaxed fit
1,Agnona,Fall 2022,Feminine,Beige oversized coat,"Beige boots, beige socks","Oversized, cocoon","Cozy, minimalist","High collar, plush texture"
2,Agnona,Fall 2022,Feminine,"White cardigan, black sheer dress","Black clogs, gray socks","Relaxed, layered","Textured, casual","Chunky knit, sheer layering"
3,Agnona,Fall 2022,Masculine,"Green suede shirt, gray turtleneck","Gray cap, earring","Structured, layered","Chic, modern","Textured outerwear, muted tones"
1,Agnona,Fall 2022,Feminine,"Black leather jacket with fur collar, gray ribbed knit dress",Statement earrings,"Fitted, layered","Chic, cozy","Mix of textures, neutral tones"
2,Agnona,Fall 2022,Feminine,"Dark green knit sweater, matching knit cardigan, black velvet shorts","Oversized sunglasses, chunky rings","Relaxed, oversized","Layered, textured","Monochrome look, knit details"
3,Agnona,Fall 2022,Feminine,"Black belted coat, fringed skirt",None visible,"Structured, flowing","Modern, elegant","Fringe detailing, minimal accessories"
1,Agnona,Fall 2022,Masculine,"Quilted vest, black shirt, black pants","Black cap, knitted fingerless gloves","Relaxed, layered","Casual, sporty","Textured vest, neutral tones"
2,Agnona,Fall 2022,Feminine,"Blue velvet blazer, blue satin shirt, blue wide-leg pants",,"Tailored, elongated","Chic, monochrome","Rich textures, bold color"
3,Agnona,Fall 2022,Feminine,"Patterned pajama set, fringed cape",Chunky necklace,"Flowy, draped","Bohemian, cozy","Layered patterns, soft palette"
1,Agnona,Fall 2022,Feminine,Beige long coat dress,"Rings, clogs","Straight, relaxed","Minimalist, cozy","Button details on sleeves, side slit"
2,Agnona,Fall 2022,Masculine,"Beige herringbone coat, burgundy turtleneck",Earrings,"Structured, tailored","Classic, sophisticated","Textured fabric, rich color contrast"
3,Agnona,Fall 2022,Feminine,"Pink suit, gray turtleneck","Fringed scarf, clogs","Boxy, oversized","Bold, vibrant","Bright color blocking, layered look"
1,Agnona,Fall 2022,Feminine,"Green double-breasted coat, dark green dress","Faux fur hat, chain necklace","Oversized, layered","Cozy, textured","Soft textures, muted colors"
2,Agnona,Fall 2022,Feminine,"Gray coat, pleated skirt",Statement earrings,"Relaxed, elongated","Casual, elegant","Layered knit cuffs, earthy tones"
3,Agnona,Fall 2022,Masculine,"Beige bomber jacket, gray sweater, light blue pants","Black cap, single earring, knit scarf","Casual, fitted","Sporty, modern","Contrasting textures, minimalist accessories"
1,Agnona,Fall 2022,Feminine,"Purple knit sweater, patterned pants","Long scarf, rings","Relaxed, flowing","Bohemian, cozy","Rich textures, layered knitwear"
2,Agnona,Fall 2022,Masculine,"Plaid jacket, black turtleneck, beige pants",Cap,"Structured, casual","Modern, sporty","Fringe details, neutral tones"
3,Agnona,Fall 2022,Feminine,"Sleeveless coat, leather pants","Scarf, fingerless gloves","Tailored, layered","Chic, sophisticated","Deep hues, textured fabrics"
1,Agnona,Fall 2022,Feminine,"Beige coat, matching shorts, blouse with bow","Brown platform shoes, socks","Relaxed, layered","Neutral tones, cozy","Soft textures, tonal layering"
2,Agnona,Fall 2022,Feminine,"Pink oversized sweater, pink skirt","Gray beret, gray socks","Loose, casual","Bold color, playful","Contrasting colors, relaxed fit"
3,Agnona,Fall 2022,Masculine,"Plaid cape, beige coat, black top",,"Draped, oversized","Classic, elegant","Fringed details, logo print"
1,Agnona,Fall 2022,Feminine,Beige shearling coat,Light blue knit beanie,"Oversized, cozy","Luxurious, winter-ready","Textured shearling, soft tones"
2,Agnona,Fall 2022,Feminine,"Camel poncho, wide-leg pants",Navy faux fur bucket hat,"Relaxed, layered","Chic, casual","Fringe details, tonal layering"
3,Agnona,Fall 2022,Feminine,"Plaid jacket, jogger pants","Faux fur hat, sunglasses","Structured, layered","Sophisticated, warm","Fringe accents, tonal plaid"
1,Agnona,Fall 2016,Feminine,Beige slip dress,"Red choker, beige knee-high boots","Slim, flowing","Minimalist, elegant",Simple yet striking with bold red accent
2,Agnona,Fall 2016,Feminine,"Beige blouse, pink wrap skirt","Beige handbag, pink heels","Structured, classic","Sophisticated, polished",Soft color palette with structured lines
3,Agnona,Fall 2016,Feminine,"Beige coat, beige turtleneck, purple trousers","Beige handbag, brown knee-high boots","Layered, relaxed","Chic, layered",Neutral tones with a touch of color
1,Agnona,Fall 2016,Feminine,"Beige cape, pencil skirt",Red handbag,"Structured, streamlined","Elegant, sophisticated",Monochrome look with bold red accents
2,Agnona,Fall 2016,Feminine,"Coral top, mauve skirt",Quilted handbag,"Fitted, flowing","Chic, modern",Color-blocking with soft tones
3,Agnona,Fall 2016,Feminine,"Beige blouse, red trousers",Large tote bag,"Relaxed, tailored","Casual, polished",Neutral top with vibrant pants
1,Agnona,Fall 2016,Feminine,"Red cape coat, red trousers",Black knee-high boots,"Oversized, structured","Bold, monochrome",Dramatic red ensemble
2,Agnona,Fall 2016,Feminine,"Beige fuzzy sweater, brown leather skirt",Gray ankle strap heels,"Fitted, classic","Textured, elegant",Mix of textures with soft and structured elements
3,Agnona,Fall 2016,Feminine,Red dress,"Gray handbag, black knee-high boots","A-line, fitted waist","Chic, sophisticated",Vibrant red with classic silhouette
