Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Chanel,Spring 2009,Feminine,"Pink patterned top, matching skirt","Black headband, black stockings, silver shoes","Structured, fitted","Classic, elegant","Textured fabric, bold shoulders"
2,Chanel,Spring 2009,Feminine,"Black and white patterned jacket, matching skirt","Patterned handbag, black stockings, silver shoes","Structured, fitted","Chic, modern","Geometric pattern, coordinated accessories"
3,Chanel,Spring 2009,Feminine,Black and white patterned dress,"Black stockings, silver shoes","Fitted, knee-length","Sophisticated, contemporary","Cross-strap neckline, sequin embellishments"
1,Chanel,Spring 2009,Feminine,"White patterned jacket, matching skirt","White quilted handbag, black sheer tights","Tailored, fitted","Classic, elegant","Intricate pattern, pearl embellishments"
2,Chanel,Spring 2009,Feminine,"Black patterned jacket, matching skirt","Black quilted handbag, black sheer tights","Tailored, fitted","Classic, bold","Contrasting pattern, fringe details"
3,Chanel,Spring 2009,Feminine,"White floral jacket, pink top, matching skirt","Statement necklace, black sheer tights","Tailored, fitted","Romantic, feminine","Floral embroidery, pastel colors"
1,Chanel,Spring 2009,Feminine,"Black and white tweed jacket, matching skirt","Layered pearl necklaces, black open-toe heels","Structured, classic","Elegant, timeless","Signature Chanel tweed, monochrome"
2,Chanel,Spring 2009,Feminine,"Purple tweed jacket, matching dress","Layered pearl necklaces, white clutch, black heels","Structured, classic","Elegant, sophisticated","Contrasting trim, layered necklaces"
3,Chanel,Spring 2009,Feminine,"Gray tweed short-sleeve jacket, matching skirt","White Chanel shopping bag, black heels","Structured, classic","Chic, polished","Large buttons, classic silhouette"
1,Chanel,Fall 2010,Feminine,"Multicolor faux fur coat, faux fur pants",,"Oversized, voluminous","Arctic, avant-garde",Layered fur textures
2,Chanel,Fall 2010,Masculine,"Multicolor faux fur coat, faux fur pants",,"Oversized, voluminous","Arctic, avant-garde",Matching fur outfits
3,Chanel,Fall 2010,Feminine,"White faux fur coat, white turtleneck, faux fur pants",Statement necklace,"Structured, layered","Chic, winter-ready",Contrast of textures with leather accents
1,Chanel,Fall 2010,Feminine,"Striped fur coat, matching skirt","Fur handbag, fur boots","Layered, voluminous","Textured, winter-ready","Rich textures, earthy tones"
2,Chanel,Fall 2010,Feminine,"Fur sweater, striped skirt",Fur boots,"Layered, voluminous","Textured, winter-ready","Cozy and warm, tonal contrast"
3,Chanel,Fall 2010,Feminine,"Striped fur jacket, matching shorts","Fur boots, chunky bracelets","Layered, voluminous","Textured, winter-ready","Playful proportions, bold textures"
1,Chanel,Fall 2010,Feminine,"Brown tweed jacket with fur trim, fur skirt",Statement necklace,"Fitted, layered","Textured, luxurious","Combination of tweed and fur, winter-inspired"
2,Chanel,Fall 2010,Feminine,"Brown tweed coat with fur accents, black leggings","Brooch, shoulder bag","Tailored, elongated","Classic, elegant","Rich textures, structured coat"
3,Chanel,Fall 2010,Feminine,"Brown tweed jacket with fur cuffs, fur skirt",Layered necklaces,"Boxy, layered","Chic, sophisticated","Layered necklaces add detail, fur boots"
1,Chanel,Spring 2015,Feminine,"Tweed suit, colorful blouse","Box clutch, bracelets","Boxy, oversized","Classic, vibrant","Mix of textures, bold colors"
2,Chanel,Spring 2015,Feminine,"Tweed suit, colorful blouse, scarf","Box clutch, bracelets","Boxy, oversized","Classic, vibrant","Graphic patterns, layered accessories"
3,Chanel,Spring 2015,Feminine,"Tweed suit, colorful blouse, tie","Box clutch, crossbody bag","Boxy, oversized","Classic, vibrant","Layered textures, structured silhouette"
1,Chanel,Spring 2015,Feminine,"Multicolored tweed suit, white shirt, colorful tie",Boxy handbag,"Structured, tailored","Classic, vibrant",Traditional Chanel tweed with a modern twist
2,Chanel,Spring 2015,Feminine,"Multicolored tweed suit, black top, colorful scarf","Boxy handbag, chunky bracelets","Structured, tailored","Bold, eclectic",Mix of textures and colors with statement accessories
3,Chanel,Spring 2015,Feminine,"Patterned tweed suit, short-sleeve jacket","Boxy handbag, bracelets","Relaxed, loose","Playful, retro",Patchwork pattern with a relaxed silhouette
1,Chanel,Spring 2015,Feminine,"Navy tweed top, matching wide-leg pants","Black crossbody bag, silver clutch, bracelets","Relaxed, straight","Classic, chic","Tweed texture, casual elegance"
2,Chanel,Spring 2015,Feminine,"Red and blue tweed top, matching wide-leg pants","Red statement bag, silver clutch","Relaxed, straight","Bold, colorful","Graphic tweed pattern, statement bag"
3,Chanel,Spring 2015,Feminine,"Red and blue tweed jacket, matching skirt, pink top","Silver clutch, long necklace","Structured, fitted","Classic, vibrant","Layered tweed, colorful boots"
1,Chanel,Fall 2013,Feminine,"Black plaid coat, leather over-the-knee boots","Chain strap bag, gloves","Structured, layered","Edgy, classic","Large buttons, textured fabric"
2,Chanel,Fall 2013,Feminine,"Navy double-breasted coat, tweed pants","Chain strap bag, choker","Structured, layered","Classic, sophisticated","Contrasting textures, metallic accents"
3,Chanel,Fall 2013,Feminine,"Black and white tweed coat, leather over-the-knee boots","Blue fur hat, gloves","Structured, layered","Bold, eclectic","Bright accessory, mixed textures"
1,Chanel,Fall 2013,Feminine,"Black and white tweed coat, white turtleneck, black pleated skirt, white thigh-high boots","Blue fur hat, layered necklaces, black clutch","Layered, structured","Classic, chic",Bold color accent with hat
2,Chanel,Fall 2013,Feminine,"Black and white tweed coat, gray pleated skirt, black thigh-high boots",None,"A-line, layered","Sophisticated, timeless","Textured fabrics, monochrome palette"
3,Chanel,Fall 2013,Feminine,"Black and white tweed coat, gray skirt, black leather pants","Gray quilted bag, chunky bracelet","Layered, voluminous","Edgy, modern","Chain details on boots, oversized bag"
1,Chanel,Fall 2013,Feminine,"Gray tweed coat dress, black thigh-high boots","Black gloves, small black quilted bag","Structured, fitted","Classic, elegant","High collar, textured fabric"
2,Chanel,Fall 2013,Feminine,"Gray tweed coat, black thigh-high boots","Pink fur hat, chain necklace","Structured, layered","Chic, sophisticated","Contrasting textures, statement hat"
3,Chanel,Fall 2013,Masculine,"Black textured coat, black leather pants",None,"Slim, tailored","Modern, sleek","Monochrome look, leather detailing"
