Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Fendi,Fall 2022,Feminine,"Sheer slip dress, fuzzy jacket","Mint gloves, mint handbag, glasses","Flowy, layered","Ethereal, romantic","Soft textures, pastel colors"
2,Fendi,Fall 2022,Feminine,"Sheer cropped top, sheer pants","Pink fur clutch, mint gloves","Slim, flowing","Playful, delicate","Contrasting colors, ruffle details"
3,Fendi,Fall 2022,Feminine,Sheer dress with lace-up detail,"Patterned handbag, red gloves","Fitted, layered","Elegant, soft","Pastel hues, intricate lace-up"
1,Fendi,Fall 2022,Feminine,Sheer peach jumpsuit,"White clutch with fur detail, gold jewelry","Fitted, flowing","Ethereal, delicate","Ruffled edges, sheer fabric"
2,Fendi,Fall 2022,Feminine,"Sheer mint dress, matching bralette","Red fur clutch, gold jewelry, pink gloves","Flowy, layered","Romantic, airy","Soft ruffles, pastel tones"
3,Fendi,Fall 2022,Feminine,"Sheer top, high-waisted trousers, pink fur coat","Logo handbag, gold jewelry, green gloves","Structured, voluminous","Chic, sophisticated","Textured coat, tailored pants"
1,Fendi,Fall 2022,Feminine,"Sheer pink top, checked pencil skirt","Fur clutch, layered necklaces","Fitted, pencil","Elegant, sheer","Delicate layering, pastel tones"
2,Fendi,Fall 2022,Feminine,"Checked structured top, sheer skirt","Fendi logo clutch, hairpin","Tailored, flowy","Chic, structured",Contrast between structured top and sheer bottom
3,Fendi,Fall 2022,Feminine,"Checked blazer, sheer white mini dress",Mint green handbag,"Tailored, layered","Modern, sophisticated","Mix of textures, muted colors"
1,Fendi,Fall 2014,Feminine,Black coat with fur hood,"White handbag, fur keychain, white boots","Structured, voluminous","Luxurious, winter-ready","Dramatic fur hood, monochrome contrast"
2,Fendi,Fall 2014,Feminine,Brown dress with mesh and fur details,"Black handbag, brown cuff, black boots","Fitted, layered","Textured, modern","Mesh panels, fur accents"
3,Fendi,Fall 2014,Feminine,Black coat with fur details,"Red handbag, black boots","Structured, elongated","Chic, bold","Fur embellishments, striking red accessory"
1,Fendi,Fall 2014,Feminine,Black dress with fur accents,White ankle boots,"Fitted, knee-length","Elegant, textured",Fur detailing adds texture and contrast
2,Fendi,Fall 2014,Feminine,Olive coat with black fur spots,Black ankle boots,"Structured, long","Bold, graphic",Fur spots create a striking pattern
3,Fendi,Fall 2014,Feminine,"Black top, navy skirt","Brown handbag with fur, black boots","Layered, flowing","Eclectic, modern",Mix of textures and materials
1,Fendi,Fall 2014,Feminine,Navy dress with mesh and fur detail,Fur cuff bracelet,A-line,"Edgy, modern","Mesh paneling, fur shoulder detail"
2,Fendi,Fall 2014,Feminine,"Brown sleeveless top, black turtleneck, brown skirt with mesh pockets",Tan handbag with pink fur accent,"Layered, straight","Layered, utilitarian","Contrasting textures, functional pockets"
3,Fendi,Fall 2014,Feminine,Black strapless dress with zipper front,Statement ring,"Fitted, flared","Chic, sleek","Zipper detail, structured bodice"
