Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Jitrois,Spring 2024,Feminine,"Black leather strapless top, Pink mini skirt with black piping",Black strappy high heels,"Fitted, A-line","Modern, Edgy, Minimalist",Bold color contrast with sleek lines
1,Jitrois,Spring 2024,Feminine,Black leather mini dress,Black strappy heels,Form-fitting,"Chic, Edgy",Minimalist look with a focus on texture and silhouette.
1,Jitrois,Spring 2024,Feminine,"""Pink leather jacket, Pink leather mini skirt""",Black strappy heels,"Fitted, Mini","Bold, Futuristic","High collar, Zipper details"
1,Jitrois,Spring 2024,Masculine,"Black leather sleeveless top, Black leather pants",Black chunky boots,Fitted,"Edgy, Modern, Sleek",Monochromatic leather ensemble
1,Jitrois,Spring 2024,Feminine,"Pink leather blazer, Black leather pants",Black strappy heels,"Fitted, Structured","Bold, Modern, Edgy","High collar, Sleek design"
1,Jitrois,Spring 2024,Feminine,"Pink off-shoulder crop top, Pink mini skirt",Silver high heels,"Fitted, Bodycon","Bold, Minimalist","Bright color, Clean lines"
1,Jitrois,Spring 2024,Masculine,"Black leather blazer, Light blue faded jeans",Black chunky boots,"Fitted upper, Slim legs","Edgy, Modern, Sleek",Minimalist look with a focus on texture contrast
1,Jitrois,Spring 2024,Feminine,"Blue and black bodycon dress, sleeveless, color-blocked",Black strappy heels,Bodycon,"Modern, Sleek, Minimalist",The dress features strategic color-blocking for a slimming effect.
1,Jitrois,Spring 2024,Feminine,"Black leather off-shoulder top, Black leather pants",Black sandals,Form-fitting,"Sleek, Modern, Edgy",Minimalist styling with a focus on leather texture
1,Jitrois,Spring 2024,Masculine,"Black leather pants, Black and white leather jacket with blue sleeves",Black leather boots,Fitted,"Modern, Edgy",Minimalist color blocking with a sleek leather finish.
1,Jitrois,Spring 2024,Feminine,Blue leather zip-up dress,Silver open-toe heels,Bodycon,"Modern, Sleek",Minimalist design with bold color
