Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Acne Studios,Fall 2023,Feminine,"Leaf-patterned dress, lace-up pants","Sunglasses, small handbag","Flowy, layered","Nature-inspired, edgy","Cut-out details, earthy tones"
2,Acne Studios,Fall 2023,Masculine,"Cropped jacket, lace-up pants, green top",Earrings,"Tailored, fitted","Textured, rugged","Earthy textures, layered look"
3,Acne Studios,Fall 2023,Feminine,"Leather tunic, lace-up pants",Small handbag,"Sleek, structured","Minimalist, modern","Contrasting textures, monochrome"
1,Acne Studios,Fall 2023,Feminine,"Black tank top, sheer floral skirt","Sunglasses, layered necklaces, watch","Fitted top, flowing skirt","Edgy, modern","Sheer fabric, floral pattern"
2,Acne Studios,Fall 2023,Feminine,"Black leather jacket, dark flowing dress",Sunglasses,"Structured jacket, flowing dress","Futuristic, avant-garde","Textured leather, layered look"
3,Acne Studios,Fall 2023,Feminine,Green textured dress,"Green handbag, earrings","Asymmetrical, fitted","Organic, nature-inspired","Leaf-like texture, earthy tones"
1,Acne Studios,Fall 2023,Feminine,Brown oversized trench coat,Black sunglasses,"Oversized, layered","Edgy, avant-garde","Dramatic collar, textured boots"
2,Acne Studios,Fall 2023,Feminine,"Green and black long-sleeve top, matching pants",,"Relaxed, flowing","Moody, artistic","Tie-dye effect, monochrome look"
3,Acne Studios,Fall 2023,Feminine,"Gray textured crop top, black lace-up pants","Silver earrings, sunglasses","Fitted, edgy","Grunge, modern","Textured fabric, lace-up details"
1,Acne Studios,Fall 2016,Feminine,"Oversized coat, knee-high boots",Metallic belt,"Oversized, structured","Avant-garde, modern","Textured fabric, asymmetrical design"
2,Acne Studios,Fall 2016,Feminine,"Vinyl bodysuit, layered leggings, plaid wrap",Clutch bag,"Fitted, layered","Eclectic, futuristic","Mixed materials, bold textures"
3,Acne Studios,Fall 2016,Feminine,"Deep V-neck top, wide-leg vinyl pants",Thin belt,"Voluminous, layered","Innovative, edgy","Animal print sleeves, metallic accents"
1,Acne Studios,Fall 2016,Feminine,"Tan sleeveless top, tan wide-leg pants, sheer long-sleeve underlayer",,"Loose, relaxed","Layered, neutral tones",Minimalist design with subtle details
2,Acne Studios,Fall 2016,Feminine,"Tan sleeveless top, tan leggings, sheer long-sleeve underlayer",Oversized quilted yellow coat,"Layered, oversized","Quilted, layered",Contrast between fitted and oversized elements
3,Acne Studios,Fall 2016,Feminine,"Dark plaid long-sleeve top, dark plaid wide-leg pants",Small sunglasses,"Loose, structured","Plaid, structured",Subtle plaid pattern with structured silhouette
1,Acne Studios,Fall 2016,Feminine,"Layered knit dress, asymmetrical top",Black clutch,"Fitted, layered","Eclectic, avant-garde","Mixed textures, asymmetrical neckline"
2,Acne Studios,Fall 2016,Feminine,"Metallic striped bodysuit, sheer tights",,"Fitted, elongated","Futuristic, bold","Metallic sheen, vertical stripes"
3,Acne Studios,Fall 2016,Feminine,"Oversized glossy coat, sheer top",,"Oversized, structured","Modern, industrial","Glossy finish, large buckle detail"
1,Acne Studios,Spring 2016,Feminine,Gray blazer dress,Beige sculptural clutch,"Structured, minimal","Modern, avant-garde","Bold shoulders, minimalistic design"
2,Acne Studios,Spring 2016,Feminine,"Navy blazer with orange detail, black mini skirt",,"Structured, layered","Modern, eclectic","Contrasting textures, asymmetrical detail"
3,Acne Studios,Spring 2016,Feminine,Gray mini dress with blue and white top overlay,,"Fitted, sleek","Futuristic, sporty","Harness detail, color blocking"
1,Acne Studios,Spring 2016,Feminine,"Black mesh top, gray trousers with white and orange details",Gold slip-on shoes,"Fitted, asymmetrical","Edgy, modern","Mesh detailing, color blocking"
2,Acne Studios,Spring 2016,Feminine,Gray mini dress with orange and black top,Red platform sandals,"Slim, structured","Futuristic, bold","Geometric patterns, contrasting textures"
3,Acne Studios,Spring 2016,Feminine,Brown mesh dress,"Cream shoulder bag, black platform sandals",Bodycon,"Minimalist, textured","Sheer fabric, oversized bag"
1,Acne Studios,Spring 2016,Feminine,Blue knit dress,"White shoulder bag, black sandals","Fitted, asymmetrical","Edgy, deconstructed","Distressed knit, bold color"
2,Acne Studios,Spring 2016,Feminine,"Blue knit top, tweed pants with sequin patch","Pink handbag, silver slip-on shoes","Relaxed, mixed textures","Eclectic, modern","Patchwork details, metallic accents"
3,Acne Studios,Spring 2016,Feminine,"Cropped top, brown mini skirt","White handbag, blue sandals","Cropped, layered","Futuristic, minimal","High-waisted skirt, bold footwear"
1,Acne Studios,Spring 2014,Feminine,"White shirt dress, metallic belt",Silver platform sandals,"Relaxed, cinched waist","Minimalist, modern","Metallic accents, rolled sleeves"
2,Acne Studios,Spring 2014,Feminine,White strapless dress,"Silver necklace, silver shoes","Fitted, bodycon","Elegant, sleek",Structured bust detail
3,Acne Studios,Spring 2014,Feminine,"White oversized coat, cut-out pants","White beret, silver platform sandals","Oversized, layered","Avant-garde, edgy","Cut-out detailing, oversized buttons"
1,Acne Studios,Spring 2014,Feminine,"White strapless top, white wide-leg pants","Silver necklace, platform sandals","Straight, relaxed","Minimalist, modern",Monochrome look with metallic accents
2,Acne Studios,Spring 2014,Feminine,"White cut-out top, white shorts","White hat, metallic shoes","Loose, layered","Edgy, contemporary",Textured layers with metallic footwear
3,Acne Studios,Spring 2014,Feminine,White shirtdress,Silver platform sandals,"A-line, flowy","Crisp, clean",Classic shirtdress with modern metallic footwear
