Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Frederick Anderson,Fall 2024,Feminine,Sheer star-patterned dress,,"A-line, flowing","Ethereal, delicate",Sheer fabric with star motifs
2,Frederick Anderson,Fall 2024,Feminine,"Black sequin top, black sequin pants",,"Relaxed, draped","Glamorous, sleek",All-over sequins with deep V-neckline
3,Frederick Anderson,Fall 2024,Feminine,"Patterned suit, sheer star-patterned blouse",,"Tailored, structured","Eclectic, bold",Mix of patterns with sheer blouse
1,Frederick Anderson,Fall 2024,Feminine,"Black crochet one-shoulder top, black crochet skirt",,"Fitted, asymmetrical","Edgy, textured","Sheer crochet fabric, bold makeup"
2,Frederick Anderson,Fall 2024,Feminine,"Mint green textured coat, mint green dress with black trim",,"Flowy, relaxed","Elegant, layered","Contrasting trim, soft texture"
3,Frederick Anderson,Fall 2024,Feminine,Black crochet one-shoulder dress,,"Fitted, asymmetrical","Edgy, textured","Sheer crochet fabric, bold makeup"
1,Frederick Anderson,Fall 2024,Feminine,"Mint green textured suit, wide-legged pants, open-front jacket",,"Relaxed, flowing","Chic, elegant","Soft texture, monochrome look"
2,Frederick Anderson,Fall 2024,Feminine,"Satin off-shoulder top, pencil skirt",,"Fitted, voluminous top","Sophisticated, modern","Asymmetrical top, shimmering fabric"
3,Frederick Anderson,Fall 2024,Feminine,Lace overlay dress,,"Fitted, sheer","Romantic, intricate","Detailed lace, semi-sheer design"
1,Frederick Anderson,Spring 2024,Feminine,Lace dress with layered tulle detail,Strappy sandals,"A-line, flowing","Romantic, vintage","Intricate lace, voluminous hairstyle"
2,Frederick Anderson,Spring 2024,Feminine,"Lace halter top, lace pants",Strappy sandals,"Loose, relaxed","Bohemian, ethereal","Sheer lace, tied neckline"
3,Frederick Anderson,Spring 2024,Feminine,Beaded lace dress,Strappy sandals,"Fitted, straight","Elegant, classic","Shimmering beads, cap sleeves"
1,Frederick Anderson,Spring 2024,Feminine,"Beige lace dress, lace jacket",None visible,"A-line, flowing","Romantic, vintage",Intricate lace detailing
2,Frederick Anderson,Spring 2024,Feminine,"Crochet top, leather shorts, long crochet cardigan",None visible,"Relaxed, layered","Bohemian, casual",Mix of textures with crochet and leather
3,Frederick Anderson,Spring 2024,Feminine,Brown leather dress,None visible,"Fitted, structured","Chic, modern","Cold shoulder design, deep V-neck"
1,Frederick Anderson,Spring 2024,Feminine,"Textured coat, leather belt, matching pants",,"Relaxed, layered","Retro, chic","Afro hairstyle, neutral tones"
2,Frederick Anderson,Spring 2024,Feminine,"Leather bustier, long skirt",,"Fitted, flowing","Elegant, modern","Afro hairstyle, sleek lines"
3,Frederick Anderson,Spring 2024,Feminine,Wrap dress with slit,,"Flowing, asymmetrical","Sophisticated, daring","Afro hairstyle, deep neckline"
1,Frederick Anderson,Fall 2023,Feminine,Metallic purple dress,"Gold handbag, bracelets","Fitted, voluminous sleeves","Elegant, bold","Shimmering fabric, structured silhouette"
2,Frederick Anderson,Fall 2023,Feminine,"Black feathered top, metallic purple skirt","Gold handbag, bracelets","A-line, layered","Chic, textured","Feather detailing, contrasting textures"
3,Frederick Anderson,Fall 2023,Feminine,Black crochet dress,None visible,"Slim, elongated","Sophisticated, intricate","Deep V-neck, sheer crochet pattern"
1,Frederick Anderson,Fall 2023,Feminine,"Black halter top, black wide-leg pants","Gold bracelet, small handbag","Loose, flowing","Elegant, minimalist",Monochrome look with a relaxed fit
2,Frederick Anderson,Fall 2023,Masculine,"Shimmering purple trench coat, black trousers",None,"Tailored, sleek","Sophisticated, modern",Shiny fabric with a classic trench silhouette
3,Frederick Anderson,Fall 2023,Feminine,"Black lace dress with sheer details, purple skirt overlay","Gold bracelet, small handbag","Fitted, flared","Glamorous, intricate",Lace detailing with a dramatic skirt overlay
1,Frederick Anderson,Fall 2023,Feminine,"Metallic purple sleeveless top, matching wide-leg pants","Gold clutch, chain bracelet","Structured, elongated","Chic, modern","Shimmering fabric, belted waist"
2,Frederick Anderson,Fall 2023,Feminine,Black cut-out gown,Black ankle boots,"Fitted, sleek","Elegant, daring","Deep V-neck, side slit"
3,Frederick Anderson,Fall 2023,Feminine,"Black crochet sweater, purple pleated skirt",Gold clutch,"Relaxed, flowy","Bohemian, eclectic","Textured knit, metallic sheen"
