Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,T by Alexander Wang,Fall 2014,Feminine,"Black quilted coat, gray wool coat, black hoodie, black quilted pants",Neon yellow strappy heels,"Layered, relaxed","Sporty, urban","Neon accents, quilted texture"
2,T by Alexander Wang,Fall 2014,Feminine,"Gray wool coat, black quilted jacket, green quilted pants",Neon yellow strappy heels,"Layered, relaxed","Sporty, urban","Mixed textures, structured coat"
3,T by Alexander Wang,Fall 2014,Feminine,"Neon yellow coat, gray quilted jacket, gray track pants",Neon yellow strappy heels,"Layered, relaxed","Sporty, urban","Bright outerwear, casual layering"
1,T by Alexander Wang,Fall 2014,Feminine,"Charcoal cropped jacket, black top, charcoal joggers",,"Relaxed, sporty","Athleisure, modern","Neon accents, casual yet chic"
2,T by Alexander Wang,Fall 2014,Feminine,"Black textured sweater, quilted pants",,"Relaxed, sporty","Athleisure, modern","Neon piping, textured layers"
3,T by Alexander Wang,Fall 2014,Feminine,"Black oversized sweater, leather leggings",Beanie,"Relaxed, sporty","Athleisure, modern","Neon stitching, oversized knit"
1,T by Alexander Wang,Fall 2014,Feminine,"Green textured jacket, black zip-up top, green skirt, black leggings",,"Layered, fitted","Sporty, modern","Contrasting textures, neon piping on leggings"
2,T by Alexander Wang,Fall 2014,Feminine,"Green textured coat, black zip-up top, black leggings",,"Oversized, fitted","Sporty, modern","Layered outerwear, neon piping on leggings"
3,T by Alexander Wang,Fall 2014,Feminine,"Gray textured sweater, black skirt, black leggings",Gray beanie,"Layered, fitted","Sporty, modern","Contrasting textures, casual headwear"
1,T by Alexander Wang,Spring 2014,Feminine,"Black leather jacket, white top, red ribbed skirt",Black and white heels,"Fitted, structured","Edgy, modern","Zipper details on skirt, monochrome contrast"
2,T by Alexander Wang,Spring 2014,Feminine,"Red ribbed crop top, red ribbed skirt",Black and white heels,"Fitted, bodycon","Bold, cohesive","Matching set, zipper details"
3,T by Alexander Wang,Spring 2014,Feminine,"Black ribbed sweater, white top, red pants",Black and white heels,"Relaxed, tailored","Casual, chic","Zipper detail on sweater, color contrast"
1,T by Alexander Wang,Spring 2014,Feminine,"Red camisole, black trousers",Black and white shoes,"Relaxed, straight","Minimalist, casual",Bright top with neutral bottoms
2,T by Alexander Wang,Spring 2014,Feminine,Black zip-up dress,Black and white shoes,"Fitted, knee-length","Sleek, modern",Zipper detail adds edge
3,T by Alexander Wang,Spring 2014,Feminine,"Black leather vest, black leather skirt",Black and white shoes,"A-line, structured","Edgy, contemporary",Leather texture with zipper accent
1,T by Alexander Wang,Spring 2014,Feminine,"Black leather crop top, brown ribbed skirt",Black and white shoes,"Fitted, sleek","Minimalist, edgy","Zipper details, contrast textures"
2,T by Alexander Wang,Spring 2014,Feminine,"Brown ribbed cardigan, white crop top, black leather skirt",Black and white shoes,"Fitted, layered","Minimalist, sporty","Zipper details, layered look"
3,T by Alexander Wang,Spring 2014,Feminine,"Black hoodie, white top, brown trousers",Black and white shoes,"Relaxed, casual","Athleisure, minimalist","Layered look, neutral tones"
