Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Erdem,Spring 2023,Feminine,"Black embroidered jacket, black skirt",Black veil,"A-line, layered","Romantic, gothic","Floral embroidery, sheer overlay"
2,Erdem,Spring 2023,Feminine,Black floral dress,Statement earrings,"Fitted bodice, flared skirt","Floral, elegant","Delicate straps, intricate floral pattern"
3,Erdem,Spring 2023,Feminine,Yellow embroidered gown,,"Column, off-shoulder","Sophisticated, bold","Draped neckline, floral embroidery"
1,Erdem,Spring 2023,Feminine,"White shirt, printed skirt",Statement earrings,"Structured, asymmetrical","Artistic, avant-garde","Intricate print, sculptural top"
2,Erdem,Spring 2023,Feminine,Printed off-shoulder dress,Minimal earrings,"Flowy, elegant","Romantic, artistic","Dramatic print, delicate straps"
3,Erdem,Spring 2023,Feminine,Yellow floral trench coat,None visible,"Tailored, voluminous","Floral, bold","Vibrant color, floral embroidery"
1,Erdem,Spring 2023,Feminine,Yellow floral print dress,Statement earrings,"A-line, flowing","Romantic, floral","Bright color, delicate print"
2,Erdem,Spring 2023,Feminine,White embroidered dress,Statement earrings,"A-line, structured","Botanical, elegant","Intricate embroidery, classic cut"
3,Erdem,Spring 2023,Feminine,White shirt dress with graphic print,Statement earrings,"A-line, tailored","Artistic, modern","Graphic elements, clean lines"
1,Erdem,Spring 2009,Feminine,"Light blue lace gown, orange belt",None visible,"Flowy, layered","Romantic, delicate","Ruffled details, sheer fabric"
2,Erdem,Spring 2009,Feminine,"Orange floral print coat, matching skirt",None visible,A-line,"Bold, vibrant","Floral pattern, structured"
3,Erdem,Spring 2009,Feminine,"Lace top, light blue pencil skirt",None visible,Fitted,"Elegant, classic","Lace detailing, high neckline"
1,Erdem,Spring 2009,Feminine,Orange strapless dress with floral print hem,Silver ankle-tie heels,Fit and flare,"Vibrant, floral","Bold color, playful hemline"
2,Erdem,Spring 2009,Feminine,"Cream lace tiered dress, light blue cropped jacket",Large floral shoulder accessory,A-line,"Romantic, vintage","Delicate lace, soft hues"
3,Erdem,Spring 2009,Feminine,"Green floral print maxi dress, matching cropped jacket",None visible,Column,"Ethereal, botanical","Flowy fabric, nature-inspired print"
1,Erdem,Spring 2009,Feminine,Floral print dress with elbow-length sleeves,Floral headpiece,Fit and flare,"Romantic, floral","Pastel colors, garden-inspired"
2,Erdem,Spring 2009,Feminine,Sleeveless floral print dress,Ankle-tie shoes,"Straight, relaxed","Botanical, fresh","Vibrant floral patterns, lightweight fabric"
3,Erdem,Spring 2009,Feminine,Tiered ruffle maxi dress,,"Flowy, layered","Ethereal, soft","Delicate ruffles, watercolor effect"
1,Erdem,Fall 2012,Feminine,"Purple and black sleeveless dress with floral appliqué, belted waist",Black ankle boots,A-line,"Elegant, floral","Textured fabric, bold color contrast"
2,Erdem,Fall 2012,Feminine,Purple top and pencil skirt with black floral appliqué,Purple ankle boots,Fitted,"Chic, coordinated","Matching set, intricate detailing"
3,Erdem,Fall 2012,Feminine,"Navy dress with blue floral appliqué, belted waist",Purple ankle boots,Sheath,"Sophisticated, modern","Contrasting colors, sleek design"
1,Erdem,Fall 2012,Feminine,Navy floral dress with lace details,Black ankle boots,A-line,"Elegant, floral","Sheer lace yoke, floral embroidery"
2,Erdem,Fall 2012,Feminine,White and blue floral dress,Blue ankle boots,Fitted,"Chic, floral","Cap sleeves, intricate floral pattern"
3,Erdem,Fall 2012,Feminine,Yellow and black floral dress,Floral pumps,Shift,"Bold, floral","High neckline, sheer paneling"
1,Erdem,Fall 2012,Feminine,"Yellow and black patterned knit top, floral A-line skirt",Beaded necklace,"Fitted top, flared skirt","Elegant, floral",Mix of textures and patterns
2,Erdem,Fall 2012,Feminine,"Yellow and black houndstooth jacket, floral pencil skirt",Beaded necklace,Structured,"Sophisticated, mixed prints",Contrasting patterns with cohesive color palette
3,Erdem,Fall 2012,Feminine,"Navy sleeveless top, yellow lace pencil skirt","Beaded necklace, belt",Fitted,"Chic, modern",Bold color contrast with lace detailing
1,Erdem,Fall 2011,Feminine,"Velvet dress with abstract print, slit detail",Ankle boots,"Fitted, knee-length","Elegant, artistic",Rich textures and colors
2,Erdem,Fall 2011,Feminine,"Sheer blouse, velvet trousers with abstract print",Heeled shoes,"Relaxed, tailored","Chic, modern",Play of transparency and texture
3,Erdem,Fall 2011,Feminine,Printed trench coat,Ankle boots,"Structured, knee-length","Sophisticated, bold",Vibrant print with classic silhouette
1,Erdem,Fall 2011,Feminine,Black dress with multicolored abstract print,Red ankle-strap heels,"Fitted, knee-length","Artistic, modern","Spaghetti straps, vibrant print"
2,Erdem,Fall 2011,Feminine,"Black dress with multicolored abstract print, 3/4 sleeves",Red ankle-strap heels,"Fitted, knee-length","Artistic, modern","Crew neck, vibrant print"
3,Erdem,Fall 2011,Feminine,Magenta dress with black lace overlay,Black ankle-strap heels,"Fitted, knee-length","Elegant, bold","Long sleeves, lace detailing"
1,Erdem,Fall 2011,Feminine,"Black cable knit sweater, blue sequin skirt",Black heels,"Fitted, knee-length","Textured, layered","Sequin detailing, slit skirt"
2,Erdem,Fall 2011,Feminine,"Printed blazer, printed pants, printed turtleneck",None visible,"Tailored, slim","Bold, coordinated","All-over print, structured tailoring"
3,Erdem,Fall 2011,Feminine,"Blue textured top, black skirt with blue accents",Red heels,"Fitted, knee-length","Elegant, modern","Cowl neck, contrasting textures"
1,Erdem,Fall 2009,Feminine,"Floral print dress, black tights",Floral print ankle boots,"A-line, structured","Floral, bold","Strong shoulder detail, vibrant print"
2,Erdem,Fall 2009,Feminine,"Floral embellished coat, black tights",Floral print ankle boots,"Straight, voluminous sleeves","Floral, elegant","Zipper detail, intricate embellishments"
3,Erdem,Fall 2009,Feminine,"Red and black lace dress, black tights",Red and black ankle boots,"A-line, fitted waist","Lace, dramatic","Bold color contrast, delicate lace overlay"
1,Erdem,Fall 2009,Feminine,"Black dress with yellow floral print, black tights",Floral print ankle boots,"A-line, voluminous sleeves","Floral, elegant","Bold floral pattern, structured silhouette"
2,Erdem,Fall 2009,Feminine,"Red and black lace dress, black tights",Floral print ankle boots,"Fitted, hourglass","Lace, dramatic","Intricate lace detailing, bold color contrast"
3,Erdem,Fall 2009,Feminine,"Gold and black lace dress, black tights",Floral print ankle boots,"A-line, structured","Lace, ornate","Rich lace texture, structured design"
1,Erdem,Fall 2009,Feminine,"Floral print dress, black tights",Patterned ankle boots,"A-line, voluminous","Romantic, artistic","Bold floral print, vibrant colors"
2,Erdem,Fall 2009,Feminine,"Blue dress with floral bodice, black tights",Patterned ankle boots,"Balloon, structured","Elegant, bold","Contrasting textures, voluminous skirt"
3,Erdem,Fall 2009,Feminine,"Floral print top, red skirt, black tights",Patterned ankle boots,"Straight, fitted","Artistic, vibrant","Mixed prints, statement sleeves"
1,Erdem,Fall 2021,Feminine,"Tan trench coat, white feathered skirt",Black shoes,"Structured, layered","Elegant, dramatic",Contrasting textures with feathers
2,Erdem,Fall 2021,Feminine,"Gray knit cardigan, gray shorts, white shirt","Gray headband, platform shoes","Fitted, layered","Chic, cozy",Mix of knitwear and feathers
3,Erdem,Fall 2021,Feminine,"Patterned jacket, gray ribbed leggings","Platform shoes, statement earrings","Tailored, sleek","Sophisticated, modern",Subtle feather pattern on jacket
1,Erdem,Fall 2021,Feminine,"White embellished blouse, gray pleated skirt","Headband, earrings","A-line, voluminous","Elegant, classic",Intricate embellishments on blouse
2,Erdem,Fall 2021,Feminine,"Gray tailored jacket, black shorts","Headband, earrings","Fitted, structured","Chic, modern",Contrasting textures with jacket and shorts
3,Erdem,Fall 2021,Feminine,"Gray textured jacket, matching skirt","Headband, earrings","Structured, flared","Sophisticated, timeless",Coordinated set with a focus on texture
1,Erdem,Fall 2021,Feminine,"Gray patterned coat, pleated skirt, white shirt","Headband, earrings","A-line, tailored","Elegant, classic","Feather pattern, structured shoulders"
2,Erdem,Fall 2021,Feminine,"Camel patterned coat, black turtleneck","Headband, earrings","A-line, tailored","Sophisticated, timeless","Feather pattern, long coat"
