Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Rachel Antonoff,Fall 2023,Unisex,Floral print robes,,"Relaxed, flowing","Whimsical, botanical",Matching couple look with garden theme
2,Rachel Antonoff,Fall 2023,Feminine,Colorful print dress,Gold necklaces,"Fitted, A-line","Vibrant, eclectic",Bold print with sunset backdrop
3,Rachel Antonoff,Fall 2023,Unisex,"Red floral print dress, beige shawl",Glasses,"Relaxed, layered","Romantic, vintage",Couple in vineyard setting with classic romance vibe
1,Rachel Antonoff,Fall 2023,Feminine,"Black dress with scalloped edges, black dress with pink chain pattern",,"Fitted, playful","Whimsical, retro","Library setting, playful poses"
2,Rachel Antonoff,Fall 2023,Unisex,"Sheer printed tops, red skirt, mermaid tail pants",Hoop earrings,"Fitted, fantasy","Nautical, surreal","Ocean backdrop, trident prop"
3,Rachel Antonoff,Fall 2023,Unisex,"Printed jacket and pants, yellow fringed shirt",Rings,"Relaxed, eclectic","Western, playful","Barn setting, horse print"
1,Rachel Antonoff,Fall 2023,Feminine,"Pink metallic coat, graphic sweater",Gold hoop earrings,"Relaxed, layered","Playful, whimsical",Fantasy-inspired backdrop
2,Rachel Antonoff,Fall 2023,Masculine and Feminine,"Red fringe sweater, printed dress",None visible,"Cozy, relaxed","Casual, intimate","Matching prints, cozy setting"
3,Rachel Antonoff,Fall 2023,Feminine,"Pasta print dress, sheer top",Rings,"Fitted, sheer","Artistic, romantic","Nature-inspired backdrop, food motif"
1,Rachel Antonoff,Fall 2016,Feminine,White graphic t-shirt,,"Casual, relaxed","Playful, vintage",Features a typewriter as a prop
2,Rachel Antonoff,Fall 2016,Feminine,"Printed blouse, pink pants",Red shoes,"Casual, comfortable","Retro, quirky","Model in a wheelchair, playful setting"
3,Rachel Antonoff,Fall 2016,Masculine,"Graphic t-shirt, blue checkered vest",Black glasses,"Casual, relaxed","Playful, modern",Features a typewriter as a prop
1,Rachel Antonoff,Fall 2016,Feminine,"Coral coat, checkered dress",,"A-line, oversized","Retro, playful",Bright color contrast with background
2,Rachel Antonoff,Fall 2016,Feminine,"Blue blouse, plaid pants, printed dress",Colorful necklace,"Tailored, relaxed","Eclectic, vibrant",Mix of patterns and textures
3,Rachel Antonoff,Fall 2016,Feminine,"Graphic t-shirt, denim skirt",,"A-line, casual","Casual, vintage-inspired",Graphic text adds a playful touch
1,Rachel Antonoff,Fall 2016,Feminine,Red dress with multicolored collar and cuffs,,A-line,"Playful, vibrant",Colorful detailing on collar and cuffs
2,Rachel Antonoff,Fall 2016,Feminine,"Printed dress, blue blouse with bow, red skirt","White heels, red heels",Fit and flare,"Chic, retro",Mix of prints and bold colors
3,Rachel Antonoff,Fall 2016,Feminine,"Denim jacket, black top",,Boxy,"Casual, modern",Denim with raw edges
1,Rachel Antonoff,Spring 2016,Feminine,Beige sleeveless romper,"Brown boat shoes, axe","Casual, relaxed","Utility, playful",Outdoor theme with axe
2,Rachel Antonoff,Spring 2016,Feminine,Beige sleeveless dress,"White platform sandals, red first aid kit","Casual, relaxed","Utility, playful",Outdoor theme with first aid kit
3,Rachel Antonoff,Spring 2016,Feminine,"Beige jacket, white shirt, blue striped shorts","White platform sandals, red first aid kit","Casual, relaxed","Utility, playful",Outdoor theme with playful elements
1,Rachel Antonoff,Spring 2016,Feminine,"Sleeveless white blouse, blue and white striped wide-leg pants",Red pipe,"Relaxed, wide-leg","Playful, nautical",Embroidered collar details
2,Rachel Antonoff,Spring 2016,Feminine,Blue and white striped jumpsuit,Book,"Relaxed, wide-leg","Playful, nautical","Deep V-neckline, zipper front"
3,Rachel Antonoff,Spring 2016,Feminine,"White crop top, blue and white striped skirt",,"A-line, high-waisted","Casual, youthful","Graphic tee text, mixed stripe directions"
1,Rachel Antonoff,Spring 2016,Feminine,Blue and white striped dress,"Coca-Cola bottle, lantern",A-line,"Playful, retro",Casual summer look with nostalgic elements
2,Rachel Antonoff,Spring 2016,Feminine,White eyelet jumpsuit,Colorful bird props,"Loose, cropped","Whimsical, bohemian",Nature-inspired with playful props
3,Rachel Antonoff,Spring 2016,Feminine,White eyelet maxi dress,"Floral cap, Coca-Cola bottle","Straight, relaxed","Romantic, vintage","Soft, dreamy aesthetic with vintage vibes"
1,Rachel Antonoff,Fall 2015,Feminine,"White collared shirt, navy high-waisted trousers",Black loafers,"Relaxed, tapered","Minimalist, classic",Crisp white shirt with tailored pants
2,Rachel Antonoff,Fall 2015,Feminine,"White sleeveless blouse, navy pleated skirt","Black loafers, black tights",A-line,"Preppy, schoolgirl",Layered blouse with side ties
3,Rachel Antonoff,Fall 2015,Feminine,"White collared shirt, navy blazer with emblem, navy trousers",Black loafers,"Structured, tailored","Academic, collegiate",Blazer with emblem adds a scholarly touch
1,Rachel Antonoff,Fall 2015,Feminine,"Light blue shirtdress, black tights",Black loafers,"A-line, relaxed","Casual, minimalist",Simple and clean lines
2,Rachel Antonoff,Fall 2015,Feminine,"Light blue short-sleeve shirt, plaid trousers",Black loafers,"Straight, tailored","Preppy, classic",Mix of patterns with a tailored fit
3,Rachel Antonoff,Fall 2015,Feminine,"White long-sleeve top, plaid suspender skirt",Black loafers,"A-line, layered","Schoolgirl, retro",Layered plaid with a vintage feel
1,Rachel Antonoff,Fall 2015,Feminine,"Cream coat, white shirt, plaid skirt",Black loafers,"Oversized, layered","Preppy, classic","Contrasting inner lining, plaid detail"
2,Rachel Antonoff,Fall 2015,Feminine,"Gray jumper dress, white shirt","Black tights, black loafers",A-line,"Schoolgirl, retro",Embroidered patch detail
3,Rachel Antonoff,Fall 2015,Feminine,Navy sweatshirt dress,"Black tights, white shoes",Straight,"Casual, sporty","Graphic text, relaxed fit"
1,Rachel Antonoff,Spring 2014,Feminine,"White sweatshirt with 'Forever Crush' text, red shorts",Heart-shaped sunglasses,"Casual, relaxed","Playful, youthful","Poodle as a prop, laundromat setting"
2,Rachel Antonoff,Spring 2014,Feminine,White printed dress,"Matching printed cap, printed slip-on shoes","A-line, casual","Graphic, quirky","Poodle as a prop, laundromat setting"
3,Rachel Antonoff,Spring 2014,Feminine,"White printed shirt, light pink pants","Matching printed cap, black and white loafers","Relaxed, casual","Graphic, quirky","Laundromat setting, playful print"
1,Rachel Antonoff,Spring 2014,Feminine,"Printed crop top, printed leggings","Printed cap, red leash",Fitted,"Playful, quirky","Laundry-themed setting, matching print"
2,Rachel Antonoff,Spring 2014,Feminine,"Printed long-sleeve shirt, printed shorts","Printed cap, red leash",Relaxed,"Playful, quirky","Laundry-themed setting, matching print"
3,Rachel Antonoff,Spring 2014,Feminine,"Light blue top, printed shorts","Printed cap, red leash",Relaxed,"Playful, quirky","Laundry-themed setting, matching print"
1,Rachel Antonoff,Spring 2014,Feminine,Printed romper,"Printed cap, black and white loafers","Fitted, playful","Casual, quirky",Graphic print with faces
2,Rachel Antonoff,Spring 2014,Feminine,White and red dress,"Heart-shaped sunglasses, red leash, platform sandals","A-line, playful","Retro, fun",Color-blocked dress with pleated hem
3,Rachel Antonoff,Spring 2014,Feminine,White dress with heart detail,Black lace-up shoes,"Relaxed, playful","Minimalist, whimsical","Heart motif, simple silhouette"
