Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Area,Spring 2024,Feminine,White mini dress with cutouts,Black and white flats,A-line,"Playful, avant-garde",Cutout details with eye motif
2,Area,Spring 2024,Feminine,"White structured bra top, white wide-leg pants",None visible,Structured,"Minimalist, bold",Eye motif on top
3,Area,Spring 2024,Feminine,"Circular disc top, embellished mini skirt","Large circular sunglasses, platform heels",Fitted,"Futuristic, artistic","Oversized circular elements, eye motif"
1,Area,Spring 2024,Feminine,White dress with black and white embellishments,White platform shoes with black details,A-line,"Avant-garde, playful",Covered in googly eyes
2,Area,Spring 2024,Feminine,White coat and pants with black embellishments,White platform shoes with black details,Oversized,"Graphic, bold",Geometric patterns with eye motifs
3,Area,Spring 2024,Feminine,White and black patterned bodysuit,Black shoes with silver embellishments,Form-fitting,"Futuristic, daring",Cut-out details with metallic accents
1,Area,Spring 2024,Feminine,White halter dress with black floral appliqué,Platform shoes with floral detail,"Fitted, column","Floral, textured",Black floral embellishments
2,Area,Spring 2024,Feminine,Black and white spotted mini dress,Silver platform shoes,"Asymmetrical, fitted","Graphic, bold","Cut-out details, ruffled edges"
3,Area,Spring 2024,Feminine,Black and white spotted ruffled ensemble,Platform shoes with gold detail,"Voluminous, layered","Playful, avant-garde","Ruffle layers, cut-out elements"
1,Area,Fall 2023,Feminine,"Blue faux fur coat, high-waisted shorts, thigh-high boots",Statement earrings,"Voluminous, dramatic","Avant-garde, bold","Textured fabric, deep blue hue"
2,Area,Fall 2023,Feminine,"Asymmetrical crop top, wide-leg pants",Chunky bracelets,"Relaxed, fluid","Edgy, modern","Denim-like texture, asymmetrical design"
3,Area,Fall 2023,Feminine,"Sleeveless denim dress, matching boots",,"Structured, voluminous","Futuristic, sculptural","Unique silhouette, textured fabric"
1,Area,Fall 2023,Feminine,"Denim vest, denim pants with peplum detail",,"Structured, peplum","Denim, textured","Unique denim texture, coordinated set"
2,Area,Fall 2023,Feminine,"Faux fur jacket, faux fur briefs",Embellished face mask,"Voluminous, bold","Avant-garde, dramatic","Oversized fur, striking mask"
3,Area,Fall 2023,Feminine,"Faux fur vest, faux fur pants with peplum detail",Embellished face mask,"Structured, peplum","Avant-garde, textured","Faux fur texture, coordinated set"
1,Area,Fall 2023,Gender Neutral,Oversized fur coat,Embellished details,"Voluminous, dramatic","Avant-garde, bold",Animal print texture
2,Area,Fall 2023,Feminine,Flowing jumpsuit,Tentacle-like embellishments,"Fluid, elongated","Whimsical, artistic",Playful use of textures
3,Area,Fall 2023,Feminine,"Crop top, high-slit skirt",Statement earrings,"Fitted, revealing","Edgy, futuristic","Metallic sheen, bold cuts"
1,Area,Spring 2022,Feminine,"Houndstooth crop top, matching leggings","Butterfly mask, gold butterfly embellishments, feathered cuffs","Fitted, bold","Avant-garde, whimsical","Colorful houndstooth pattern, gold accents"
2,Area,Spring 2022,Feminine,Houndstooth mini dress,"Gold butterfly headpiece, crystal necklace","Fitted, sculptural","Dramatic, ornate","Gold butterfly motifs, statement jewelry"
3,Area,Spring 2022,Feminine,Crystal butterfly bikini,Colorful butterfly mask,"Revealing, artistic","Futuristic, playful","Intricate crystal detailing, vibrant colors"
1,Area,Spring 2022,Feminine,"Denim jacket, denim shorts, crystal bra","Feathered hat, crystal mask, embellished belt","Fitted, bold","Avant-garde, glamorous","Crystal embellishments, feather details"
2,Area,Spring 2022,Feminine,"Feathered top, denim pants","Crystal mask, embellished heels","Dynamic, playful","Whimsical, eclectic","Upside-down pose, sparkling details"
3,Area,Spring 2022,Feminine,"Crystal bodysuit, feathered skirt","Colorful crystal mask, statement necklace","Voluminous, striking","Extravagant, colorful","Vibrant feathers, intricate beadwork"
1,Area,Spring 2022,Feminine,"Plaid bra top, embellished pants","Butterfly headpiece, crystal choker","Fitted, dramatic","Avant-garde, ornate","Intricate embellishments, bold headpiece"
2,Area,Spring 2022,Feminine,"Plaid suit, crystal bra","Butterfly headpiece, crystal embellishments","Structured, bold","Powerful, statement",Mix of tailored and embellished elements
3,Area,Spring 2022,Feminine,"White corset top, embellished shorts","Butterfly mouthpiece, feather headpiece","Fitted, elegant","Glamorous, detailed","Feather details, intricate crystal work"
