Website,Image URL,Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Feminine,"Black sheer dress, asymmetrical design",Gray tassel scarf,"Flowy, sheer","Edgy, modern","Bold eye makeup, minimalist accessories"
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Feminine,"Black sheer dress, asymmetrical cut",Gray tassel scarf,"Flowing, sheer","Edgy, avant-garde","Sheer fabric creates a bold, modern look"
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Androgynous,"Black faux fur coat, Silver glitter pants",White lace-up shoes,"Oversized top, Slim pants","Edgy, Modern, Chic",Contrasting textures with a bold silhouette
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Feminine,"Black wool coat, Purple trousers",Embellished shoes,"Oversized, Straight","Minimalist, Chic",Dark and elegant look with a focus on structure
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Feminine,"Gray knit top, Black satin skirt",Gray structured handbag,"Slim top, Flowing skirt","Minimalist, Elegant",Classic color palette with a modern twist
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Masculine,"Black cape blazer, Gray turtleneck, Black trousers",Black shoes,"Tailored, Layered","Modern, Minimalist",Sophisticated use of layering with a cape blazer
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Feminine,"Metallic blouse, gray washed jeans",Pointed toe heels,"Relaxed top, fitted jeans","Edgy, modern",Dark eye makeup adds drama
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Masculine,"Black satin blazer, Gray hoodie, Black trousers","White clutch, Black glasses","Relaxed, Layered","Modern, Layered, Chic",Combines casual and formal elements
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Androgynous,"Black wool bomber jacket, White undershirt, Black wide-leg trousers",None,Relaxed,"Minimalist, Sleek",Monochromatic look with clean lines
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Masculine,"Black oversized coat, Black trousers","White handbag, Gray beanie","Oversized, Structured","Minimalist, Contemporary",Layered beanie adds casual touch
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,Not Provided,Aaron Esh,Fall 2024,Feminine,"Black textured blazer, Black button-up top, Black flared pants, Blue wrap-around sweater","Beige clutch, Black Mary Jane flats","Relaxed, Layered","Chic, Modern, Layered",Blue sweater adds a pop of color
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Gender Neutral,"Quilted black puffer coat, Black fitted jumpsuit",Black high-top sneakers,"Oversized, Fitted","Futuristic, Monochrome","Dramatic hooded coat, Industrial setting"
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Feminine,"Black open-back gown, long sleeves",Statement earrings,Flowing,Elegant,Sophisticated evening look
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Androgynous,"Navy oversized blazer, Navy trousers","Navy cap, Chain necklaces","Oversized, Structured","Avant-garde, Military-inspired","Strong shoulder emphasis, Dark palette"
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Feminine,"White embroidered blouse, Silver sequin skirt","Silver sequin clutch, Pearl necklace","Fitted, Elegant","Glamorous, Sophisticated",The look combines classic elegance with modern sparkle.
Vogue,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/aaron-esh,1,Aaron Esh,Fall 2024,Feminine,"Black sleeveless dress, Multicolor sheer blouse, Multicolor patterned leggings","Ear cuff, Statement ring",A-line,"Bold, Graphic, Modern",Playful use of color and pattern
