Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Feben,Spring 2024,Feminine,Blue and brown patterned bodycon dress,Blue hoop earrings,"Fitted, bodycon","Bold, graphic","Asymmetrical pattern, long sleeves"
2,Feben,Spring 2024,Feminine,"Sheer lavender blouse, lavender skirt with fringe",Gold statement earrings,"Playful, layered","Sheer, playful","Fringe detail, sheer fabric"
3,Feben,Spring 2024,Feminine,Blue ruched bodycon dress,Yellow earrings,"Fitted, ruched","Minimalist, elegant","Ruched texture, sleeveless design"
1,Feben,Spring 2024,Feminine,White sleeveless dress with yellow abstract print,Yellow earrings,"Fitted, column","Artistic, minimal","Bold print, simple silhouette"
2,Feben,Spring 2024,Feminine,Red asymmetric slip dress,Gold earrings,"Loose, fluid","Elegant, contemporary","Off-shoulder detail, vibrant color"
3,Feben,Spring 2024,Masculine,"Blue belted jacket, blue shorts",,"Structured, tailored","Modern, sporty","Bold color, casual footwear"
1,Feben,Spring 2024,Masculine,"Black coat, patterned leggings",Gold hoop earrings,"Structured, elongated","Edgy, modern","Asymmetrical shoulders, bold print leggings"
2,Feben,Spring 2024,Feminine,"White shirt, black bubble skirt",,"Voluminous, cinched","Playful, avant-garde","Contrasting textures, exaggerated silhouette"
3,Feben,Spring 2024,Feminine,Beaded mesh dress,Gold earrings,"Fitted, fringed","Glamorous, intricate","Sheer detailing, fringe movement"
1,Feben,Fall 2023,Feminine,Printed maxi dress,Platform sandals,"Flowy, relaxed","Artistic, bold",Vibrant abstract print
2,Feben,Fall 2023,Feminine,Black textured dress with asymmetrical hem,Strappy heels,"Fitted, asymmetrical","Elegant, dramatic",Textured fabric with embellishments
3,Feben,Fall 2023,Feminine,Black textured mini dress,"Beaded bag, red shoes","Fitted, voluminous","Playful, chic","Ruffled texture, bold accessories"
1,Feben,Fall 2023,Feminine,Gold and black sequin slip dress,Black knee-high boots,"A-line, fluid","Glamorous, evening","Asymmetrical hemline, shimmering texture"
2,Feben,Fall 2023,Feminine,Black ruched dress,Red pointed heels,"Fitted, ruffled","Dramatic, textured","Ruffled shoulders, button detail on leggings"
3,Feben,Fall 2023,Feminine,Multicolor printed bodycon dress,Silver platform shoes,"Bodycon, sleek","Artistic, bold","Abstract print, long sleeves"
1,Feben,Fall 2023,Feminine,"Black cropped jacket, black mini skirt",Black circular handbag,"Fitted, short","Chic, modern","Textured fabric, monochrome"
2,Feben,Fall 2023,Feminine,Blue netted dress,None,Bodycon,"Bold, avant-garde","Fringe details, sheer effect"
3,Feben,Fall 2023,Feminine,"Printed oversized tunic, blue sequin pants",None,"Loose, flowing","Artistic, eclectic","Vibrant print, mixed textures"
