Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Ohne Titel,Fall 2014,Feminine,"Black and burgundy coat, white thigh-high boots",,"Structured, layered","Edgy, modern",Mix of textures with fur and leather
2,Ohne Titel,Fall 2014,Feminine,"Black and white patterned dress, burgundy thigh-high boots",,A-line,"Graphic, bold",Striking print with high contrast
3,Ohne Titel,Fall 2014,Feminine,"Black and white patterned dress, black tights",,Fitted,"Graphic, sleek",Asymmetrical print with a modern twist
1,Ohne Titel,Fall 2014,Feminine,"Burgundy and black sweater, abstract print mini skirt, black tights",,"Fitted, layered","Edgy, modern",Textured sweater with leather details
2,Ohne Titel,Fall 2014,Feminine,"Red textured sweater, velvet mini skirt, white thigh-high boots",,"Layered, bold","Chic, statement",Contrast of textures and colors
3,Ohne Titel,Fall 2014,Feminine,"Striped turtleneck dress, black tights",Bracelet,Bodycon,"Graphic, sleek",Monochrome stripes with a modern twist
1,Ohne Titel,Fall 2014,Feminine,"Red and black patterned sweater, black pleated skirt, black tights",Gold cuff bracelet,"Fitted, layered","Edgy, modern","Bold pattern, layered textures"
2,Ohne Titel,Fall 2014,Feminine,"Red dress, black textured cardigan, black leather waist belt, black tights",,"Fitted, cinched waist","Chic, sophisticated","Textured cardigan, strong waist emphasis"
3,Ohne Titel,Fall 2014,Feminine,"Black sleeveless top with leather accents, black leather pants",,"Sleek, streamlined","Futuristic, sleek","Leather detailing, minimalist design"
1,Ohne Titel,Spring 2013,Feminine,Blue printed bodycon dress,Black and white sandals,"Fitted, bodycon","Graphic, bold","Abstract pattern, vibrant colors"
2,Ohne Titel,Spring 2013,Feminine,Blue and black color-blocked dress,Black and white sandals,"Fitted, bodycon","Color-blocked, modern","Contrasting panels, sleek design"
3,Ohne Titel,Spring 2013,Feminine,"Blue and black printed top, black pants","Black and white sandals, mesh gloves","Relaxed, tailored","Graphic, contemporary","Geometric print, casual chic"
1,Ohne Titel,Spring 2013,Feminine,Blue and black structured dress,Black and white sandals,"Fitted top, flared skirt","Graphic, modern",Bold color blocking and geometric patterns
2,Ohne Titel,Spring 2013,Feminine,"Blue and black color-blocked sweater, blue shorts",Black and white sandals,Relaxed fit,"Casual, sporty",Contrasting colors with a sporty vibe
3,Ohne Titel,Spring 2013,Feminine,Light blue striped tank dress,Black and white sandals,Flowy,"Minimalist, airy","Soft color palette with a light, breezy feel"
1,Ohne Titel,Spring 2013,Feminine,Orange and yellow patterned dress,White strappy sandals,"Fitted, short","Bold, graphic",Vibrant colors with abstract patterns
2,Ohne Titel,Spring 2013,Feminine,"Color-blocked dress in orange, yellow, and gray",White strappy sandals,"Fitted, short","Color-block, modern",Playful use of color with a sporty edge
3,Ohne Titel,Spring 2013,Feminine,"White blouse with orange stripes, matching shorts",White strappy sandals,"Relaxed, tailored","Sporty, chic",Minimalist with a hint of athletic inspiration
