Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Vaquera,Spring 2023,Feminine,"Distressed denim jacket, metallic corset, denim skirt",Navy headscarf,"Boxy, layered","Eclectic, avant-garde","Mix of textures, distressed denim"
2,Vaquera,Spring 2023,Feminine,"Crochet bikini top, distressed denim pants","Metallic studded belt, fringe bag","Relaxed, deconstructed","Bold, edgy","Statement belt, raw denim edges"
3,Vaquera,Spring 2023,Feminine,"Bomber jacket, printed leggings","Patterned headscarf, teddy bear bag","Oversized, playful","Streetwear, quirky","Graphic prints, playful accessories"
1,Vaquera,Spring 2023,Feminine,"Metallic gold cropped jacket, silver top, distressed jeans","White shoes, fringe belt","Fitted top, relaxed pants","Edgy, avant-garde","Metallic textures, distressed denim"
2,Vaquera,Spring 2023,Feminine,"Olive bomber jacket, graphic corset, brown skirt","Beret, white tights, black gloves","Layered, structured","Eclectic, streetwear","Patchwork details, mixed textures"
3,Vaquera,Spring 2023,Feminine,"Metallic gold polo, olive skirt","White tights, fringe accessory","Relaxed, asymmetrical","Futuristic, sporty","Metallic sheen, asymmetrical hem"
1,Vaquera,Spring 2023,Feminine,"Navy crop top, navy skirt","Chain belt, navy headscarf, white tights","Fitted top, asymmetrical skirt","Edgy, nautical","Mix of textures, bold accessories"
2,Vaquera,Spring 2023,Feminine,"Metallic silver top, distressed jeans","Fringe bag, white shoes",Relaxed fit,"Casual, futuristic","Metallic sheen, distressed denim"
3,Vaquera,Spring 2023,Feminine,"White sailor blouse, layered skirt","White headscarf, chain details","Voluminous top, layered skirt","Avant-garde, nautical","Sailor-inspired, mixed materials"
1,Vaquera,Fall 2022,Feminine,"Red cropped bomber jacket, red embellished bikini bottom",Red padded leg warmers,"Bold, revealing","Avant-garde, bold","Bright red color, statement piece"
2,Vaquera,Fall 2022,Feminine,"Denim cropped jacket, black full skirt, black latex leggings",None,"Structured, voluminous","Eclectic, edgy","Denim and latex contrast, hooded jacket"
3,Vaquera,Fall 2022,Feminine,Red oversized puffer coat,Red padded hat,"Oversized, cocoon","Dramatic, cozy","Monochrome red, exaggerated proportions"
1,Vaquera,Fall 2022,Feminine,"Red knit sweater, black vinyl top, baggy denim jeans",Red ribbon headpiece,"Oversized, relaxed","Eclectic, bold","Contrasting textures, statement headpiece"
2,Vaquera,Fall 2022,Feminine,"Black vinyl bodysuit, red satin skirt, black knit shrug",None,"Fitted top, flared skirt","Dramatic, avant-garde","Textured floral details, shiny materials"
3,Vaquera,Fall 2022,Feminine,"Black vinyl top, denim maxi skirt, black knit sleeves",None,"Fitted top, flowing skirt","Edgy, modern","Denim and vinyl contrast, elongated silhouette"
1,Vaquera,Fall 2022,Feminine,"Red puffer jacket, printed mini skirt","Red hat, red leg warmers","Oversized, voluminous","Bold, avant-garde","Bright red color, playful layering"
2,Vaquera,Fall 2022,Feminine,"Black oversized sweater, denim jumper",None,"Layered, relaxed","Casual, eclectic","Mix of textures, denim details"
3,Vaquera,Fall 2022,Masculine,"Printed suit, lace bralette",Heart necklace,"Tailored, fitted","Graphic, statement","Bold prints, gender-fluid styling"
