Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Prada,Fall 2023,Feminine,"Gray sweater, white embroidered skirt",White pointed heels,"Straight, fitted","Minimalist, elegant","Intricate embroidery, monochrome palette"
2,Prada,Fall 2023,Feminine,"Navy sweater, white textured skirt",White pointed heels,"Straight, fitted","Minimalist, elegant","Textured fabric, monochrome palette"
3,Prada,Fall 2023,Feminine,"Gray sweater, brown oversized coat, white mini skirt",White pointed heels,"Oversized, layered","Minimalist, chic","Layering, contrast in proportions"
1,Prada,Fall 2023,Feminine,"Brown oversized blazer, beige sweater, white floral mini skirt",White pointed heels with bows,"Oversized top, mini skirt","Layered, textured",Contrast between structured blazer and delicate skirt
2,Prada,Fall 2023,Feminine,"Brown oversized blazer, black sweater, white full skirt",White pointed heels with floral detail,"Oversized top, voluminous skirt","Classic, elegant",Textured skirt adds depth
3,Prada,Fall 2023,Feminine,"Black oversized blazer, gray sweater, white floral embellished skirt",White pointed heels,"Oversized top, embellished skirt","Dramatic, sophisticated",Floral embellishments create visual interest
1,Prada,Fall 2023,Feminine,"Olive green shirt with tie detail, black high-waisted trousers",White pointed heels,"Tailored, sleek","Minimalist, utilitarian",Epaulettes on shoulders
2,Prada,Fall 2023,Feminine,"Tan shirt with tie detail, black high-waisted trousers",White pointed heels,"Tailored, sleek","Minimalist, utilitarian",Epaulettes on shoulders
3,Prada,Fall 2023,Feminine,"Tan shirt with tie detail, matching long skirt","White pointed heels, pink handbag","Long, fitted","Minimalist, utilitarian",Epaulettes on shoulders
1,Prada,Spring 2008,Feminine,"Floral printed top, matching pants",None visible,"Fitted, tailored","Artistic, bold","Vibrant floral patterns, dark color palette"
2,Prada,Spring 2008,Feminine,"Patterned zip-up top, matching pants",None visible,"Fitted, streamlined","Geometric, sophisticated","Intricate patterns, subtle color contrast"
3,Prada,Spring 2008,Feminine,"Patterned top, matching pants",Small clutch,"Fitted, sleek","Chic, modern","Contrasting piping details, structured design"
1,Prada,Spring 2008,Feminine,"Checkered dress, striped tights",Platform heels,"Fitted, knee-length","Eclectic, bold","Contrasting patterns, vibrant colors"
2,Prada,Spring 2008,Feminine,"Patterned top, matching pants","Clutch bag, platform heels","Tailored, cropped","Retro, geometric","Coordinated set, structured shoulders"
3,Prada,Spring 2008,Feminine,"Plaid dress, striped tights",Platform heels,"Fitted, knee-length","Playful, colorful","Mix of patterns, puffed sleeves"
