Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Vionnet,Spring 2014,Feminine,"Light blue sleeveless dress, cinched waist",Silver platform sandals,"Structured, A-line","Minimalist, elegant","Pleated details, crisp collar"
2,Vionnet,Spring 2014,Feminine,"Light blue shirt, draped skirt",Silver platform sandals,"Fitted, draped","Sophisticated, modern","Asymmetrical draping, soft textures"
3,Vionnet,Spring 2014,Feminine,"Navy halter dress, cinched waist",Silver platform sandals,"Flowing, elongated","Chic, timeless","High neckline, sleek silhouette"
1,Vionnet,Spring 2014,Feminine,Navy sheer draped dress,,"Flowy, ethereal","Elegant, sheer","Layered sheer fabric, minimal accessories"
2,Vionnet,Spring 2014,Feminine,"Navy blazer, sheer pants","Blue and beige handbag, choker","Structured, layered","Chic, modern","Contrasting textures, bold accessory"
3,Vionnet,Spring 2014,Feminine,"Light blue asymmetric top, black wide-leg pants",,"Tailored, relaxed","Sophisticated, contemporary","Asymmetric draping, high-waisted pants"
1,Vionnet,Spring 2014,Feminine,"Light blue cropped blouse, navy high-waisted pants",Silver platform sandals,"Fitted top, voluminous pants","Chic, modern",Structured top with draped pants
2,Vionnet,Spring 2014,Feminine,"Light blue tailored blazer dress, sheer overlay",Silver platform sandals,"Fitted, asymmetrical","Elegant, sophisticated",Blazer dress with sheer detail
3,Vionnet,Spring 2014,Feminine,Navy and white geometric dress,Silver platform sandals,"Structured, fitted","Contemporary, artistic",Geometric pattern with bold contrast
1,Vionnet,Fall 2007,Feminine,Black leather coat,Black belt,"Tailored, knee-length","Chic, elegant","Structured shoulders, sleek finish"
2,Vionnet,Fall 2007,Feminine,"Black satin blazer, black wide-leg pants",Black belt,"Relaxed, elongated","Sophisticated, modern","Sheen fabric, casual elegance"
3,Vionnet,Fall 2007,Feminine,Black coat with fur collar,Black belt,"A-line, knee-length","Classic, luxurious","Dramatic collar, textured fabric"
1,Vionnet,Fall 2007,Feminine,"Beige blouse, ombre skirt",Black belt,"Fitted, elegant","Chic, sophisticated","High neckline, buttoned sleeves"
2,Vionnet,Fall 2007,Feminine,Black sleeveless dress,None,"Slim, tailored","Modern, sleek","Textured pattern, knee-length"
3,Vionnet,Fall 2007,Feminine,"Black textured coat, leather skirt",None,"Oversized, voluminous","Avant-garde, dramatic","Textured fabric, open front"
1,Vionnet,Fall 2007,Feminine,"Black cape, black dress",Black peep-toe heels,"A-line, voluminous","Elegant, dramatic","Glossy texture, high collar"
2,Vionnet,Fall 2007,Feminine,"Black short-sleeve top, navy pleated skirt",Black heels,"Balloon, fitted","Chic, modern","Sheer top, structured skirt"
3,Vionnet,Fall 2007,Feminine,Gray coat,Black heels,"A-line, loose","Classic, sophisticated","Soft fabric, gathered neckline"
