Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Barbara Bui,Spring 2012,Feminine,"Fringe jacket, sheer top, white trousers",Black sandals,"Relaxed, flowing","Chic, modern",Monochrome with fringe detail
2,Barbara Bui,Spring 2012,Feminine,"Black and yellow vest, white dress",Yellow and white sandals,"Layered, loose","Bold, graphic",Color-blocking with deep V-neck
3,Barbara Bui,Spring 2012,Feminine,"White textured top, fringe mini skirt",Yellow and white sandals,"Boxy, playful","Minimalist, fresh",Textured elements with bright accents
1,Barbara Bui,Spring 2012,Feminine,"White zip-up jacket, white trousers","Multicolor snakeskin bag, yellow sandals","Tailored, sleek","Chic, modern",Monochrome with a pop of color
2,Barbara Bui,Spring 2012,Feminine,"White sleeveless jacket, white dress",Yellow sandals,"Flowy, layered","Effortless, airy",Light layers with movement
3,Barbara Bui,Spring 2012,Feminine,"Black and yellow deep V top, black trousers",Yellow sandals,"Relaxed, draped","Bold, contemporary",Color contrast with relaxed fit
1,Barbara Bui,Spring 2012,Feminine,"White fringe jacket, sheer white dress",Orange and white ankle-strap sandals,"Flowy, layered","Ethereal, modern","Textured fringe, sheer layering"
2,Barbara Bui,Spring 2012,Feminine,"Black one-shoulder top, black skirt",Snakeskin ankle-strap sandals,"Asymmetrical, relaxed","Chic, contemporary","Bold color contrast, asymmetrical neckline"
3,Barbara Bui,Spring 2012,Feminine,White sleeveless dress,Green and white ankle-strap sandals,"Fluid, airy","Minimalist, elegant","Delicate pleating, subtle embellishments"
1,Barbara Bui,Spring 2017,Feminine,"Black satin top, black mini skirt, black and white fur coat",Black clutch,"Slim, layered","Chic, edgy","Contrasting textures, monochrome palette"
2,Barbara Bui,Spring 2017,Feminine,"Navy sequin blazer, navy sequin crop top, navy sequin pants",Yellow pointed shoes,"Tailored, sleek","Glamorous, modern","High shine, bold footwear"
3,Barbara Bui,Spring 2017,Feminine,"Blue asymmetrical top, mustard patent leather mini skirt",Two-tone shoes,"A-line, asymmetrical","Playful, vibrant","Color blocking, shiny textures"
1,Barbara Bui,Spring 2017,Feminine,"Navy satin jacket, mustard crop top, navy satin pants",,"Relaxed, sporty","Athleisure, modern","Mix of textures, casual elegance"
2,Barbara Bui,Spring 2017,Feminine,One-shoulder mini dress in mustard and pink,Pink clutch,"Fitted, sleek","Color-block, bold","Playful color contrast, minimal accessories"
3,Barbara Bui,Spring 2017,Feminine,"Mustard patent leather jacket, matching top and pants",Black belt,"Tailored, sharp","Monochrome, edgy","High-shine finish, cohesive look"
1,Barbara Bui,Spring 2017,Feminine,"Neon crop top, black trousers, navy jacket",Black belt,"Relaxed, asymmetric","Edgy, modern","Neon accents, asymmetric jacket drape"
2,Barbara Bui,Spring 2017,Feminine,"Mustard vinyl crop top, mini skirt, fur jacket",Yellow and black shoes,"Fitted, bold","Futuristic, bold","Vinyl texture, vibrant color blocking"
3,Barbara Bui,Spring 2017,Feminine,"Mustard vinyl top, vinyl pants",Tan belt bag,"Straight, sleek","Sleek, contemporary","Monochrome vinyl look, utility-inspired accessory"
1,Barbara Bui,Fall 2015,Feminine,"Navy coat, navy dress",Black belt,"Flowy, structured","Chic, elegant","Deep neckline, high slit"
2,Barbara Bui,Fall 2015,Feminine,"Black blazer, velvet pants",None,"Tailored, sleek","Sophisticated, modern","Velvet texture, sharp lapels"
3,Barbara Bui,Fall 2015,Feminine,"Velvet vest, sheer skirt",Black crossbody bag,"Relaxed, fluid","Casual, contemporary","Layered look, minimalist design"
1,Barbara Bui,Fall 2015,Feminine,"Navy sleeveless gown, black belt",None,"Flowy, A-line","Elegant, modern","Deep V-neck, high slit"
2,Barbara Bui,Fall 2015,Feminine,"White tailored suit, striped coat",Chain strap bag,"Structured, tailored","Chic, sophisticated","Monochrome layering, sharp tailoring"
3,Barbara Bui,Fall 2015,Feminine,"Black puffer vest, black pants",Black belt,"Boxy, layered","Edgy, urban","Shiny texture, casual layering"
1,Barbara Bui,Fall 2015,Feminine,Black asymmetric blazer dress,Black ankle boots,"Fitted, asymmetric","Chic, modern",Minimalist design with sharp angles
2,Barbara Bui,Fall 2015,Feminine,"Black coat, white pants, black zip-up top",Black ankle boots,"Layered, tailored","Sophisticated, monochrome",Contrasting black and white palette
3,Barbara Bui,Fall 2015,Feminine,"Black coat, white shirt, black vinyl skirt",Black ankle boots,"Structured, sleek","Edgy, contemporary",Glossy texture adds contrast
