Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Sonia Rykiel,Fall 2016,Feminine,"Red plaid coat with fur collar, black sheer dress",Gold earrings,"Long, layered","Chic, elegant","Rich textures, bold fur accent"
2,Sonia Rykiel,Fall 2016,Feminine,"Red plaid suit, black blouse",Statement earrings,"Tailored, relaxed","Sophisticated, classic","Plaid pattern, structured jacket"
3,Sonia Rykiel,Fall 2016,Feminine,"Brown plaid cropped jacket, matching trousers, nude blouse",None visible,"Cropped, wide-leg","Retro, modern","Cropped silhouette, vintage-inspired"
1,Sonia Rykiel,Fall 2016,Feminine,"Red textured jacket, satin blouse, leather skirt","Red clutch, belt","Structured, layered","Elegant, bold","Rich textures, deep red tones"
2,Sonia Rykiel,Fall 2016,Feminine,Red ruffled dress,Black belt,"Flowy, tiered","Romantic, vibrant","Bright red, ruffle details"
3,Sonia Rykiel,Fall 2016,Feminine,"Striped knit top, striped knit skirt",Black clutch,"Fitted, layered","Chic, modern","Contrasting stripes, sleek fit"
1,Sonia Rykiel,Fall 2016,Feminine,"Black dress with white collar, red and black striped tights",Black belt bag,A-line,"Playful, eclectic","Bold stripes, contrast collar"
2,Sonia Rykiel,Fall 2016,Feminine,"Red and black striped dress, red scarf",Gold buttons,Fitted,"Chic, nautical","Double-breasted, scarf detail"
3,Sonia Rykiel,Fall 2016,Feminine,"Navy striped coat with textured sleeves, navy pants",Gold buttons,Layered,"Sophisticated, textured","Textured sleeves, tonal layering"
1,Sonia Rykiel,Fall 2014,Feminine,"Camel knit dress, fur coat",Platform sandals,"Layered, voluminous","Cozy, luxurious","Textured fur, neutral tones"
2,Sonia Rykiel,Fall 2014,Feminine,"Camel knit dress, long cardigan",Platform sandals,"Relaxed, draped","Effortless, chic","Contrasting collar, knit texture"
3,Sonia Rykiel,Fall 2014,Feminine,"Camel knit dress, fur coat, scarf",Platform sandals,"Layered, voluminous","Cozy, sophisticated","Textured fur, matching scarf"
1,Sonia Rykiel,Fall 2014,Feminine,"White draped dress, brown fur coat, white pants",Platform sandals,"Oversized, layered","Luxurious, cozy","Rich textures, neutral palette"
2,Sonia Rykiel,Fall 2014,Feminine,"White textured sweater, white pants",Platform sandals,"Relaxed, layered","Textured, monochrome","Soft knitwear, oversized scarf"
3,Sonia Rykiel,Fall 2014,Feminine,"White textured dress, beige fur vest",Platform sandals,"Straight, layered","Chic, elegant","Textured fabrics, neutral tones"
1,Sonia Rykiel,Fall 2014,Feminine,"White textured sweater, white collared shirt, white trousers",White platform sandals,"Relaxed, oversized","Cozy, monochrome","Textured knit, tonal layering"
2,Sonia Rykiel,Fall 2014,Feminine,"Camel coat, camel shirt, white trousers",White platform sandals,"Straight, longline","Minimalist, classic","Neutral palette, clean lines"
3,Sonia Rykiel,Fall 2014,Feminine,"Camel sleeveless coat, camel trousers",Metallic platform sandals,"Tailored, layered","Chic, modern","Double-breasted, sleek tailoring"
1,Sonia Rykiel,Fall 2007,Feminine,Gray textured strapless dress,"Wide-brimmed hat, long gloves, earrings, black boots","Voluminous, cocoon","Elegant, textured","Large bow detail, draped fabric"
2,Sonia Rykiel,Fall 2007,Feminine,Gray layered knit ensemble,"Headpiece with fabric roses, black boots","Layered, sculptural","Avant-garde, cozy","Textured knit, floral accents"
3,Sonia Rykiel,Fall 2007,Feminine,"Gray knit wrap top, gray trousers","Wide-brimmed hat, long gloves, black boots","Relaxed, draped","Chic, layered","Asymmetrical wrap, oversized knit"
1,Sonia Rykiel,Fall 2007,Feminine,Gray draped dress,"Wide-brimmed hat, large pearl necklace","Loose, draped","Elegant, vintage-inspired",Soft fabric with a cinched waist
2,Sonia Rykiel,Fall 2007,Feminine,Red oversized knit cape,Red floral headpiece,"Voluminous, oversized","Bold, statement",Textured knit with large bow detail
3,Sonia Rykiel,Fall 2007,Feminine,Red deep V-neck dress,Long gray gloves,"Fitted, draped","Chic, romantic",Floral embellishments on shoulders
1,Sonia Rykiel,Fall 2007,Feminine,"Gray coat dress, tights","Gray gloves, floral headpiece","Draped, fitted","Elegant, monochrome","Soft draping, tonal styling"
2,Sonia Rykiel,Fall 2007,Feminine,"Gray belted coat, tights","Bow headpiece, fur stole, black boots","A-line, layered","Chic, playful","Fur accents, bold headpiece"
3,Sonia Rykiel,Fall 2007,Feminine,"Gray belted coat, tights","Wide-brim hat, gloves, brown shoes","Structured, tailored","Sophisticated, classic","Defined waist, contrasting footwear"
