Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Louise Goldin,Fall 2008,Feminine,"Black structured dress, blue sleeve detail",Patterned ankle boots,"Fitted, structured","Futuristic, edgy","Geometric paneling, strong shoulders"
2,Louise Goldin,Fall 2008,Feminine,Gray and black geometric dress,Black tights,"A-line, structured","Graphic, modern","Bold patterns, strong shoulders"
3,Louise Goldin,Fall 2008,Feminine,Gray dress with black detailing,Black tights,"Boxy, structured","Innovative, architectural","Padded shoulders, pocket details"
1,Louise Goldin,Fall 2008,Feminine,"Black and gray geometric dress, black tights",Black heels,"A-line, structured","Futuristic, graphic","Bold geometric patterns, structured shoulders"
2,Louise Goldin,Fall 2008,Feminine,"Gray geometric hoodie, black pants",Patterned ankle boots,"Oversized, relaxed","Casual, modern","Hooded top with geometric design, relaxed fit"
3,Louise Goldin,Fall 2008,Feminine,"Black and gray structured dress, black tights",Patterned ankle boots,"A-line, structured","Futuristic, graphic","Strong shoulder details, bold patterns"
1,Louise Goldin,Fall 2008,Feminine,"Blue textured top, black and white patterned skirt","Gray tights, black heels","Fitted top, voluminous skirt","Futuristic, textured","Geometric patterns, structured knitwear"
2,Louise Goldin,Fall 2008,Feminine,"Blue and black knit dress, orange turtleneck","Black tights, black heels",A-line,"Futuristic, color-blocked","Bold color contrasts, structured knitwear"
3,Louise Goldin,Fall 2008,Feminine,Black and beige bodysuit,Black heels,Bodycon,"Futuristic, sleek","Contour lines, form-fitting design"
1,Louise Goldin,Fall 2010,Feminine,"Black structured jacket, metallic leggings",Wide belt,"Hourglass, structured","Futuristic, edgy","Embellished shoulders, metallic textures"
2,Louise Goldin,Fall 2010,Feminine,"Black textured top, black mini skirt",Wide belt,"Hourglass, structured","Minimalist, sleek","Strong shoulders, monochrome"
3,Louise Goldin,Fall 2010,Feminine,"Black sculptural dress, red underlayer",,"A-line, voluminous","Avant-garde, architectural","Layered textures, bold silhouette"
1,Louise Goldin,Fall 2010,Feminine,"Black textured dress, red sequined shorts, black leggings",Black ankle boots,"Structured, peplum","Futuristic, edgy","Quilted texture, leather accents"
2,Louise Goldin,Fall 2010,Feminine,"Black textured dress, asymmetrical skirt, black leggings",Black ankle boots,"Structured, asymmetrical","Futuristic, avant-garde","Quilted texture, leather belt"
3,Louise Goldin,Fall 2010,Feminine,"Black dress with geometric patterns, black leggings",Black ankle boots,"Structured, geometric","Futuristic, architectural","Bold patterns, strong lines"
1,Louise Goldin,Fall 2010,Feminine,"Black structured dress, blue underlayer, black tights",Wide belt,"Fitted, angular","Futuristic, edgy","Strong shoulder details, metallic accents"
2,Louise Goldin,Fall 2010,Feminine,"Black structured dress, blue sequin shorts, black tights",,"Fitted, sculptural","Futuristic, bold","Textured fabric, exaggerated hips"
3,Louise Goldin,Fall 2010,Feminine,"Black structured dress with armor-like top, red underlayer, black tights",,"Fitted, architectural","Futuristic, avant-garde","Armor-inspired top, structured silhouette"
1,Louise Goldin,Spring 2010,Feminine,Black mini dress with ruffle details,Black ankle boots with spikes,A-line,"Playful, edgy","Sheer fabric, textured details"
2,Louise Goldin,Spring 2010,Feminine,"Black sheer top with structured embellishments, black leather shorts",Black ankle boots with spikes,Boxy,"Futuristic, bold","Mesh fabric, geometric shapes"
3,Louise Goldin,Spring 2010,Feminine,White and black ruffled mini dress,Black ankle boots with spikes,Asymmetrical,"Romantic, avant-garde","Layered ruffles, contrast trim"
1,Louise Goldin,Spring 2010,Feminine,"Gold sheer top, structured mini skirt","Black ankle socks, black pointed shoes","Fitted, sculptural","Futuristic, avant-garde","Metallic sheen, architectural lines"
2,Louise Goldin,Spring 2010,Feminine,"Lilac sheer top, pleated mini skirt","Black ankle socks, black pointed shoes","Fitted, sculptural","Futuristic, avant-garde","Textured bust detail, layered skirt"
3,Louise Goldin,Spring 2010,Feminine,Blue structured dress with pleats,"Gold ankle socks, glitter heels","Fitted, sculptural","Futuristic, avant-garde","Layered pleats, geometric cutouts"
1,Louise Goldin,Spring 2010,Feminine,"Gold metallic top, blue pleated mini skirt","Gold socks, gold pointed heels","Fitted top, flared skirt","Futuristic, metallic",Structured bust detail
2,Louise Goldin,Spring 2010,Feminine,"Blue structured top, sheer sleeves, blue bubble shorts","Gold socks, gold pointed heels","Structured top, voluminous shorts","Architectural, layered",Pleated and textured detailing
3,Louise Goldin,Spring 2010,Feminine,"Cream structured top, cream bubble shorts","Gold socks, gold pointed heels","Structured top, voluminous shorts","Monochrome, futuristic","Layered textures, corset-like top"
