Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Akris,Spring 2009,Feminine,White grid-patterned dress,White open-toe heels,"Straight, knee-length","Minimalist, modern","Sheer grid pattern, structured shoulders"
2,Akris,Spring 2009,Feminine,"White coat, white pants",White open-toe heels,"Long, tailored","Minimalist, sleek","Monochrome, clean lines"
3,Akris,Spring 2009,Feminine,"White sleeveless blazer, white pants",White open-toe heels,"Slim, elongated","Minimalist, contemporary","Deep V-neck, sheer sleeves"
1,Akris,Spring 2009,Feminine,"White deep V-neck top, sheer striped skirt",White open-toe heels,"Fitted, sheer","Minimalist, modern","Geometric pattern, clean lines"
2,Akris,Spring 2009,Feminine,White pleated dress with deep V-neck,White open-toe heels,"Flowy, pleated","Elegant, airy","Zigzag neckline, sheer fabric"
3,Akris,Spring 2009,Feminine,"White blazer, white V-neck top, white trousers",White open-toe heels,"Tailored, sleek","Chic, sophisticated","Monochrome look, structured tailoring"
1,Akris,Spring 2009,Feminine,White pleated dress,White open-toe booties,"A-line, relaxed","Minimalist, elegant","Subtle pleating, clean lines"
2,Akris,Spring 2009,Feminine,Nude deep V-neck dress,Nude open-toe booties,"Fitted, sleek","Chic, modern","Sheer hem detail, plunging neckline"
3,Akris,Spring 2009,Feminine,"Beige deep V-neck top, sheer jacket, wide-leg pants",,"Flowy, layered","Sophisticated, airy","Sheer layering, tonal palette"
1,Akris,Fall 2012,Feminine,"Green patterned jumpsuit, black vest",Black handbag,"Fitted, layered","Modern, geometric","Contrasting textures, structured shoulders"
2,Akris,Fall 2012,Feminine,"Black fur jacket, striped skirt",Black handbag,"A-line, layered","Chic, elegant","Rich textures, bold stripes"
3,Akris,Fall 2012,Feminine,"Patterned turtleneck, tan wide-leg trousers",Tan handbag,"Relaxed, flowing","Sophisticated, casual","Soft color palette, relaxed fit"
1,Akris,Fall 2012,Feminine,"Color-blocked asymmetrical dress, over-the-knee boots",,"Straight, fitted","Modern, minimal","Geometric color blocking, sleek lines"
2,Akris,Fall 2012,Feminine,"Yellow geometric jacket, matching wide-leg trousers",,"Relaxed, tailored","Contemporary, chic","Subtle geometric patterns, soft tailoring"
3,Akris,Fall 2012,Feminine,"Yellow geometric dress, ankle boots",,"Straight, tailored","Modern, sophisticated","Geometric color patterns, structured fit"
1,Akris,Spring 2012,Feminine,"Green hooded coat, green dress",Green bag,"A-line, layered","Sporty, chic","Monochrome green, casual elegance"
2,Akris,Spring 2012,Feminine,Gray and yellow color-block dress,,"Straight, fitted","Modern, artistic","Graphic print, bold color contrast"
3,Akris,Spring 2012,Feminine,"Green sleeveless top, green wide-leg pants",,"Relaxed, flowing","Minimalist, sleek","Monochrome green, deep V-neck"
1,Akris,Spring 2012,Feminine,Light blue sleeveless dress with print,Beige platform shoes,"Straight, fitted","Minimalist, elegant",Subtle print detail at waist
2,Akris,Spring 2012,Feminine,Green short-sleeve dress,"Green tote bag, beige platform shoes","Straight, relaxed","Chic, vibrant",Monochrome look with matching bag
3,Akris,Spring 2012,Feminine,Striped sleeveless dress with green accents,White strappy heels,"Straight, fitted","Graphic, modern",Horizontal stripes with green car motif
1,Akris,Spring 2012,Feminine,"Beige button-up blouse, beige trousers",Beige platform shoes,"Slim, tailored","Minimalist, elegant",Monochrome look with subtle detailing
2,Akris,Spring 2012,Feminine,Sheer beige hooded dress,Beige platform shoes,"Straight, relaxed","Futuristic, sleek",Sheer fabric with zipper details
3,Akris,Spring 2012,Feminine,"White sleeveless top, white trousers",White platform shoes,"Slim, structured","Chic, modern",Clean lines with a monochrome palette
