Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Trademark,Fall 2016,Feminine,"Beige fringe jacket, mustard sweater, tan trousers",Red gloves,"Straight, relaxed","Casual, retro","Fringe details, bold gloves"
2,Trademark,Fall 2016,Feminine,Navy quilted coat,Geometric earrings,"A-line, belted","Modern, geometric","Quilted pattern, statement earrings"
3,Trademark,Fall 2016,Feminine,"Camel shearling coat, white wide-leg pants",Brown shoulder bag,"Oversized, cozy","Vintage, classic","Shearling texture, wide-leg silhouette"
1,Trademark,Fall 2016,Feminine,White ruffled dress,Red mules,A-line,"Romantic, vintage-inspired",Features ruffled details and bell sleeves
2,Trademark,Fall 2016,Feminine,"Light blue ruffled blouse, pink pants",Star-shaped earrings,Fitted,"Playful, eclectic",Mix of textures with smocked details
3,Trademark,Fall 2016,Feminine,"Orange coat, pleated skirt",Black cut-out bag,Oversized,"Bold, contemporary",Vibrant color palette with structured outerwear
1,Trademark,Fall 2016,Feminine,"Light blue blouse, black asymmetrical dress",Silver earrings,A-line,Modern,Asymmetrical design
2,Trademark,Fall 2016,Feminine,"Camel trench coat, red sweater",Silver bag,Longline,Classic,Layered look
3,Trademark,Fall 2016,Feminine,"Black jacket, blue striped pants",Brown woven bag,Flared,Eclectic,Textured fabrics
1,Trademark,Fall 2014,Feminine,"Blue oversized coat, white shirt, black trousers","Red handbag, black loafers, headband","Structured, oversized","Chic, bold","Contrasting colors, minimalist"
2,Trademark,Fall 2014,Feminine,"Navy coat, red and navy sweater, blue skirt","Red shoes, headband, necklace","Layered, relaxed","Casual, preppy","Color blocking, knitwear"
3,Trademark,Fall 2014,Feminine,"Navy coat, gray sweater, red vest, green trousers","Red shoes, headband, necklace, small bag","Layered, tailored","Eclectic, modern","Mix of textures, bold colors"
1,Trademark,Fall 2014,Feminine,"Teal coat, red turtleneck, navy dress","Red flats, teal clutch","Structured, tailored","Color-blocking, modern","Contrasting colors, minimalist"
2,Trademark,Fall 2014,Feminine,"Blue and red striped sweater, white trousers",Brown belt,"Fitted, casual","Striped, casual","Playful stripes, relaxed fit"
3,Trademark,Fall 2014,Feminine,"Red and navy patterned sweater, navy skirt","Navy hat, black handbag","Relaxed, layered","Cozy, chic","Bold patterns, winter-ready"
1,Trademark,Fall 2014,Feminine,"Blue coat, white turtleneck, blue pants","Blue handbag, black headband","Straight, relaxed","Casual, chic",Monochrome blue tones
2,Trademark,Fall 2014,Feminine,"White coat, plaid shirt, navy quilted jacket, white pants","Black headband, black bag","Tailored, layered","Preppy, classic","Plaid accents, mix of textures"
3,Trademark,Fall 2014,Feminine,"Brown coat, plaid skirt","White scarf, black headband","A-line, structured","Traditional, cozy","Tartan pattern, oversized scarf"
