Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Gabriele Colangelo,Spring 2010,Feminine,White mini dress with puff sleeves,Gold wedge sandals,"Straight, minimal","Minimalist, clean",Focus on sleeve volume
2,Gabriele Colangelo,Spring 2010,Feminine,"White blazer, gray tank top, white shorts",Metallic strappy sandals,"Tailored, relaxed","Chic, sophisticated",Monochrome layering
3,Gabriele Colangelo,Spring 2010,Feminine,White asymmetrical mini dress,Gold wedge sandals,"Straight, minimal","Elegant, modern",Asymmetrical shoulder detail
1,Gabriele Colangelo,Spring 2010,Feminine,White draped mini dress,Metallic strappy sandals,"Fitted, draped","Minimalist, elegant",Asymmetrical draping
2,Gabriele Colangelo,Spring 2010,Feminine,White sleeveless sheath dress,Metallic strappy sandals,"Straight, sleek","Minimalist, chic","Clean lines, simple elegance"
3,Gabriele Colangelo,Spring 2010,Feminine,"Beige blazer with satin detail, beige mini skirt",Silver strappy sandals,"Structured, tailored","Modern, sophisticated","Satin lapel detail, monochrome look"
1,Gabriele Colangelo,Spring 2010,Feminine,Beige sleeveless dress,Black and beige strappy sandals,"A-line, draped","Minimalist, elegant","V-neckline, subtle draping"
2,Gabriele Colangelo,Spring 2010,Feminine,"Metallic top, beige shorts",Silver ankle-strap sandals,"Relaxed, straight","Casual, chic","Metallic texture, pocket detail"
3,Gabriele Colangelo,Spring 2010,Feminine,"Gray jacket, metallic pants, gray top",Silver strappy sandals,"Slim, tailored","Modern, sophisticated","Metallic sheen, layered look"
1,Gabriele Colangelo,Fall 2015,Feminine,Navy asymmetrical dress,,"Straight, minimalist","Modern, sleek","Minimal embellishments, focus on silhouette"
2,Gabriele Colangelo,Fall 2015,Feminine,Navy sleeveless dress with asymmetrical overlay,,"Straight, layered","Contemporary, geometric","Circular accents, layered textures"
3,Gabriele Colangelo,Fall 2015,Feminine,Pink V-neck dress over navy base,Bracelet,"Straight, layered","Bold, color-blocked",Contrast between vibrant pink and dark navy
1,Gabriele Colangelo,Fall 2015,Feminine,"Magenta coat, purple sweater, black pants",,"Long, tailored","Bold, layered","Textured fabric, vibrant color"
2,Gabriele Colangelo,Fall 2015,Feminine,"Magenta sleeveless top, black pants with red stripe",,"Loose, flowing","Minimalist, modern","Asymmetrical top, contrast stripe"
3,Gabriele Colangelo,Fall 2015,Feminine,"Purple sweater, magenta skirt","Tan bag, brown boots","Fitted top, A-line skirt","Chic, contemporary","Textured knit, structured skirt"
1,Gabriele Colangelo,Fall 2015,Feminine,Black sleeveless dress,Brown ankle boots,"Asymmetrical, layered","Minimalist, modern","Geometric paneling, metallic accents"
2,Gabriele Colangelo,Fall 2015,Feminine,"Black coat, black pants",Red ankle boots,"Long, sleek","Minimalist, modern","Subtle detailing, contrast boots"
3,Gabriele Colangelo,Fall 2015,Feminine,"Black and white knit dress, black pants",Black tote bag,"Fitted, layered","Textured, modern","Intricate knit pattern, layered styling"
1,Gabriele Colangelo,Spring 2015,Feminine,"White sleeveless coat, white trousers",None,"Layered, flowing","Minimalist, elegant","Asymmetrical layering, clean lines"
2,Gabriele Colangelo,Spring 2015,Feminine,"White blazer, white skirt, white shirt",White shoes,"Tailored, structured","Chic, professional","Contrasting black detail, sharp tailoring"
3,Gabriele Colangelo,Spring 2015,Feminine,White lace dress,"Black and white handbag, white sandals","A-line, loose","Delicate, airy","Textured lace, relaxed fit"
1,Gabriele Colangelo,Spring 2015,Feminine,"White short-sleeve coat dress, white shirt",None,"A-line, relaxed","Minimalist, clean","Textured pockets, monochrome"
2,Gabriele Colangelo,Spring 2015,Feminine,"White sleeveless long vest, white dress","Black and white tote bag, white bangle","Straight, flowing","Modern, sleek","Layered look, metallic shoes"
3,Gabriele Colangelo,Spring 2015,Feminine,"White lace overlay dress, white pants",None,"Loose, layered","Textured, ethereal",Intricate lace detailing
1,Gabriele Colangelo,Spring 2015,Feminine,"White asymmetrical shirt, white mesh pants",None,"Straight, relaxed","Minimalist, modern","Asymmetrical detailing, sheer elements"
2,Gabriele Colangelo,Spring 2015,Feminine,White strapless dress,None,A-line,"Minimalist, elegant","Draped front, clean lines"
3,Gabriele Colangelo,Spring 2015,Feminine,White and metallic striped sleeveless dress,Silver strappy flats,"Straight, relaxed","Textured, modern","Metallic accents, knit texture"
