Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Andrea Pompilio,Spring 2021,Masculine,"Brown blazer, matching shorts","White scarf, sunglasses","Tailored, relaxed","Casual, chic","Shorts suit, monochrome"
2,Andrea Pompilio,Spring 2021,Masculine,Brown double-breasted coat,Sunglasses,"Boxy, oversized","Retro, modern","Contrasting collar, casual footwear"
3,Andrea Pompilio,Spring 2021,Masculine,"Checked jacket, matching shorts","White scarf, sunglasses","Tailored, relaxed","Casual, chic","Patterned suit, open shirt"
1,Andrea Pompilio,Spring 2021,Masculine,"Checked jacket, light blue shirt, navy cropped trousers","Green sunglasses, brown sandals","Relaxed, cropped","Casual, retro","Mix of textures, earthy tones"
2,Andrea Pompilio,Spring 2021,Feminine,"Sheer blouse, cream vest, olive skirt","Large tote bag, brown sandals","Asymmetrical, layered","Modern, utilitarian","Sheer layering, neutral palette"
3,Andrea Pompilio,Spring 2021,Masculine,"Blue blazer, light blue shirt, olive shorts",Brown sandals,"Boxy, tailored","Smart casual, contemporary","Structured blazer, contrast shorts"
1,Andrea Pompilio,Spring 2021,Masculine,"Peach shirt, checked shorts","Large tote bag, sunglasses","Relaxed, casual","Layered, eclectic",Mix of textures and patterns
2,Andrea Pompilio,Spring 2021,Masculine,"Beige jacket, blue shorts",Large tote bag,"Structured, casual","Utility, modern",Neutral tones with functional elements
3,Andrea Pompilio,Spring 2021,Masculine,"Blue shirt, sheer overlay",Sunglasses,"Layered, flowing","Romantic, avant-garde",Play with transparency and layering
1,Andrea Pompilio,Spring 2021,Masculine,"Light blue short-sleeve shirt, plaid shorts","Sunglasses, brown belt, brown sandals","Relaxed, casual","Retro, summer",Classic summer look with a vintage touch
2,Andrea Pompilio,Spring 2021,Feminine,"Navy sleeveless trench coat, white blouse","Sunglasses, brown platform sandals","A-line, flowing","Chic, contemporary",Layered look with a modern twist
3,Andrea Pompilio,Spring 2021,Masculine,"Blue knit sweater, navy trousers",Brown sandals,"Relaxed, sporty","Casual, sporty",Comfortable and stylish with a sporty edge
1,Andrea Pompilio,Spring 2021,Feminine,"Polo shirt, plaid skirt","Sunglasses, platform sandals","Relaxed, casual","Retro, sporty",Embroidered logo on shirt
2,Andrea Pompilio,Spring 2021,Masculine,"Striped polo shirt, shorts","Belt, platform shoes","Casual, youthful","Sporty, laid-back",Contrasting collar detail
3,Andrea Pompilio,Spring 2021,Feminine,"Checked blazer, checked skirt",Platform sandals,"Oversized, structured","Classic, modern",Layered with sheer top
1,Andrea Pompilio,Spring 2021,Masculine,"Checked blazer, light green shirt, navy trousers",Brown sandals,"Relaxed, oversized","Casual, vintage-inspired","Mix of patterns, earthy tones"
2,Andrea Pompilio,Spring 2021,Feminine,"Tan double-breasted coat, shorts","White bag, sunglasses, light blue scarf, brown socks, platform sandals","Boxy, structured","Chic, utilitarian","Monochrome look, oversized accessories"
3,Andrea Pompilio,Spring 2021,Masculine,"Navy double-breasted coat, matching trousers","Brown sandals, brown socks","Boxy, oversized","Minimalist, classic","Monochrome, subtle detailing"
1,Andrea Pompilio,Spring 2021,Feminine,"Sheer blouse, embroidered skirt","Large tote bag, sunglasses","A-line, flowy","Eclectic, bold","Sheer layering, vibrant embroidery"
2,Andrea Pompilio,Spring 2021,Masculine,"Green double-breasted coat, navy trousers",Sunglasses,"Structured, tailored","Classic, sophisticated","Contrasting collar, formal layering"
3,Andrea Pompilio,Spring 2021,Masculine,"Striped sweater, brown shorts",None,"Relaxed, casual","Casual, retro","Colorful stripes, laid-back vibe"
1,Andrea Pompilio,Spring 2021,Feminine,"Black jacket, printed blouse, gray skirt","Sunglasses, scarf","Tailored, layered","Eclectic, vintage-inspired","Mix of textures, neutral tones"
2,Andrea Pompilio,Spring 2021,Masculine,"Black jacket, striped shirt, plaid pants","Sunglasses, belt","Relaxed, tailored","Casual, retro","Pattern mixing, classic elements"
3,Andrea Pompilio,Spring 2021,Feminine,"Light blue parka, lace bralette",Sunglasses,"Oversized, cinched","Sporty, romantic","Contrasting styles, soft colors"
1,Andrea Pompilio,Spring 2021,Masculine,"Green parka, light blue shirt, navy shorts","Beige socks, beige platform shoes","Relaxed, layered","Casual, utilitarian","Drawstring details, light layering"
2,Andrea Pompilio,Spring 2021,Feminine,"Brown double-breasted coat, sheer skirt","Green sunglasses, white scarf, white bag","Structured, layered","Chic, modern","Contrasting textures, bold accessories"
3,Andrea Pompilio,Spring 2021,Masculine,"Teal short-sleeve shirt, brown wide-leg pants","Brown belt, beige socks, beige platform shoes","Relaxed, casual","Effortless, contemporary","Cuffed pants, tonal contrast"
1,Andrea Pompilio,Spring 2021,Feminine,"Light blue shirt, printed bralette, navy shorts","Brown belt, brown socks, platform sandals","Relaxed, casual","Layered, contemporary","Open shirt styling, casual elegance"
2,Andrea Pompilio,Spring 2021,Masculine,"White t-shirt with black trim, gray cropped trousers","Brown belt, brown socks, platform shoes","Relaxed, casual","Minimalist, modern","Cropped trousers, clean lines"
3,Andrea Pompilio,Spring 2021,Feminine,Orange floral coat,"Brown socks, platform sandals","Boxy, oversized","Bold, floral","Bright floral pattern, oversized coat"
1,Andrea Pompilio,Spring 2021,Masculine,"Checked coat, navy trousers","Large bag, sunglasses","Relaxed, oversized","Casual, contemporary","Socks with sandals, layered outerwear"
2,Andrea Pompilio,Spring 2021,Feminine,"Light blue oversized shirt, black shorts","White bag, sunglasses","Loose, cinched waist","Effortless, chic","Drawstring detail, minimal color palette"
3,Andrea Pompilio,Spring 2021,Masculine,"Navy jacket, striped shirt, navy trousers",None,"Tailored, structured","Classic, refined","Neutral tones, clean lines"
1,Andrea Pompilio,Spring 2021,Masculine,"Polo shirt, khaki shorts","Sunglasses, large white bag","Casual, relaxed","Sporty, nautical","Brown sandals with socks, anchor motif"
2,Andrea Pompilio,Spring 2021,Masculine,"T-shirt, checkered shorts","Sunglasses, large blue bag","Casual, relaxed","Sporty, nautical","Brown shoes with socks, anchor motif"
3,Andrea Pompilio,Spring 2021,Feminine,"Green coat, tulle skirt",None,"Oversized, layered","Eclectic, vintage","Brown shoes with socks, scarf detail"
1,Andrea Pompilio,Spring 2021,Masculine,"Green jacket, blue shirt, navy shorts","Brown socks, beige shoes","Casual, relaxed","Sporty, youthful","Contrast collar on jacket, tailored shorts"
